시_원문,,A,B,C,C_근거,D,D_근거,인간 평가 A,인간 평가 B,인간 평가 C,인간 평가 D,인간 평가 E
萬里星?駐翠樓?船歌管挾仙遊湖山秀麗精神暢風日晴姸眺望悠千?鳳鸞欣得覩一場萍水若爲留淸樽永夕陪言笑更博新篇刮醉眸,,0,1,0,"제시된 한시는 멀리서 온 사신(星?)을 맞이하여 누각과 아름다운 호산(湖山)의 풍경을 감상하고, 배 위에서 풍악을 울리며(?船歌管) 술잔을 나누고 시를 주고받는 연회와 교류의 즐거움을 노래한 작품입니다. 변방의 군사적 충돌, 황량한 국경의 이국적 풍경, 종군(從軍)의 고충 등 변새시(邊塞詩)의 전형적인 주제와 특징이 전혀 나타나지 않으므로 변새시가 아닙니다.",0,"사신 일행이 머물며 아름다운 산수를 유람하고 연회를 베풀어 시를 주고받는 상황을 묘사한 시로, 변방의 군사적 긴장감이나 국경 요새의 삼엄함과는 무관한 사신 영접 및 풍류를 읊은 수창시(酬唱詩)입니다.",0,0,0,,
一隨飛將事封侯少婦城南明月樓妾貌已衰粧鏡裏君行幾日大刀頭,,1,1,1,"이 작품은 한나라의 명장 이광(飛將)을 따라 군공을 세우러 변방으로 종군(從軍)한 남편과, 남겨진 아내의 고독과 그리움을 노래한 시입니다. 마지막 구의 '대도두(大刀頭)'는 칼자루의 둥근 고리(環)가 돌아올 환(還) 자와 음이 같은 것을 이용한 한문학의 전통적인 언어유희로, '언제 돌아오느냐'는 뜻을 담고 있습니다. 변방의 군사 활동으로 인한 이별과 종군의 고충을 다루고 있으므로 변새시(특히 征婦怨 계열)에 해당합니다.",1,"변방의 전쟁터로 종군한 남편(飛將)을 그리워하는 여인의 정서를 다룬 작품으로, 군사적 공명(事封侯)을 위한 종군과 무기(大刀頭) 등 변새(邊塞) 및 정부怨(征婦怨) 계열의 문학적 특징을 뚜렷이 보여줌.",1,1,1,,
隔岸誰家兒臨風吹王笛淸音渡江來愁殺遠行客,,0,1,0,"제시된 한시는 강 건너편에서 들려오는 피리 소리를 들으며 타향을 떠도는 나그네(遠行客)의 외로움과 고뇌를 노래한 전형적인 기려시(羈旅詩) 혹은 여정시(旅情詩)입니다. 변새시(邊塞詩)의 핵심 요소인 변방의 군사적 긴장감, 전쟁의 참상, 종군(從軍)하는 군사의 고난, 혹은 국경 지대의 이국적인 풍경 등이 나타나지 않으며, 단순히 여행 중에 느끼는 향수(旅愁)를 표현하고 있으므로 변새시로 보기 어렵습니다.",0,"강 건너 들려오는 피리 소리에 나그네의 쓸쓸한 심회(여수)를 읊은 기려(羈旅)시로, 변방의 군사적 긴장이나 국경 지대의 묘사와는 무관함.",0,0,0,,
淸廟陳金鼎秋天揭玉衡地高心轉下時蹇道猶貞文雅今安石風流舊廣平?常紛紀績終讓坐論名,,0,0,0,"제시된 한시는 고위 관료의 학덕과 정치적 업적을 찬양하는 송덕(頌德) 또는 사대부 간의 송축 시에 해당합니다. 시에서 언급된 '淸廟(종묘)', '金鼎(정승의 자리)', '坐論(삼공이 앉아서 도를 논함)' 등의 시어는 조정의 평화로운 통치와 재상의 도리를 상징하며, 사안(謝安, 安石)과 송경(宋璟, 廣平)과 같은 중국의 명재상들을 고사로 인용하여 대상의 문아함과 풍류를 기리고 있습니다. 따라서 변방의 군사적 긴장감, 이국적 풍경, 종군의 고충 등을 다루는 변새시(邊塞詩)와는 거리가 멉니다.",0,"종묘의 제기와 조정 재상의 풍모를 언급하며 인물의 덕망, 문아(文雅), 고결한 지조를 칭송하는 시로, 변방의 군사적 대립이나 국경 지역의 고난을 다룬 변새시가 아닙니다.",0,0,0,,
相思回首暮江???秋風落木紛浮世幾時能暫聚短生何事苦長分東皐壙?宜舒嘯南畝榛荒合早耘此意要將今夕話催鞭頻怯日西?,,0,1,0,"제시된 한시는 그리운 이를 만나기 위해 해질녘 길을 재촉하는 애틋한 마음과 전원(東皐, 南畝)으로 돌아가고자 하는 은거의 지향을 담은 서정시입니다. 변방의 군사적 충돌, 종군의 고충, 이국적인 변방의 풍경 등 변새시(邊塞詩)의 핵심적 특징이 전혀 나타나지 않으므로 변새시가 아닙니다.",0,"그리운 벗과의 이별을 아쉬워하고 전원(東皐, 南畝)으로 돌아가 전원생활을 하고자 하는 마음을 노래한 서정시로, 변방의 군사적 긴장이나 전쟁을 다루는 변새시와 무관합니다.",0,0,0,,
烈士生何事當封定遠侯金戈辭漢月鐵馬向邊州殺氣浮寒?陰風動戍樓腰間白羽箭射取右賢頭,,1,0,1,"이 작품은 변방의 전쟁터로 향하는 무인의 기개와 변새(邊塞)의 삼엄한 풍경을 읊은 전형적인 변새시(邊塞詩)입니다. 시인은 서역을 평정하고 정원후(定遠侯)에 봉해진 반초(班超)의 고사를 인용하며 변방('邊州')으로 나아가는 포부를 드러내고 있습니다. 또한 '한적(寒?, 차가운 사막)', '수루(戍樓, 국경 수비대의 망루)'와 같은 이국적이고 황량한 변방의 풍경을 묘사하고 있으며, 마지막 구절에서는 흉노의 우두머리인 '우현왕의 머리를 쏘아 취하겠다(射取右賢頭)'며 전쟁터에서의 군사적 기상과 투지를 직접적으로 표현하고 있어 변새시의 특징을 완벽히 갖추고 있습니다.",1,"定遠侯(정원후), 邊州(변주), 寒?(한적), 戍樓(수루), 右賢(우현) 등 변방의 지리적 배경과 군사적 대립, 무공을 세우려는 열사의 기개를 직접적으로 묘사함.",1,1,1,,
昔者越王鑄湛盧赤?山破邪溪?鑄時太乙下來觀雷公爲之親擊?渙如春氷勢將釋渾如塘水光欲溢爛如雲?列星行粹如??芙蓉出此劍一去不知處空餘劍名載越絶幕府將軍示我劍滿堂動色對霜雪延平龍變信不虛越劍爲君匣中物細看分明赤山錫千年不改蓮花色??新?掛壁上蛟龍怒吼驚??鏡城城門對白山將軍玉帳明月環將軍酒?按劍起欲倚靑天洗海水海水遙連黑龍江胡兒飮馬江之?六鎭壯士氣頗?願君撫養擒單于陸斷犀象復何益干將只是一人敵得人死力望將軍須向燕山早勒石,,1,0,1,"이 시는 조선의 북방 국경 지대인 경성(鏡城), 백산(白山), 육진(六鎭) 및 흑룡강(黑龍江)을 공간적 배경으로 하여, 변방을 지키는 장군의 기개와 군사들의 용맹함을 노래하고 있습니다. 특히 오랑캐를 뜻하는 '호아(胡兒)'가 말을 먹이는 모습, 적의 추장을 잡는 '금단우(擒單于)', 변방에서 공을 세우고 비석을 새기는 '연산륵석(燕山勒石)' 등 변새시의 전형적인 시어와 군사적 긴장감이 잘 나타나 있으므로 변새시로 판별됩니다.",1,"경성(鏡城), 육진(六鎭), 흑룡강(黑龍江) 등 북방 국경 지역의 공간적 배경과 호아(胡兒), 단우(單于) 등의 적대를 뜻하는 시어가 등장하며, 변방 장수와 군사들의 기개 및 국방의 포부를 노래한 전형적인 변새시(邊塞詩)임.",1,1,1,,
幽居錦水水南涯物色依然似浣花春盡斷紅棲谷樹雨餘輕綠沒汀沙朝迎松塢隨風景暮送柴門帶月華不識少陵隣?地隔溪還有玉人家,,0,1,0,"제시된 한시는 금강(錦水) 남쪽 기슭에 은거하는 삶을 노래한 전형적인 전원·은일시(田園·隱逸詩)입니다. 시인은 당나라 시인 두보(少陵)가 완화계(浣花溪)에서 유유자적하게 지내던 고사를 활용하여, 봄날의 꽃과 나무, 비 갠 뒤의 모래사장, 달빛 어린 사립문 등 평화롭고 아름다운 자연 풍경을 묘사하고 있습니다. 여기에는 변새시(邊塞詩)의 핵심 요소인 변방의 군사적 긴장감, 종군(從軍)의 고충, 혹은 황량하고 이국적인 국경 지대의 풍경이 전혀 나타나지 않습니다.",0,"은거지의 자연 풍경과 전원생활의 정취를 노래한 한적(閑適)시로, 변방의 군사적 대립이나 전쟁과는 무관함.",0,0,0,,
朝衣拜北辰題扇寄雙親大海戈船闇孤城月暈新兵殘無傅燮力盡有張巡狗?猶知義旌書宋大人,,1,1,1,"이 작품은 임진왜란 당시 왜군에 맞서 동래성을 지키다 순국한 송상현(宋象賢)의 충절과 전투 상황을 기린 시입니다. 시에 나타난 '大海戈船(대해의 전쟁 배)'과 '孤城(고립된 성)'은 변방(해안 관문)의 군사적 충돌 상황을 생생하게 묘사하고 있으며, '兵殘(잔존한 병력)'과 '力盡(다한 공력)' 및 당나라 장순(張巡)의 고사 등을 통해 전쟁의 참혹함과 절박한 변방 방어의 고충을 드러내고 있습니다. 변방의 외침과 전쟁, 군사적 대치 상황을 다룬다는 점에서 변새시의 특성을 뚜렷하게 공유하고 있습니다.",1,"戈船(전투선), 孤城(고립된 성), 兵殘(남은 군사) 등 군사적이고 국경 수비적인 시어를 사용하였고, 장순(張巡)과 부섭(傅燮) 등 고립무원의 상황에서 성을 지키다 전사한 장수들의 고사를 인용하여 전란의 참상과 비장함을 노래하였으므로 변새시로 판별됨.",1,1,1,,
彈劍登臺意氣高一麾行色嘆蕭蕭滄溟秋冷蛟龍蟄長白雲深虎豹驕生世未?金虜國幾時重到洛陽橋淸尊醉罷催歸騎極目遙空?霧消,,1,0,1,"이 작품은 북방 국경지대의 삼엄한 분위기와 외적에 맞서는 종군 지휘관의 군사적 기개를 읊은 전형적인 변새시(邊塞詩)입니다. 시인은 '검을 두드리며 누대에 오르니 의기가 드높다(彈劍登臺意氣高)'고 하며 호기로운 군사적 기상을 드러내고, 북방 국경을 상징하는 '장백산(長白)'의 험준한 자연과 '호랑이와 표범(虎豹)' 같은 적의 기세를 묘사했습니다. 특히 '한평생 여진족의 나라인 금나라(금로국)를 집어삼키지 못했다(生世未?金虜國)'는 구절을 통해 국방의 소임을 다하려는 애국적이고 군사적인 호소와 변방에서의 고뇌를 직접적으로 표현하고 있습니다.",1,"彈劍(칼을 두드림), 麾(군기), 長白(장백산), 金虜(금나라 오랑캐) 등 변방의 군사적 긴장감과 변방을 지키고 오랑캐를 정벌하려는 장수의 기개를 묘사하고 있음.",1,1,1,,
昔時穆祖避胡去望敵登玆仍得名五彩已成龍虎氣千群誰數犬羊兵長江自此分南北遺慶如今屬聖明曾在咸關謁陵寢猶餘石馬護神行,,1,0,1,"이 시는 조선의 북방 국경 지대(함경도 함관령 일대)를 배경으로, 조선 왕조의 선조인 목조(穆祖)가 여진족(胡)을 피해 이주하고 적을 감시하던 역사적 사건('避胡', '望敵')을 읊고 있습니다. 또한 외적을 '견양병(犬羊兵)'으로 비하하여 표현하고, 북방의 경계가 되는 강('長江')을 경계로 남북이 나뉘는 변방의 지리적 환경과 관문('咸關')을 묘사하고 있어, 국경 지역의 군사적 역사와 변방의 풍경을 다루는 변새시(邊塞詩)의 특징을 뚜렷이 지니고 있습니다.",1,"북방 오랑캐(胡)를 경계하고(望敵, 犬羊兵) 변방 요새인 함관(咸關)을 배경으로 하여 국경 지역의 군사적 긴장과 역사적 사건을 묘사함.",1,1,0,,
?埴行何遠迷方見未通多生隨果業萬里逐蓬風伎倆諸般廢營爲百慮空殘年伴枯?咀嚼紙堆中,,0,0,0,"이 시는 화자가 지난 삶의 유랑과 고단함을 회고하면서, 노년에 이르러 세상의 모든 지혜와 기교를 내려놓고 책더미 속에서 책벌레를 벗 삼아 독서와 학문에 전념하는 모습을 그린 작품입니다. 마지막 구절인 '殘年伴枯? 咀嚼紙堆中(남은 해를 마른 책벌레와 짝하여 종이 무더기 속을 씹어 삼키네)'에서 알 수 있듯이, 이는 학자의 자조적이면서도 초연한 학문적 삶을 노래한 서정시입니다. 변방의 군사적 충돌, 종군의 고통, 이국적인 국경 지대의 풍경 등 변새시(邊塞詩) 고유의 특징이 전혀 나타나지 않으므로 변새시가 아닙니다.",0,"만리를 방랑하는 신세와 노년에 책벌레를 벗 삼아 책더미 속에서 소일하는 삶의 허무함을 노래한 시로, 변방의 군사적 긴장이나 국경 경비와 같은 변새시의 특징이 전혀 나타나지 않음.",0,0,0,,
前輩儀刑仰老成當朝雅望屬時英標持斷斷朱絃直藻識淵淵玉鏡淸鴻陸羽儀初展刷龍門風裁獨聲名中身顚?丁昏?晩路?騰際聖明?幄?謨曾密勿省臺???精誠汲?屢出言何妄馮衍終疏志益貞鷄夢忽驚埋國寶鳳毛差慰繼家聲年低德厚嗟中壽位嗇名高恨貳卿三載楸原開宿草重泉龍劍合新塋羊曇?有平生痛再拜哀章淚滿纓,,0,0,0,"제시된 한시는 평생 동안 조정에서 곧은 절개를 지키며 헌신하다가 세상을 떠난 고인을 추모하고 그의 인품과 업적을 기리는 전형적인 만시(挽詩, 애도시)입니다. 시 원문 중 죽음을 뜻하는 계몽(鷄夢, 계명산의 꿈), 무덤을 뜻하는 추원(楸原)과 영(塋), 그리고 고인을 애도하며 제문을 올리고 눈물을 흘린다는 애장(哀章)과 누만영(淚滿纓) 등의 시어를 통해 이를 명확히 알 수 있습니다. 따라서 변방의 군사적 긴장, 이국적인 풍경, 군역의 고충 등을 노래하는 변새시(邊塞詩)에 해당하지 않습니다.",0,"이 시는 세상을 떠난 선배나 동료의 학덕과 관력(官歷)을 기리고 그의 죽음을 슬퍼하는 전형적인 만시(挽詩, 애도시)입니다. '鷄夢'(죽음을 상징), '三載楸原'(무덤가에서 3년이 흐름), '再拜哀章'(두 번 절하며 애도하는 글을 올림) 등의 시어를 통해 죽은 이를 애도하는 내용임을 알 수 있으며, 변방의 군사적 대립이나 국경지대의 풍경을 읊은 변새시와는 무관합니다.",0,0,0,,
靜對松坡話思君此夜深中年曾契闊末路更顚沈士自憎多口人唯保一心書長言不盡重寄醉時吟,,0,1,0,"제시된 한시는 깊은 밤 벗을 그리워하며(思君) 중년의 이별과 노년의 곤경(末路更顚沈)을 회고하고, 세상의 구설수(多口) 속에서도 한결같은 지조(一心)를 지키겠다는 다짐을 담아 편지와 시를 보낸다는 내용입니다. 이는 변방의 군사적 충돌, 이국적 풍경, 종군(從軍)의 고충을 다루는 변새시(邊塞詩)가 아니라, 벗에게 그리움과 자신의 지조를 토로하는 전형적인 기우(寄友) 및 언지(言志) 성격의 시입니다.",0,"벗에 대한 그리움과 중년 이후 삶의 역경을 토로하는 우정 및 신세 한탄의 시로, 변방의 군사적 상황이나 국경지대의 묘사와 무관함.",0,0,0,,
西塞近遼左地寒常倍加方春箕子國不見杜鵑花作客身多病思歸夢是家蘭舟違醉興江月爲誰斜,,1,1,1,"이 시는 요동(遼東)과 인접한 서쪽 변방(西塞) 지역의 혹독한 추위와 풍토를 배경으로, 타향에서 병을 앓으며 고향을 그리워하는 나그네의 심정을 노래하고 있습니다. '서새(西塞)', '요좌(遼左)', '기자국(箕子國)' 등 국경 변방을 나타내는 지명과 함께 그곳의 쓸쓸하고 추운 기후, 변방 생활의 고충(作客身多病)이 잘 드러나 있으므로 변새시(邊塞詩)로 판별할 수 있습니다.",1,"西塞(서새), 遼左(요좌) 등 국경 요새와 변방 지명을 구체적으로 언급하며, 추운 기후(地寒) 속에서 국경 지대를 유랑하는 객수(客愁)와 고향에 대한 그리움을 묘사하고 있어 변새시의 특징을 뚜렷이 나타냅니다.",1,1,1,,
黃河日落海雲秋馬上琵琶無限愁哀怨千年傳樂府季倫歌管綠珠樓,,1,1,1,"이 작품은 첫 구에서 '황하(黃河)'와 '가을 구름(海雲秋)'이라는 변방의 광활하고 쓸쓸한 풍경을 제시하고 있으며, 둘째 구의 '마상비파(馬上琵琶)'를 통해 변방(塞外)의 흉노에게 시집을 가야 했던 왕소군(王昭君)의 고사와 그로 인한 끝없는 슬픔(無限愁)을 형상화하고 있습니다. 이처럼 변경 지역의 이국적이고 황량한 정취와 변방으로 떠나는 이의 애수와 한(恨)을 다루고 있다는 점에서 변새시(邊塞詩)의 전형적인 특징을 잘 보여줍니다.",1,황하(黃河)와 마상비파(馬上琵琶) 등 변방(邊塞)의 정경과 왕소군(王昭君) 고사를 활용하여 변방으로 떠나는 애상적인 정조를 묘사하고 있습니다.,1,1,1,,
邂逅連宵話天寒葉擁門白頭俱絶域靑眼且深尊?角山樓?寒雲水國昏明朝各漂轉愁絶更堪論,,0,1,1,"이 작품은 변방의 외롭고 쓸쓸한 풍경과 군사적 요소를 담고 있어 변새시(邊塞詩)에 해당합니다. 시 속의 '절역(絶域)'은 조정에서 멀리 떨어진 외진 변방 땅을 뜻하며, '화각(?角)'은 군영이나 변방 요새의 누각에서 울리는 군용 뿔나팔 소리로 군사적 공간임을 암시합니다. 추운 날씨 속에서 만난 두 사람이 다시 각자 떠돌아야 하는 신세를 한탄하는 고독하고 애상적인 정조 역시 변새시의 전형적인 특징을 잘 보여줍니다.",1,"絶域'(변방)이라는 공간적 배경과 군사적 신호인 '?角'(나팔) 등의 시어를 사용하여, 변방 지역의 삼엄하고 쓸쓸한 분위기 속에서 겪는 이별의 슬픔을 묘사하고 있으므로 변새시에 해당함.",1,1,1,,
窺鰲客上銀河流萬里長空掛釣鉤一擧可知腥穢盡恨無竿竹暫遲留,,1,0,0,"제시된 한시는 은하수에서 초승달을 낚싯바늘 삼아 세상의 더러움을 낚아 올리겠다는 장쾌한 상상력을 바탕으로, 시인의 호방한 포부와 도가적(道家的)인 초월 세계를 노래한 작품입니다. 시에 등장하는 '규오객(窺鰲客)', '은하(銀河)', '조구(釣鉤)' 등은 우주적이고 신선 정취를 자아내는 시어들이며, '성예(腥穢)'를 모두 없앤다는 구절 또한 전쟁의 참상보다는 세상의 속된 먼지를 털어내겠다는 이상적 의지의 표명으로 해석됩니다. 변새시(邊塞詩)의 규정적 특징인 변방의 거친 자연환경, 이민족과의 군사적 대치 상황, 혹은 종군(從軍)하는 군사들의 슬픔과 고충 등의 구체적 현실성이 나타나지 않으므로 변새시로 판별할 수 없습니다.",1,외적(침략자)을 의미하는 '腥穢'(비린내 나는 더러움)를 일거에 소탕하겠다는 호방한 군사적 기개와 영웅적 기상을 비유적으로 묘사하고 있음.,1,1,0,,
同到邊荒却阻音鬼門回首更千岑孤城北接金源?長白東連碧海深萬死胸中無物着百年頭上有天臨紆銅佩?俱恩眷好載淸樽數見尋,,1,1,1,"이 작품은 변방의 황무지를 뜻하는 '변황(邊荒)'과 외딴 성인 '고성(孤城)'을 공간적 배경으로 삼고 있으며, 여진족의 발원지인 '금원(金源)'과 북방의 장막인 '장백산(長白山)' 등 실제 국경 지역의 지명을 활용하여 변방의 쓸쓸하고 웅장한 풍경을 사실적으로 묘사하고 있습니다. 또한 '만사(萬死, 수많은 죽을 고비)'를 언급하며 변방 근무의 고충과 비장함을 나타내는 한편, 관직을 수행하는 군신 간의 은혜(恩眷)를 읊고 있어 변새시(邊塞詩)의 전형적인 특징을 잘 보여줍니다.",1,"변황(邊荒), 고성(孤城), 금원(金源), 장백(長白) 등 북방 국경 지대의 지명과 변방 군막의 삭막한 풍경을 직접적으로 묘사하고 있어 변새시에 해당함.",1,1,1,,
堂堂鎖?鎭?霞一帶湖江不必過中國深憂非外國兵家上策自儒家邊頭跋涉君肱折世路浮沈我齒多千里書傳還異歲相知兩?各添華,,0,0,1,"이 시는 요새와 방비를 상징하는 '鎖?(쇄약)', 군사 전략을 뜻하는 '兵家(병가)', 그리고 변방 지역을 직접적으로 가리키는 '邊頭(변두)' 등의 시어를 사용하고 있습니다. 특히 5구인 '邊頭跋涉君肱折(변방을 밟고 건너느라 그대의 팔이 부러졌구나)'은 변방에서 겪는 종군의 고충과 고난을 생생하게 묘사하고 있으며, 국가의 국방 및 변방 방비책을 논하고 있다는 점에서 변새시(邊塞詩)의 특징을 뚜렷하게 지니고 있습니다.",1,"鎖?(요새), 邊頭(변방), 兵家(병가) 등의 시어를 통해 국경 지역의 군사적 방비와 변방 지역을 왕래하는 인물의 고충을 묘사하고 있어 변새시의 특성을 강하게 나타냅니다.",1,1,1,,
令子?亡公奄忽雙親老矣去何之人間已識猿腸斷地下能忘鶴髮悲賢似顔回年益促窮如羅隱禍偏奇花生夢筆曾干氣血泣懷珍豈乏時半世金蘭同臭味一條?玉仰襟期秋山日暮埋良友?露聲中涕自垂,,0,1,0,"제시된 한시는 자식을 먼저 보내고 갑작스럽게 세상을 떠난 친구(良友)의 죽음을 애도하며 지은 전형적인 만시(輓詩)입니다. 평생을 함께한 친구의 재능과 불우한 삶을 기리며 상여 소리인 '해로(?露)' 속에서 눈물을 흘리는 슬픔을 노래하고 있을 뿐, 변방의 군사적 긴장이나 이국적 풍경, 종군의 고충을 다루는 변새시(邊塞詩)의 특징은 전혀 찾아볼 수 없습니다.",0,"자식을 잃고 갑작스럽게 세상을 떠난 벗의 죽음을 슬퍼하고 남겨진 노부모의 슬픔을 애도하는 만시(輓詩)로, 변방의 군사적 긴장이나 대립과는 전혀 무관함.",0,0,0,,
草草河邊酒悠悠別後期聊因北歸客始寄去年詩塞外早霜落關中芳草衰相思月頻滿秋?到來遲,,1,1,1,"이 작품은 변방 지역을 뜻하는 '塞外(새외)'와 관문 안쪽의 중심지를 뜻하는 '關中(관중)'을 대비하며 변방의 고독과 이별의 슬픔을 노래하고 있습니다. 특히 '塞外早霜落(변방 밖에 이르게 서리가 내린다)'과 같은 한랭한 변방의 기후 묘사, 북쪽에서 돌아오는 나그네('北歸客')를 통해 소식을 전하려는 애틋함, 그리고 변새시의 대표적 제재인 기러기('秋?')를 활용해 멀리 떨어진 공간에서의 그리움을 극대화하고 있다는 점에서 전형적인 변새시(邊塞詩)의 정조를 담고 있습니다.",1,"변방을 뜻하는 '塞外'와 관문 안쪽을 뜻하는 '關中' 등의 지리적 배경을 바탕으로, 변방의 이른 서리(早霜) 등 황량한 기후와 국경 지역의 고독한 정서를 묘사하고 있어 변새시로 분류됨.",1,1,0,,
家運興衰繫後生後生生長喜憂幷情迷花酒身名敗腹有詩書志業成天命不求人事外禍端須戒舌頭萌丁寧此意勤銘佩莫道而公自不行,,0,1,0,"제시된 한시는 후손(後生)의 교육과 가문의 번창을 위해 주색을 경계하고, 학문에 힘쓰며(腹有詩書), 말조심(舌頭萌)을 당부하는 전형적인 계자시(誡子詩)이자 수신(修身)을 강조하는 선비의 교훈시입니다. 변방의 거친 풍토나 군사적 갈등, 종군 군사들의 애환 등 변새시(邊塞詩) 고유의 특징은 전혀 찾아볼 수 없습니다.",0,"자손들에게 학문에 힘쓰고 말과 행동을 조심하라고 당부하는 훈계시(誡子詩)로, 변방의 군사적 긴장감이나 국경 지대의 묘사와 전혀 무관함.",0,0,0,,
昨夢芝眉話更僕??淸芬宛平昔覺來相思不可見金山碧水瞻無極??靑鳥自何來忙手開緘欣有得投我夢樂堂上詩邀我續和增扁刻我居醉鄕連睡鄕寅緣往來華胥國此國??眞樂國因想都忘況懼?箇中夢寐失眞幻誰貴王侯賤僕役如將一體?分別心力還應苦筋力笑伊師尹眞拘拘苦樂何如兩忘若禦寇說夢亦夢耳眞幻未分誰苦樂使君處世心不世墨綬棲遲隱於祿已了黃粱與白蟻肯艶三刀榮十鹿從他簿書鬧耳目雲過太空心境寂淸琴獨響單父堂爽氣長對西山郭閑情放浪陶潛詩醉興飛動張顚墨知君寤樂亦自多不減不增神盈谷胡爲借夢以喩樂欲將幻界同眞蹟同塵終未免侵塵無乃酬煩日不足塗龜澤雉各有樂化蝶何須?自適吾生半世苦?夢草堂閑眠晩始覺蕉鹿雙爭笑前迷芻狗三言驚變易弔詭幸得朝暮遇西有林江東魯嶽驅馳夢境不自由別來多年惱心曲懸知縣齋秋宵夢也繞江楓與山竹鳴皐天?不必夢中遊掃灑石上明月期太白,,0,0,0,"제시된 한시는 꿈과 현실, 참과 거짓의 경계를 장자(莊子)의 호접몽(화첩)이나 초록(蕉鹿), 황량(黃粱) 등의 고사를 들어 성찰하고, 벗과의 시문 교유 및 행정관으로서의 한적한 삶과 자연 속의 풍류를 노래한 작품입니다. 변방의 군사적 긴장이나 충돌, 변방 지역의 이국적 풍경, 혹은 변방 군역의 고통과 같은 변새시(邊塞詩)의 전형적인 주제와 요소가 전혀 나타나지 않습니다.",0,"꿈과 현실, 노장 철학의 환유(장주의 나비꿈, 초록 등)를 바탕으로 벗의 시에 화답하고 인생의 달관을 노래한 작품으로, 변방의 군사적 대립이나 변새 풍경과는 무관한 사대부의 철학적·일상적 교류를 담은 시입니다.",0,0,0,,
高堂上下彩衣翩荊樹春光共一堧湖外幾年烏哺隔天南今夜?晶連將看薄俗聞風起爭道名門降福偏孝水更從庭畔湧詩人遺什感寒泉,,0,1,0,"제시된 한시는 '彩衣'(부모를 즐겁게 하기 위해 색동옷을 입은 노래자의 효행), '荊樹'(형제간의 우애), '烏哺'(까마귀가 어미에게 먹이를 물어다 주는 효성인 반포지효), '孝水'(중국 한나라 강시 부부의 효행으로 솟아난 샘물) 등 효행과 형제간의 우애, 가문의 덕행을 예찬하는 대표적인 유교적 효치(孝治) 및 가덕(家德) 관련 시입니다. 변방의 군사적 충돌, 이국적인 풍경, 혹은 군 복무의 고통과 슬픔을 노래하는 변새시(邊塞詩)의 특징은 전혀 나타나지 않습니다.",0,"彩衣(채의), 荊樹(형수), 烏哺(오포), 孝水(효수) 등의 시어를 사용하여 효행(孝行)과 형제간의 우애 등 가족의 화목을 기리는 시로, 변방의 군사적 긴장이나 국경 수비와 무관함.",0,0,0,,
少年風彩殿南邦龍節仍兼豹尾雙千里旬宣重嶽牧一方霑潤望河江旗亭嫩色添金柳棠?新陰映玉幢箴頌庶將裨樂職全慙老筆欠長?,,0,0,0,"이 시는 젊은 나이에 남방(南邦)의 지방관(嶽牧)으로 부임하는 인물의 선정을 축원하는 송축시이자 송별시입니다. 시에 나타난 '순선(旬宣, 임금의 뜻을 널리 폄)', '점윤(霑潤, 은택을 적심)', 선정을 상징하는 '당발(棠?)' 등의 시어는 모두 목민관으로서의 평화로운 지방 통치와 관련이 있습니다. 비록 군사적 의장인 '표미(豹尾)' 등이 언급되나 이는 관찰사 등의 군현 직책에 따른 의장물일 뿐이며, 변방의 척박한 풍토, 이국적인 풍경, 군사적 충돌 및 종군의 애환을 노래하는 변새시(邊塞詩)의 특징과는 거리가 멉니다.",0,"남방으로 부임하는 관찰사(목민관)의 품격과 선정(善政)에 대한 기대를 노래한 송축(頌祝) 시로, 변방의 군사적 긴장이나 대립을 다루는 변새시와 무관함.",0,0,0,,
提携計未就消息近何如妻瘦應添病兒飢定廢書團圓羨孤月契闊恨雙魚眼見春將盡庭花帶雨疏,,0,0,0,"제시된 한시는 타향에서 고향의 가족을 그리워하며 아내의 병과 자식들의 배고픔을 걱정하고, 소식이 닿지 않는 안타까움을 노래한 전형적인 사향시(思鄕詩)이자 기가시(寄家詩)입니다. 변새시(邊塞詩)의 핵심 요소인 변방의 군사적 충돌이나 긴장감, 변방의 이국적인 풍경, 군역(軍役)을 치르는 종군의 고통 등에 대한 묘사가 전혀 나타나지 않으므로 변새시로 판별할 수 없습니다.",0,"타향에서 가족을 그리워하며 아내의 병과 아이들의 굶주림을 걱정하는 심정을 읊은 시로, 변방의 군사적 긴장이나 전쟁, 변새의 풍경 등 변새시의 특징적인 요소가 전혀 나타나지 않습니다.",0,0,0,,
彌節何須過白檀遙看赤氣覆東韓劍衝星斗虹光動令肅風霆鬼膽寒壁壘天旋兵正正旌干雲直馬??盛名自可輕南仲??于襄有底難,,1,0,1,"이 작품은 백단(白檀)과 동한(東韓)이라는 국경 및 변방의 공간을 배경으로, 칼(劍), 군대의 삼엄한 규율(令肅), 진영(壁壘), 정연한 군사(兵正正), 군마(馬)와 깃발(旌干) 등 군사적인 소재를 생생하게 묘사하고 있습니다. 특히 중국 주나라 시절 북방 유목민족인 험윤(??)을 물리친 명장 남중(南仲)의 고사를 활용하여 국경을 수호하는 군대의 위용과 외적 퇴치의 결의를 노래하고 있으므로 변새시(邊塞詩)의 전형적인 특징을 보여줍니다.",1,"劍(칼), 令(군령), 壁壘(진벽), 兵(군사), 旌(깃발) 등 군사적인 시어를 사용하고, 북방의 적인 ??(험윤)을 물리치는 장수의 무공과 변방 군대의 위풍당당한 기상을 묘사함.",1,1,1,,
