<title>孫家庄 甲戌</title>,<text>雨後出東城。晴莎十里路。蒼蒼孫氏庄。隔樹多鳴鳥。</text>
<title>秋園雜咏 三十一首。存二十一。</title>,<text>鴻鴈蕭蕭度遠空。稻粱天濶四郊風。朝來小雨梧牕冷。無限新思倚几中。望盡歸鴻不記雙。看雲偶到樹西矼。家僮出郭來相報。霜落龜山葉滿牕。丹漆秋園晩果垂。與君巾屐日相隨。黃花可愛霜前對。冒雨新開映小池。經雨楓泉響不微。林樓日晩鳥烏飛。主人無事忘巾櫛。書几偏憐歲月歸。來無蹄轍是幽居。藥圃松園計太疎。峭出寒山微雨後。歸雲倦鳥夕陽餘。落日秋山乍有無。斷雲喬木勢相扶。橋頭更有騎驢客。政是林塘一幅圖。黃菊新叢近戶低。故人秋墨靜相携。前宵細月淸無寐。何限泉聲滿一溪。天地秋深草木衰。霜籬唯有菊花開。此時對客幽懷亂。砧杵聲高返照來。霜後山容瘦更新。登樓詩思寂寥濱。秋風有力吹黃葉。落日無心愁殺人。樓上西風送鴈羣。數行明滅遠天分。蒼茫去路無晨夕。斷續寒聲落暮雲。暝意蒼煙起遠村。歸鴉一二帶黃昏。故人不見靑門道。遙夜相思落木園。石井霜飛秋水寒。轆轤聲在曉雲端。美人纖手初無力。半落銀甁井上欄。城市年來未買山。秪勞歸夢薜蘿間。自憐形役浮生事。不似漁樵身世閒。詩篇强半惜流年。風物凄凄眺望邊。暝色遠連秋水岸。餘暉隱映滿山煙。墻槐庭栢枝相交。上有烏鴉各定巢。月細重陽人對菊。草亭蕭洒似寒郊。淸秋木葉下園臯。天畔羣山勢更高。騎馬不妨微雨濕。西風容易晒靑袍。柴門地僻少相過。秋暖南溪風日和。散步偶登高處望。數家砧杵夕陽多。疎星人語杵鳴家。樹杪懸燈望裏斜。響徹喬林風力緊。晨光歷亂起棲鴉。黃菊花前駐夕陽。疎籬多出亂山長。瘦驢纔過西林路。人影平分雨洗塘。明月流光滿太淸。九街如水夜鐘鳴。蒼蒼院瓦霜華重。庭木西風響不平。霜華凄動一庭杉。夜坐疎星照短衫。却似往年遊漢北。曉鐘斜月過西巖。</text>
<title>晩秋卽事</title>,<text>草閣淸秋簟席寒。黃花朝日上簾端。初停藥身輕健。閑抱詩書晒竹欄。</text>
<title>春日次明人韻 癸未</title>,<text>鳥語通隣舍。幽泉帶小亭。午雲千雉白。春樹四山靑。閑閱栽花譜。時開訓子經。同君且可往。江閣草生庭。</text>
<title>春過文子蘊園</title>,<text>隣舍皆花樹。鳥聲常不離。崖靑餘穀雨。城白帶游絲。書抱身閒日。琴停客到時。芳華難可住。初月更留期。</text>
<title>掌苑署。與諸人排韻。</title>,<text>直北華山眺望長。晩風官閣數人凉。庭松不死忠臣砌。壇石空餘太乙墻。雨氣籠城林靄重。水聲喧谷澗流忙。吟邊歎息葵花老。開落無心滿地香。</text>
<title>掌苑署再遊 二首</title>,<text>再遊官閣亦知難。地近煙霞古石壇。日午峰陰微轉檻。洞晴雲影數侵冠。莓苔澗道驢蹄滑。松栢宮墻鸛羽寒。簷外終南靑不了。半邊詩思遠相看。四山宜遠眺。輸在一樓前。園果無風落。巖湍得雨懸。庭陰初下鵲。松翠靜和煙。官吏身常暇。閒眠到夕天。</text>
<title>次金天瑞 光翼 卽事韻</title>,<text>床書强半蠧魚侵。曝晒堪憐歲月深。詞翰已知吾輩事。炎凉終見路人心。樓高落照初停硯。牕靜幽泉暗和琴。階竹蒼蒼看不厭。此君元是異凡林。</text>
<title>宿舟中</title>,<text>獨倚篷牕爽似秋。舊盟還欲伴沙鷗。漕軍語集湖南舶。江客燈明岸上樓。夜久帆檣依浦宿。天晴星斗映波流。蒼然望及無何地。落月諸山遠遠浮。</text>
<title>次學橋夜集韻</title>,<text>池邊夕草露華澄。小閣乘凉靜几憑。北闕風微傳漏鼓。中庠雨歇讀書燈。交情在洛東西社。詩格窺唐盛晩層。卧病刺桐花落後。相思吾阻盍簪朋。</text>
<title>同金天瑞過西隣</title>,<text>靑竹庭深日欲西。白沙園路淨無泥。煙林鳥下諸山晩。風院蟬鳴衆木低。信宿幾憐弦後月。幽期遙度雨餘溪。城南霽色江樓濶。更擬同君此地携。</text>
<title>初秋夜。宿圓通寺。</title>,<text>萬松山路細縈廻。絶頂風牕倚壁開。終古禪林圓一相。至今銘石照三台。諸天自靜泉空響。下界微明月欲來。香燭何人勤禮佛。夜深淸偈出蓮臺。</text>
<title>渼阿里途中</title>,<text>遠水晨光斂。微明露石門。谷嵐迷半壑。郊雨宿平原。歲月荒墳盡。漁樵近郭存。傍人同植杖。煙處見遙村。</text>
<title>夜深歸。與趙深遠 志浩 同賦。甲申</title>,<text>幾處笙歌動。遊人絡繹時。落梅餘舊曲。名節有新詩。月色春樓滿。雞聲曉陌遲。每年逢此夕。娛樂以朋知。</text>
<title>北隣夜集次尹都事韻</title>,<text>歲換梅花更欲凋。橫龕還數可憐條。雞聲向曙相連起。松影含晴漸不遙。月昃星辰垂半郭。春生雨露在中宵。君居窈窕山長近。早晩圖書伴寂寥。</text>
<title>同塔谷丈次杜韻</title>,<text>山靄遊春氣。晴光共有無。樓陰栖鳥下。城遠夕陽孤。叙話歸泉石。論詩及畫圖。板門隣大路。蹄轍每相呼。</text>
<title>過北隣</title>,<text>芳草閒園高復低。天機近有百禽啼。游絲翳日春山靜。黃柳濃煙夕岸迷。照眼花應寒食後。過肩墻與翠屛齊。滄江小舸同携手。將辦奇遊葛嶺西。</text>
<title>西園春日。同諸人賦。</title>,<text>西園春暮鳥聲中。却喜玆辰眺望同。垂岸柳條煙裏暗。滿城花氣日邊紅。山光相照才經雨。燕子低飛細逐風。爲惜芳菲寒食過。暫時文墨思無窮。</text>
<title>西園春日。同花谷韓丈暉之 旭 次前韻。</title>,<text>詩句等閒行處隨。萋萋新葉始生時。雲將日晩頻移樹。鳥亦花多不擇枝。芳草坐同幽澗靜。春城望與遠山遲。悠揚百物歸風雨。易去年光我已知。</text>
<title>艶體</title>,<text>美人花下思嬋娟。三五枝頭春可憐。儂亦看花心不已。休言郞獨愛花眠。</text>
<title>春題小林菴</title>,<text>隔林菴影小。松繞上房頭。花落禪扉靜。雲停佛座幽。秪緣城闕近。每有管絃遊。斜日齋鐘起。春山晩響浮。</text>
<title>晩春西臺排韻</title>,<text>登臨隨處秪憑遙。暇日風光又霽霄。白嶽城連時御所。靑門樹接五間橋。草花引蝶香猶在。堤柳候鶯影自搖。最是深春添一色。萬家新綠夕烟銷。</text>
<title>嘯臯途中</title>,<text>千林行趁落花時。樂事郊原並舊知。牛力在田方播種。雞聲沉樹不分籬。何多午饁沙邊集。遙度齋鐘谷口遲。非特道峰渾在眼。半天華嶽望逾奇。</text>
<title>圓通寺早起</title>,<text>莊嚴百劫道心齊。諸佛皆從天竺西。元氣抗衡爭列岫。靈源廻合遠鋪溪。巖霏似雨陰偏重。野樹如煙翠自低。邂逅蓮臺成一宿。出門鳥亦向人啼。</text>
<title>玉泉菴午飯</title>,<text>寺開萬丈下。千山藹如黛。中通半畒庭。嘉木菀以對。駕言振我衣。淸嘯山外內。茫茫一宇宙。古人今不在。潄飯仍玉泉。名區屬僧輩。</text>
<title>望月寺途中</title>,<text>暗逐鐘聲去。樵風滿耳聞。石危纔有逕。林邃自停雲。寺近浮屠在。天低列嶂分。更攀松桂坐。多日喜成羣。</text>
<title>回龍寺途中</title>,<text>躑躅花明兩岸。煙霞洞濕平朝。下山惆悵歸去。送客鶯聲漸遙。</text>
<title>回龍寺 懶翁所建</title>,<text>古石牛如卧。回峰龍似交。林生樵子逕。寺憶懶翁巢。滿壑風泉瀉。鳴樓午磬敲。捨之不忍去。高處見靑郊。</text>
<title>晦雲菴途中</title>,<text>且向齋宮路。遠從溪上過。鶯聲遷谷緩。人語出林多。古墓碑沉字。新亭樹拂柯。遲遲日未晏。芳草坐如何。</text>
<title>晦雲菴</title>,<text>遍以經行鐘梵家。滿山新綠映餘霞。藥泉遺迹詩篇在。樓院晴光店路斜。庵釋飯松眉似雪。宮娥禮佛鬢如鴉。天時政是淸和日。墻外木蓮方欲花。</text>
<title>石林寺早起</title>,<text>蒲團方曙色。風鐸動虗欞。亂石多年白。危峰一帶靑。水喧兼雨落。松潤以雲停。三復定齋筆。高風後輩聽。</text>
<title>淸風亭</title>,<text>一間亭古高聳。百丈潭回亂流。梅月石林勝地。淸風名節同區。</text>
<title>水雲亭</title>,<text>洞深鶯語滑。溪靜水雲纖。可識主人意。千峰盡入簷。</text>
<title>向南漢出郭拈韻</title>,<text>樹色環高岸。江聲出遠帆。城闉時暫隔。郊日照秋衫。</text>
<title>西將臺</title>,<text>環擁江山繞似屛。金湯空設百重形。先王警蹕行宮在。三士風聲古廟停。遺恨未窮松渡白。餘羞難改汗峰靑。西臺落木徘徊處。况復斜陽畫角聽。</text>
<title>渡廣津</title>,<text>汀樹風高天欲霜。柴門不正浦村荒。沙明獨鳥雲邊下。日隱遙山浪外長。漁子晩收鋪岸網。舟人秋語過江檣。渡頭指點葦塲近。歸路鐘聲野寺忙。</text>
<title>初冬南殿拈韻</title>,<text>官窻無事對南崗。紫閣峰高夜下霜。園僕掃庭飛落葉。山鴉避雨傍殘陽。塗灰殿影雲霄近。鐵松枝歲月長。却爲故人酬寂寞。倚墻寒菊數枝黃。</text>
<title>東鄰同聖文賦 二首</title>,<text>八門明月一庭閒。近市鐘傳九陌還。落木風霜凄獨夜。故人詩句說咸山。依俙往事疎燈下。跌宕奇遊六鎭間。短髮憐君違世路。布衣無改十年顔。邂逅靑門下。寒宵偶一過。鬢毛驚歲易。詩句感秋多。送客黃花病。逢君白雪歌。仰看明月晩。其奈聽雞何。</text>
<title>德水川慈氏橋</title>,<text>田原何莾蕩。歸鳥際寒霄。野豁昌陵店。沙崩德水橋。短碑行客駐。長磴夕陽遙。秋後村家事。兒童半入樵。</text>
<title>高陽祠堂谷夜坐</title>,<text>十月高陽落葉寒。松牕無寐壁燈殘。空山畏虎關門早。古郭聞雞坐夜闌。親戚情言仍信宿。田疇餘力作淸歡。墓田三世治桑梓。娛樂明時不換官。</text>
<title>哭長兒痘夭</title>,<text>人命若論氣。脩短在虗實。善惡如云報。禍福無盈溢。胡爲我之兒。一朝遽然失。默檢經行事。倘有欺暗室。年齒纔回四。敎數能記一。髧彼齊眉髮。斑衣初繞膝。惻惻復凄凄。不幸嬰斯疾。千載商也傷。黯黯心氣窒。事有仇謀命。醫豈乏良術。自家寔迷塗。窮阨非文筆。形容宛如覿。老淚何時畢。穉魂守空山。黃土昭白日。</text>
<title>臘月夜會北部直廬</title>,<text>紙牕燈細北風寒。初夜相逢脉脉看。殘署簿書翻枕上。舊宮松柏覆城端。月中山影渾疑曙。氷底泉鳴宛似灘。去歲玆辰多雅咏。故人梅下劇淸歡。</text>
<title>省外家墓 乙酉</title>,<text>土城莎草半頹崩。霜露空山歲月增。全氏當年那料此。外孫多在摠無能。</text>
<title>哭兒墓</title>,<text>爾若生時欣我迎。死而難起隔幽明。至今哀淚膓堪斷。悲痛如無父子情。</text>
<title>元朝雜體 丙戌○六首</title>,<text>晦日以前人齷齪。新年三日多淳風。德談歲拜謙恭意。肉食茶盤處處同。工商吏卒各紛忙。買賣經營來四方。富者無憂歡笑日。貧人冷落愁歎長。繁華子弟艶衣服。貂皮揮項白苧袍。純色唐鞋沈香帶。長安陌上意氣豪。三司歲末無公座。各自椎牛爲宴樂。大小民人四萬家。懸房卄處惟膽落。燃燈油似漢江水。做飯米同三角山。此外銀錢無數入。摠爲新舊送迎間。晦初之際須紛閙。打餠聲歇跳板聲。齋米山僧相繼至。聲聲盡是樂昇平。</text>
<title>元夕雜體 三首</title>,<text>橋上樓前人望月。如期而會古今然。去年明朗今年晦。畢竟陰晴都在天。新年佳節好相邀。明月遊人十二橋。處處占豐傳古事。萬家禾桿影春宵。來人還躡去人蹤。鞍馬如雲又似龍。此夜金吾元不問。一時同聽鳳城鐘。</text>
<title>早春移居卽事</title>,<text>臨溪有井四鄰閑。煙火相通一陌間。茅屋地寬宜散步。牙籤案潔可怡顔。門前細草霑春水。城上浮雲隱晩山。飮啄自來隨本性。看他禽鳥以時還。</text>
<title>干支體。敬次趙參判韻。</title>,<text>倚石高松生赤甲。茅簷還庇雨來辰。陂塘水暖魚知丙。天地春分日就寅。卷裏年光悲客子。盤中時物薦甘辛。秪聞耕讀吾全未。聖訓三嘆孝悌申。</text>
<title>八音體</title>,<text>松石書樓興不衰。籝金日賣貴疏知。人工細密餌頭竹。神韻徘徊桐上絲。土堗粗安須自適。匏樽難得敢言悲。木蓮社裏曾留約。革履布衣行夏時。</text>
<title>玉連環體</title>,<text>無邊風月想先儒。需學工夫噵下愚。心在辨明思與問。口傳吁咈夏因虞。吳蠶節近春林樾。越劒時防壯士軀。區別農資多種麥。夕陽猶自墾平蕪。</text>
<title>建除體</title>,<text>建寅斗柄向東回。爭泄韶光爰有梅。除厄門前裁歲畫。賀新堂上進椒杯。滿城簫鼓春同永。遶郭風煙雨半催。平圃通渠沙已暖。短墻盈尺石仍堆。定看萬品從時遂。卽自吾王布澤來。執燭欲謀良夜讌。凌雲終憶馬卿才。破琴流水歌翻雪。古匣衝星劒吼雷。危着岸松還庇屋。薰餘爐火不歸灰。成丹誰免彭殤論。垂白渾知鬢髮哀。收得羣書須靜玩。動移嘉木盡宜栽。開簾翠黛浮疎嶂。延砌靑錢長細苔。閉戶殘碁兼藥。庭陰候客且徘徊。</text>
<title>佛光里途中</title>,<text>客語新林中。人耕古墓下。平田糓雨過。峭壁風泉瀉。柳影橫山橋。花枝照野舍。感春意政深。問昔懷難捨。須臾浮世事。終是百年假。</text>
<title>津寬寺 二首</title>,<text>平郊漠漠寺門逈。苔逕澹澹前宵雨。瀑布靑山渾宿面。四載遊跡依梵宇。仰看天時三月半。細葉丰茸祗園樹。萬壑雲煙常在下。誦經高僧不出戶。砌石元來重修新。伽藍却是麗朝古。香積厨中引流泉。鐘磬樓虗松以補。欲種善根宜福田。遠公敎我淸凈圃。浮生百年如大夢。衣食之際摠辛苦。可學禪家無上乘。浩劫逍遙極樂土。連峰繞閣浸紅霞。杏花影重蓮臺午。閑庭草色映袈裟。講席翩翩馴鴿羽。漱飯純用薇蕨菜。行歌坐詩送春煦。靑鴿巢邊紫燕隨。寺門新翠雨晴時。連峰日晩初涵影。峭壁花濃不見枝。過客探春詩句細。老僧參講磬聲遲。前朝舊跡餘樓石。人世滄桑未可知。</text>
<title>曉起</title>,<text>欲曙寒山逈。疎星漸欲無。梵淸秋澗轉。樵起早鴉俱。窈窕環楓壁。虗明對杏湖。重城以下路。何用短筇扶。</text>
<title>又賦</title>,<text>城郭撫時序。鴻鴈邁西日。緬懷蓮燈宿。瞻聆政蕭瑟。始入華山去。山深境幽絶。霜露日以積。秋菓垂丹漆。回首楓林岸。霞光遠明滅。散步渡石橋。裁詩坐蘿月。崢嶸三角峰。眞面良可悅。淙淙巖泉瀉。隱隱鐘磬發。夜深無夢寐。星斗漸欲沒。蒲團對遠公。事事多眞率。結廬爰入定。淸癯化鶴骨。感玆浮生意。今古誠倐忽。夙抱名山期。靑年易華髮。玆遊須跌宕。長歌莫嗚咽。怊悵松桂路。明朝有一別。</text>
<title>十月二十日出郭。阿峴途中。</title>,<text>風雨前宵惡。朝來餘葉喧。宿雲迷野樹。羣嶂擁江門。出浦漁歌近。衝泥馬跡飜。帆檣晴滿眼。寥濶白沙村。</text>
<title>挹淸樓 二首</title>,<text>懸崖積勢一樓長。欄挹澄波㶑㶑光。漁戶晩煙迷返照。鷺沙晴羽集寒霜。湖中稅入營門重。畿內秋收舟楫忙。十月黔陽通眺望。六臣祠外遠山蒼。樓閣終年靜。滄洲盡日閑。柳疎沙市出。苔老釣磯斑。浦白前宵雨。江明兩岸山。漁歌自遠適。眞率共怡顔。</text>
<title>朴榮叔寄詩和之 丁亥</title>,<text>澤國春生一倍愁。吾人思甚去年秋。何當合席西園草。花鳥樓臺鎭日遊。</text>
<title>棣谷園。次風謠韻。</title>,<text>玆遊宛似浴沂歸。山閣風來曉雨微。鳥語不離花下逕。雲陰時覆樹間扉。詩篇邂逅情方逸。田畒經營計豈非。坐久却忘遲日晩。滿庭春草有晴輝。</text>
<title>在澗亭拈韻</title>,<text>城市稍相隔。雲霞行處賖。悠然過嶽寺。忽已到山家。詩句憐春草。衣巾映晩花。水聲近吾耳。亭下短橋斜。</text>
<title>趙明遠 志淵 園林。次西巖。</title>,<text>西園吟望屢過溪。坐對靑山憶舊題。客子遊春如昨日。主人無事卽深棲。雨花枝重墻頭亞。風柳條長戶外低。滿郭雲煙添遠思。寺樓何處與君携。</text>
<title>北隣小集次浣巖韻</title>,<text>庭花開且落。牕外任風翻。自愛簿書裏。每爲山水言。磵煙涵夕氣。谿草長春痕。却喜同隣住。幽情君所存。</text>
<title>夜又集次杜韻</title>,<text>厨人已具餞春盤。僮僕初停速客鞍。鐘漏催詩今夜晏。星河垂樹一城寬。天機不已雞聲起。仙骨蒼然鶴唳寒。花片倍憐紛此席。離懷隨處盡交懽。</text>
<title>四月初二日。與金天瑞，趙深遠出郭。</title>,<text>朝暾映粉堞。樵汲各相分。駙馬亭邊樹。貞陵洞口雲。村煙行處起。溪水坐來聞。塵事亦云少。將尋麋鹿羣。</text>
<title>在澗亭途中</title>,<text>萋萋新綠引筇長。出郭閑尋水石鄕。不息川流朝海去。無名花發滿林香。寺門隔岸松爲逕。村戶依山樹作墻。相見野人田畔立。西疇農事十分忙。</text>
<title>歸路過佛川 迴文</title>,<text>微雨山桃紅。細蕪平野綠。歸僧帶遠雲。晩磬鳴深谷。</text>
<title>又賦</title>,<text>入城歧路多。出城山水淸。邂逅二三子。倚杖聽澗聲。白雲在中谷。益愜松桂情。安得松桂間。結廬與友生。林鶯不已囀。山日欲西橫。</text>
<title>夜集蒼軒</title>,<text>蒼蒼星月滿天時。禁裏疎鐘度陌遲。相對丁香花落夜。一樓歌曲故人期。</text>
<title>趙明遠園林。拈韻共賦。</title>,<text>趙氏巖泉志。城西逈有園。四鄰茅覆屋。初夏草延門。宮鸛晴翻羽。崖松老錯根。親朋多醉墨。蒼壁掃雲痕。</text>
<title>郭外</title>,<text>谷轉流鶯語。溪添昨雨聲。石門新翠滿。松磴晩雲平。眼慣名亭近。詩晴太華明。親朋還少一。佳境不勝情。</text>
<title>歸路</title>,<text>暝踏溪聲去。明星生岸樹。樵歌有古腔。遠下牛羊道。</text>
<title>還家途中</title>,<text>乍別澗西寺。還歸山下家。但看煙起樹。不辨樹梢鴉。</text>
<title>九曲精舍。與主人及明遠諸益賦。</title>,<text>薔薇開且落。長夏雨晴餘。草綠庭何掃。山明詩可書。墻陰雲過處。棋響客來初。眞率主人在。淸茶具飯蔬。</text>
<title>彰義門途中</title>,<text>朝日入山中。披雲度石上。巖泉淸滿懷。復有松風響。</text>
<title>苑署同金汝心 得恒 諸人拈韻</title>,<text>蛺蝶弄晴暉。翩翩園上草。千章綠樹深。百囀黃鸝好。墻接仙人壇。洞回樵子道。天中佳節過。幽澗蒲花老。</text>
<title>舍人司拈韻</title>,<text>出水嬌荷映畫堂。曲欄斜日晩風凉。淸遊却憶舍人興。翰墨光輝此政長。</text>
<title>苑署仲夏。與嚴叔一 啓興 諸人賦。</title>,<text>受風松有韻。遮日栗垂陰。此處炎蒸少。移時坐卧深。官閒無事吏。山近自來禽。北磵蒼煙起。乘凉可一尋。</text>
<title>集蒼軒次東人韻</title>,<text>忘暑圍碁際。銷愁置酒中。暝光栖鳥返。凉意早蟬通。爽耳臨樓澗。淸懷過樹風。相將有眞率。諧笑故人同。</text>
<title>初秋旣望集蒼軒。次東人韻。二首</title>,<text>朱槿花香細入衣。綠槐門巷轉秋暉。新凉客已登樓卧。旣望杯將對月飛。泉石有心恒日夢。風塵干祿十年非。相看故舊留連久。濡筆蠻牋且莫歸。鐘動天街暝色遙。西樓候月澗煙銷。銀河點綴雲間影。碧樹蒼凉雨後條。荷葉酒携投轄夜。絺衣節晩聽蟬朝。徘徊渠獨悠然意。院鶴聲聲徹九霄。</text>
<title>閏月旣望集蒼軒。拈韻同賦。</title>,<text>華堂筆硯盡淸娛。景物秋園漸看殊。階凈却憐嘉菊長。樓高唯愛遠山輸。淸光在郭樹如整。酒數宜人詩不無。知是幽期難放忽。釣絲料理又玄湖。</text>
<title>蒼軒秋日卽景</title>,<text>歸雲映夕塘。落照飜秋木。開戶對靑山。悠然太古色。</text>
<title>秋日書懷十韻</title>,<text>秋溪雨洗白。幽思捲簾前。忽已稻粱節。幾何鴻鴈天。城西卜築靜。事外主人賢。藥憐隨枕。茅墻愛過肩。愧余有拙性。出郭無良田。雪案空銷夜。朱門謾費年。老蒼鬢髮感。疎放酒杯眠。霽沼虗明日。深篁翠滴煙。隔隣來遠杵。依樹聽寒泉。歸夢滄洲上。扁舟蘆月圓。</text>
<title>秋日集叔一宅拈唐詩韻</title>,<text>老木自生響。秋天空作陰。黃花九日過。蒼石一軒深。遠度驚霜鴈。寒鳴及暮砧。携樽如昨日。斟酌且寬心。</text>
<title>至後八日。集蒼軒。</title>,<text>西北蒼山繞此軒。寒溪橋靜少街喧。今余不樂歲云暮。零雪其滂山欲昏。閉戶嚴冬多好句。圍爐終夕煖深樽。虗明池上層氷合。月到圓時梅亦繁。</text>
<title>蒼麓金同知 時模 挽</title>,<text>樞府榮銜二品加。暮年遊賞水雲涯。詞垣波接滄浪學。壽域歌長棠棣華。座上醇風敦薄俗。庭前玉樹潤其家。嗟公衣履今難覿。霜月空山古道斜。</text>
<title>香泉金同知 時綱 挽</title>,<text>委巷人稱德巋然。受天之報子孫綿。重朞心制逾看孝。平日躬行已著賢。壽域恩波官二品。華堂歡樂老雙全。那知此夜靈車啓。淚落千秋薤露篇。</text>
<title>仲春十一。同洪彥章 穉圭，李汝章 景聃 出郭。戊子</title>,<text>二月都門天氣淸。春風緩步道峰行。莫言山柳村花早。也喜傍人歌嘯聲。</text>
<title>過在澗亭</title>,<text>尋眞去路復緣溪。丞相門深蕭寺西。村近每遮桑柘翳。亭虗偏受霧雲低。天如不遠羣峰屹。春自多聞好鳥啼。曾是十年留宿處。一庭新草慣提携。</text>
<title>轉向望月寺</title>,<text>流水桃谿寂歷村。隔籬山犬吠人喧。松間石錯迷樵逕。雲際鍾鳴秘洞門。載酒頻臨佳處酌。題詩易到落暉翻。來時碧嶂渾當面。入寺逾知境不昏。</text>
<title>與天瑞金君猷 鎭泰 叔一出郭</title>,<text>緩步隨流水。雲霞滿郭東。草霑寒食雨。衣拂晩郊風。却喜市塵外。能謀蓮寺中。翛然坐長嘯。此意與君同。</text>
<title>暮春西臺。同金進士 基長 叔一諸人賦。</title>,<text>不愁風雨至。聊喜酒樽逢。落照翻高樹。行雲度遠松。草平堪作席。山逈自爲峰。更覺玆臺勝。全城夕靄濃。</text>
<title>暮春集彥章軒。堂叔及安章五 尙德 汝章同賦。</title>,<text>桃花如錦杏花稀。三月無端看欲歸。佳釀滿樽人盡醉。晴泥沾棟燕新飛。嗜書誰謂明時用。多病從知卽事違。滚滚淸言猶未已。短墻斜日照苔衣。</text>
<title>三淸洞。同金進士諸人賦。</title>,<text>春杯頻酌晩山霞。杯盡何妨酒復賖。八判洞深黃鳥語。三淸壇古碧桃花。光陰不住浮生老。林壑多情去路斜。慣到高驢幽澗齕。隔崗煙火近吾家。</text>
<title>彦章宅送春</title>,<text>王孫樹下减淸遊。志士樽前歎白頭。簷燕數飛空自訴。林花閒發似相留。鉤簾霽沼明虗檻。開硯靑山入小樓。政是一般惆悵處。明年此日又新愁。</text>
<title>初夏積翠臺</title>,<text>山下人家盡蔭茅。樽前詩句競推敲。重城夕氣煙初起。芳草晴光夏始交。庭木垂團花結實。宮松翻白鸛歸巢。名園自古專形勝。肯數高亭在遠郊。</text>
<title>金壽慶 善餘 挽</title>,<text>往歲三淸把酒巵。酒酣歌曲使人悲。君何預度生非久。吾已頻聞惻在玆。不墜家聲身後胤。長留人世篋中詩。傷心淚落蘼蕪草。冥漠重泉有孰知。</text>
<title>彦章宅。同章五，汝章及堂叔賦。</title>,<text>尺牘遙相速。欣逢故舊顔。林花初落地。城日晩晴山。事簡簿書裏。心存江海間。上旬明月在。握手醉柴關。</text>
<title>菊九絶句</title>,<text>嘉菊稱黃錦。其餘皆下流。故人贈數本。知是多情投。盡日出門歸。未看嘉菊色。移燈照菊盆。淸露方流滴。日日勤灌水。置盆擇凈土。不知花草人。嘲我太辛苦。妨雨又妨暘。過中則有傷。不乾而不濕。便是保生方。陶令愛寒操。不然那好栽。繁霜九十月。澹澹籬邊開。廵簷不計數。愛此凌霜花。秋雨書燈下。疎枝側側斜。儉巖山下室。酒熟去年秋。一吸喉間馥。寒英似蟻浮。數叢墻下在。霜落始爲開。巫峽淸秋夜。杜陵愁未裁。霜深花不變。柯葉復靑靑。明月引疎影。離披動一庭。</text>
<title>月季四絶句</title>,<text>此花開最久。自夏至秋節。不枉宋人詩。風流稱第一。紅白最嬋娟。枝枝好顔色。未知百花中。有玆開陸續。莫誇桃李好。不過一旬花。若道繁華久。應無此樹加。南中風土暖。大者過於籬。厥土無知貴。京師始擅奇。</text>
<title>初夏杏谷。拈韻共賦。</title>,<text>樽前何事說閒忙。醉後渾忘夏日長。一曲高歌將進酒。林花亂落繞筵香。</text>
<title>杏谷初秋集</title>,<text>書軒東畔古松盤。池上西風生薄寒。却喜朱炎隨雨退。更憐靑嶂入樓看。殘蟬抱葉斜陽靜。匹馬嘶林一院寬。對月今宵眠不得。綠荷零露曉應團。</text>
<title>仲秋夜。集審哉溪亭。</title>,<text>西隣步屧捨驂鞍。留語溪牕稍覺寒。樽酒有情堪秉燭。床書無競勝居官。槿香斷續風前細。荷露輕盈葉上團。莫道明星垂半郭。良宵可以盡淸歡。</text>
<title>閤梅 四首</title>,<text>移得西林手護栽。任他風雪日相催。身同逸士宜深處。待似高賓數問廻。滋蘂遶枝珠錯絡。盤楂橫幔月徘徊。商量盡是題詩料。嗅馥含杯可盛開。賦未開煖水深龕花意催。化工於此莫相猜。通宵不寐香微動。竟日頻窺句欲裁。瓣有高低同本植。枝分南北候時開。西湖昔稱忘形士。今古一般戀戀回。賦半開花前淸賞笑頻開。信宿斯樓輒把杯。遍體珠英魂欲幻。滿枝香雪霽還來。蝶難尋到天寒緊。人自留題歲律催。庭有靑靑松栢樹。襟期相托一窻隈。賦盛開疎粧淡薄减芳腮。月在嘉平春色催。雖費人功知性早。倘論花首始君開。懸楂耿似晨星動。落地翻如點雪來。起向紗窻惆悵立。餘香猶襲小軒隈。賦落花</text>
<title>小陵。同金汝貞 義恒 諸人賦。</title>,<text>風聲入夜滿西園。耿耿篝燈照不昏。繞院松高凌雪色。隔窻梅暖洩春痕。自然難捨比隣釀。便欲相忘浮世言。却憶華山前歲宿。上方幽靜堗深溫。</text>
<title>石池 己丑</title>,<text>磨琢山之石。方圓貯水靑。貞期千劫久。淸可萬形停。波動知魚泳。科盈覺雨經。當軒供玩賞。題品到看星。</text>
<title>端午</title>,<text>榴花紅日檻前闌。蒲葉淸風池上寒。艾虎相傳荊土俗。櫻桃新薦漢宮盤。幾隨形勝登樓賞。倍惜天時對酒歡。處處朱門團扇至。頒來應自五雲端。</text>
<title>三月西臺賞花 二首○甲午</title>,<text>陟彼雲崖眺望賖。白山芳草夕陽斜。春風本是多情緖。一夜通紅千樹花。今年同賞苑西花。芳草多生隔岸家。春樹渾沾前夜雨。夕煙仍作滿山霞。臨高坐已城雲近。細酌歸應磵月斜。淸境宜人俱邂逅。題詩莫道返棲鴉。</text>
<title>沁都之行。次陽川。</title>,<text>停帆楊子江。秣馬巴陵郭。西望海天開。浮雲同一色。</text>
