<title>曉寢</title>,<text>曉寢凝寒思。捋鬚氷入懷。童言昨夜雪。牕外小松埋。</text>
<title>和奉耕隱從氏禮卿 必龜</title>,<text>三盃澹寂餞殘更。忽忽長如送遠征。未暇回頭惜芳歲。有時憑夢近春明。何風又落淸河雪。此夜難爲故國情。感激孤燈生暗抱。塞天歸鴈影雙成。</text>
<title>將入香嶽。道中漫成。</title>,<text>重碧皆春樹。浮光忽夕陰。泠泠聽虛澗。一一寫吾琴。隔水孤烟出。緣林數屋深。詩成寄雲去。先與嶽僧吟。</text>
<title>暮抵普賢寺。諸君皆不至。</title>,<text>長短靑松路。流雲爲暮天。出林幽磬細。倚樹一庵懸。境幻身如夢。塵淸骨欲仙。山陰千古意。夜雪聽翛然。</text>
<title>諸君皆失期後至。至則魚川李督郵出示在道一律求和。和韻錄奉。仍叙昨夕之懷。</title>,<text>空江人不渡。斜日鶴翻舟。雪或妨中路。昏應到上頭。蕭騷一燈處。寂歷數僧留。歎息巖花歇。餘芳嗅小樓。</text>
<title>山行。走次魚川李督郵韻。</title>,<text>商略無煩理短鑣。一錢懸杖慰寥寥。仙源春早桃花水。緱嶺雲迷綠玉簫。山色與人全體好。客塵看我幾分消。夜來微雨呈新態。霽後千峰頭角嶢。</text>
<title>是行多敗意事。不可以盤桓。遂約四絶亭主人徑下山。歸路中次韻。</title>,<text>冥搜妨業障。餘債在禪樓。笑別雲霞去。前期躑躅遊。靑山持作證。白衲與爲謀。自擬經過處。不迷春碧流。</text>
<title>重遊香山。入朝陽境。路左有小亭。蕭散可愛。歇馬少憇。扁曰君子。下有池數畒。意其蒔荷處而今廢矣。但見春泥滑滑。</title>,<text>春江澹且淥。灝氣侵寒坰。不見君子花。但見君子亭。亭前有廢池。春草何靑靑。淤泥尙可愛。舊處留餘馨。馨香不可親。我思在冥冥。沉吟未能去。盡日林花零。</text>
<title>到普賢寺。寄四絶亭主人。</title>,<text>雪月風花各有時。烟林繪譜自添奇。與山半面曾投分。作別兼旬又赴期。溪雨欲來諠舊瀑。老僧相對話前詩。香爐峰下流觴水。遙向灣河送一巵。</text>
<title>幽花辭</title>,<text>幽花兮嫋娜。不在道周在空谷。山深谷邃兮無人見。春去秋來兮自開落。奔蜂戱蝶兮囉嘈。珠露盈盈香脉脉。願借東君新雨露。移來別處莊華屋。</text>
<title>自引虎至上院庵。拈韻得衣字。</title>,<text>松壑人歸響鐵絲。松花零亂點人衣。何王鏡裏螺鬟出。老釋筇前獸跡奇。行到上峰看瀑布。坐來深處有禪扉。魚龍寂寞風雲遠。古跡荒凉石角危。</text>
<title>阿難庵</title>,<text>澹坐雲千壑。孤吟月一池。風簷磬自響。香竈客來炊。夜雨凄龕佛。乾花點板詩。裟衣掛半壁。僧去不多時。</text>
<title>山行卽事</title>,<text>度壑遊筇散漫移。繁厓獨立眺望時。西山漠漠四溟遠。內院深深萬瀑奇。客到戱參獅子處。僧居多在鵲巢枝。毗盧直北金臺出。百里雲蘿咫尺垂。</text>
<title>題僧房</title>,<text>雨歇僧櫳寒翠重。夜深微月出前松。庭花不斷蕭騷響。自起開門看鶴踪。</text>
<title>香爐道中口號</title>,<text>呼僧前去扣禪關。身在香爐紫翠間。流水浮花終出世。倦雲尋樹自歸山。心看起滅隨喧寂。行有閒忙異往還。日暮凄風在浚谷。桂花撩亂不堪攀。</text>
<title>僧房晏起寓目</title>,<text>西巖花照日。老宿始開牕。夜聽疑山雨。今看是石瀧。浮雲他自化。孤嶂爾誰雙。落蘂無多別。明朝遇浿江。</text>
<title>伏覩上院菴簷角。有高王考觀察公題名處。葢歲壬子月季秋旣望之翌。方公佐關幕時也。歷百有十年之後。不肖適來。能不莊玩感淚。第惟月日彌久。字跡漫缺。輒敢忘僭補寫。以待他子孫之後至者。</title>,<text>先代餘香鴈㙮朱。卽看遺跡又仙區。長河流水自今古。半壁籠紗那有無。一力護持諸佛在。百年瞻仰小孫孤。前光曖曖游塵暗。更把新毫點舊渝。</text>
<title>暮抵內院菴</title>,<text>曼陀影泛醴樽開。黃面阿彌勸一盃。鐘定月升千磵檜。鳥歸花落半巖苔。山多凈土高僧住。地似愚丘我輩來。韻遠心空惟閉眼。南州底處有飛灰。</text>
<title>內院菴簷戺。有香山雲社四字。卽我退陶老先生寫贈西山禪師者也。空門幻域。得有先生手澤奇矣。第恨年𨓏板面腐敗。字跡黝䵝。向余入山時。與同行諸君。瞻眺感咜。遂捐囊糒若干。屬之魚川丞李君。謀所以新之之道。李君於是亟取舊板。金㓒紗籠訖。命僧藏之。別摸一本。刻諸新板。揭于舊處。噫香山不騫。寶額長懸。若李君尊賢之誠。亦可尙已。</title>,<text>花飛鳥度揔悠然。溪上風雲變態前。心畫昭森四箇字。法門留鎭萬斯年。朱華獨壽惟元氣。古鏡重磨自本天。歐九平生山仰志。毗陵遺跡幸流傳。</text>
<title>自內院至武陵瀑</title>,<text>前峰如笑後峰迎。舊客入門微月生。四面雲山皆我有。一牕燈火共僧淸。有時枯坐柟檀氣。何限新春草木情。不斷風香聞遠壑。武陵烟水泛花明。</text>
<title>佛影臺 㙜舊史閣</title>,<text>妙處差嫌隘。登臨曖遠光。潭心窺佛日。野草點芸香。一壑精神會。羣峰氣勢長。僧言此臺勝。頗似歇星望。</text>
<title>靈隱寺。擬古律體。</title>,<text>漠漠澗邊草。沉沉堦下松。老僧月中去。桂子墜西峰。僧去自古寺。我來惟一筇。須臾暮雲起。宿鶴影從容。</text>
<title>金仙臺。拈韻得承字。</title>,<text>遠樹葱菁不見僧。顚崖墮險強深憑。玄黃古色淸虛石。霜雪靈根波若藤。姹女雲釵屛裏墜。道人烟笠杖頭承。禪家觀物殊觀鏡。妙處休分內外稱。</text>
<title>老僧來話一席。辭以供佛去。夜坐悵然賦之。</title>,<text>胡僧手裏古銅丸。禮石參雲夜不還。蓮花漏水遲遲下。鶴影松聲我獨閒。</text>
<title>入洞春色尙早。殘雪依林。忽見巖畔孤花。</title>,<text>溪日凄凄作晩寒。入林春色凈羣巒。偶然傾倒東風意。數朶巖花雪裏看。</text>
<title>牛足臺</title>,<text>老君西下拜如來。橫跨靑牛上佛㙜。如來合眼老君醉。閒放花蹄踏碧苔。</text>
<title>晩歸。次上下禪菴韻。</title>,<text>晩歸人影兩行分。細草幽香陣陣聞。長笛一聲孤鶴起。隔溪驚散古松雲。</text>
<title>出洞吟</title>,<text>銅甁留貯武陵泉。黯黯桃花春可憐。淸月漸低幽磬遠。洞門深鎖九峯煙。</text>
<title>夜與儐相及巡使話。兩公出示龍灣唱酬之作。要余和韻。余辭未能。退以自賦。</title>,<text>晨鐘纔到獲新春。已作離家兩歲人。是處長時山有雪。今年二月水生鱗。西民大抵愁炊玉。北使如何強索銀。廊廟諸公方策力。使君癡坐享兼珍。</text>
<title>縣舍偶題。奉耕隱從氏。</title>,<text>晴川江上暮雲凄。凌漢城邊朔氣迷。携得小詩春色裏。寄來孤夢日華西。山含缺月明還晦。雪壓寒松高復低。蠻酒三盃君欲醉。歌姬慣唱白銅鞮。</text>
<title>從氏遊藥山歸。余恐其興盡也。略治酒具。邀于路中。詩以侑之。</title>,<text>晴月舟孤𨓏。烟花滿眼來。風流姜正字。春日藥山臺。京國人俱遠。襟懷孰與開。黃堂有醉客。餘興更分盃。</text>
<title>次謝恩副使權子定 以鎭 台丈韻</title>,<text>江天物色喚人醒。近樹濃陰落滿汀。二水中間浮佛島。孤城西北見禪扃。風潮來去有何意。霧峀高低無定形。更進陽關一盃酒。使車三日且淹停。</text>
<title>擬古淸江曲八絶</title>,<text>家在淸江上。慣踏淸江船。逢郞隔水語。下浦多紅蓮。采采紅蓮花。團團貼香輔。強言妾顔色。反被紅蓮汚。紅蓮不能白。白蓮不能紅。不如妾顔色。能白亦能紅。遺却靑菱花。照水靚新粧。郞來故相戱。濺波濕羅裳。相逢采蓮女。問儂何處住。儂家最易知。門有紅桃樹。含羞未肯說。恨殺龍灣商。不見漢鋪段。但有通州香。折花置懷袖。還家遇大娘。大娘劇妬殺。言我偸香囊。歡跨靑絲騎。訪儂南塘雨。儂言歡氣息。今夜甁花吐。</text>
<title>和殷山使君吳永伯 光運 見寄韻</title>,<text>踏遍關河四十州。祥樓物色視東丘。詩來頓覺祥樓重。便把祥樓喚雪樓。三載羇愁滯一州。淸江東岸是愚丘。詩成記石石無語。未若因風寄玉樓。交情淡淡酒盃深。萍水逢迎薩水陰。寒雨小燈看脉脉。四更鷄唱又何心。二月邊風朔氣深。大江波浪接天陰。座中猶有春生處。一笑相看君子心。</text>
<title>獻窩再從兄善應 必慶。時以問禮學士在灣上。以一詩見寄。遂和呈。</title>,<text>芳園舊會卽斯樓。錦繡笙歌春夜遊。豈有梅花贈遠客。任他嬌艶笑名流。歸途楊柳忽相傍。別淚臙脂猶未收。君去洛陽傳我語。此身三載困羇留。</text>
<title>箕城舘贈丁亞使 惟愼</title>,<text>衣冠衮衮逢迎地。嶺路迢迢夢想中。痛飮前宵桂糖酒。淹留數日綺羅叢。平沙十里江𩿨雨。古木千章驛樹風。柳綠桃紅渾漫興。楚魂無乃近詩窮。霜鞘古釰帶腥痕。極目秋光接塞垣。葢代威名提督李。傷心往跡普通門。詩中山水古今恨。洞裏嬋姸雲雨魂。怊悵仙槎消息斷。皇華舊曲詎堪論。千年石古荒臺晩。八月江深淸壁寒。物色關西天下勝。練光亭子畵中看。𪆽飛閃閃靑山出。帆去盈盈秋水寬。星斗東南人共遠。相思一夜獨憑欄。烟波忽起白𩿨羣。𩿨外鳴榔十里聞。入夜譙樓人寂寂。坐時江閣月紛紛。關河杳杳萍蓬會。洛水迢迢嶺嶠分。盃酒殷勤莫辭醉。陽關千里幸逢君。</text>
<title>題安陵縣壁</title>,<text>庭柯窸窣亂風鳴。西塞陰雲薄暮生。留得枝間三四葉。爲敎今夜着秋聲。牙旗欲動夕陽沉。太守乘閒偶一吟。吟罷淋漓題滿壁。壁間虫語是知音。居延城外朔雲堆。勑勒川邊送客迴。笛裏梅花何處落。皇華舊曲百年哀。晴川江水向東流。上有百祥千尺樓。愁時強欲登高去。朔氣關河不勝秋。僧來不語但長哦。香嶽虛嵐近若何。毗盧頂上遊人少。松桂秋深霜露多。蕭蕭秋雨大江寒。天際雲陰見藥山。落霞殘黛堪愁絶。開遍黃花亦等閒。太史東來品題公。浿江山水浙江同。百年華夏風塵裏。兩地江山蕭瑟中。三年不賦歸來辭。可笑安州饞太守。太守無田又無家。秋花春柳空回首。</text>
<title>送耕隱從氏之任昌平</title>,<text>湖南五十郡。最薄是昌平。世事銅符重。親年白髮明。翛翛竹林晩。寂寂縣齋淸。西塞秋風早。孤飛鴻鴈情。</text>
<title>寄殷山使君吳永伯</title>,<text>藥老題詩三十年。至今遐趣發蒼然。依依萬二千峯色。遠在天東近在前。官居淸絶不留塵。又得高僧作化民。就裏自多閒物色。古琴癯鶴捴宜人。白雲深處送僧歸。松桂陰濃掩縣扉。臨別不要留贈物。吾師自有福田衣。</text>
<title>棄官歸。兵相追寄一詩。路中和奉。</title>,<text>憶昨譙樓餞客歸。別時山郭見花稀。凉飈忽送安榴信。炎氣全消細葛衣。新闋未成關道易。暮雲遍傍太行飛。平生綽綽吾行止。不拘私恩不怕威。</text>
<title>奉簡昌平從氏</title>,<text>美酒琅玕液。新箋花草圖。使君頗好古。淸事不忘吾。卽此看佳政。披緘憶遠途。平生一中字。到處驗工夫。</text>
<title>挽姜臨陂繼而 纘</title>,<text>我涕流離我酒澆。南雲不去灑黃蒿。夢中草死池塘冷。湖外棲寒枳棘凋。雅好非緣鷄社近。遙華同指鳳巖高。憑君欲話八年事。魂斷西城風雨宵。</text>
<title>同蕙圃諸君。會眘節所。以古體一章六句爲令。拈放翁薄晩悠然下草堂一聯爲韻。余得薄字。</title>,<text>靑靑庭畔松。下有雙白鶴。主人頗好古。持此酬佳客。所遇亮非淺。有酒亦不薄。</text>
<title>同節蕙諸君。賦冉冉孤生竹。余得孤字。</title>,<text>君在泰山阿。贈我珊瑚株。感玆垂嘉惠。念君方遠途。爲君重雕琢。粲粲餙襜褕。封緘將以遺。經歲色不渝。側身梁父囏。岐路何𡾟㠊。恐君有兩意。欲𨓏還踟躕。園莾忽萎化。霜露沾我裾。結帶與君說。美惡無相踰。君如南山竹。妾作東磵蒲。聳然當妾拜。明德逝不孤。</text>
<title>蕙圃所拈韻。得皆字。</title>,<text>憶在蓮菴日。追游亦孔皆。歸來又此席。天地幾吾儕。歲月多新物。風塵有暗懷。無人問丹訣。朱草竟沉埋。</text>
<title>眘節所賦碧梧桐。得梧字。</title>,<text>儂道君家良易識。入門左顧有靑梧。相公去後神琴化。太守來時病鶴俱。遙夜小牕顔色改。滿庭虛葢月華孤。鸞凰自占高棲處。烏鵲飛過不敢呼。</text>
<title>挽李進士 處大</title>,<text>漁浦秋陰萬燐垂。蒼藤如束雨如絲。驢鳴寂寂空山暮。衰草寒蛩盡意悲。小閣哨壺折簡催。綠槐靑杏影徘徊。朝來火急丫鬟至。顚倒西城痛哭回。秋波動色見眞顔。坐處風生談笑間。渭水終南無限恨。靑衫一領送君還。祥樓絲竹浿江船。官酒留君蠟燭筵。一夜西風吹夢斷。白雲芳樹揔依然。霜雪關河歲月深。瑤華寂歷寄孤吟。觀音殿裏篝燈夜。香嶽神靈鑑此心。</text>
<title>次蒼厓南上舍兄見寄之韻</title>,<text>小大紛紜任爾曹。短長蕭瑟聽吾謠。邇來尺地人顔阻。何處孤雲嶺氣饒。危葉會風秋自語。殘樽貯月夜相邀。虛簷目斷差池影。去鴈無情天宇遙。時來天地有輝光。歲晩逵衢集露霜。萬木迎秋方爛漫。一蛩吟露似思量。山阿叢桂爲誰老。盃底聖人容我狂。夢裏玲瓏商雒畵。烟雲深處最難忘。</text>
<title>齋居書事。示節蕙兩君子。兼寄蒼厓上舍。</title>,<text>爲近煙嵐屋屢移。眼明雙嶽獻晴時。凉蟾未足雲何事。老竹無心風自欺。千佛都歸空色象。一簞終保陋生涯。江湖水活垂羅外。蘆葦秋繁鴈枝。山裝先數古詩凾。紫閣晴嵐又一擔。殘雨送秋歸遠壑。晩風無葉響空柟。隨時寒熱鴈猶俗。借夢榮枯蟻亦酣。西月滿樓人不至。倚欄閒唱望江南。</text>
<title>小雨餘。秋氣益滄凉。感而賦之。</title>,<text>小睡乘凉罷。依微殘酒醒。繁陰作晩雨。乍霽見孤星。敗燐垂虛照。寒蛩動暗聽。芳華無早晏。時菊自芬馨。</text>
<title>菊下與諸君飮。得朝字。二首</title>,<text>所與同寒瘦。秋吟赴楚騷。羣芳自無限。余髮不禁凋。西叟黃花笑。東家濁酒驕。留君更一語。此會復明朝。遲君短墻下。芳草可齊腰。小集親姻幷。寒家氣色饒。芳壺淸灧灧。露菊泛蕭蕭。忽憶承華日。恩頒自小朝。</text>
<title>呼韻賦海棠。錄奉蕙圃。</title>,<text>蘭蕙遭焚爲有香。無香渠自意深長。紅芳日炙嫌銷歇。故借春陰作晩凉。孤花脉脉欲生香。獨倚南風一睡長。終憶鳴沙十里路。白𩿨踈雨晩滄凉。夭華恨不配名香。參月依依怨夢長。臨到開時須着眼。濃中有澹熱中凉。</text>
<title>吳海恩 命恒 挽</title>,<text>帳殿嚴宵宵柝鳴。老臣前對涕縱橫。暮春雨雪京城暗。是日風塵圻甸生。天地誓心宗社在。山河無恙畵圖明。不須功行徵鐫石。已有吾王四字銘。紅旗黃紙萬人看。詮載垂光宇宙寬。少日精誠發宵寐。百年勳業濟時艱。江湖廊廟身先後。河北朝中勢易難。嚴鼓無聲鑾輅出。禁橋環衛白衣冠。</text>
<title>春坊直中。和玉堂諸君唱酬之什。</title>,<text>埤梧暗銷落。凉雨霎然過。覽此芳華歇。爲詩苦調多。深龍戀寒水。瘦驥倦鳴珂。宮漏依依曙。滄洲夢若何。</text>
<title>挽李襄陽擎天 世柱</title>,<text>已愁君去爲仙尉。未到靈區先解屍。句漏丹砂不堪問。海山眞境可能歸。扶桑朝日澹無色。洛寺梨花開爲誰。盡室終難歸羽化。兒寒親老更何依。</text>
<title>奉山陰使君柳丈 聖和 行軒</title>,<text>河隈物色近何如。儂道稽山勝子居。曲水流盃三月暮。荒碑問跡百年餘。樓臺影晩聽公事。松桂陰濃讀古書。終是癯寒非俗貌。鶴梅淸月照襟踈。</text>
<title>悼眘節齋李來初</title>,<text>嗚呼。眘節君亡矣。吾無爲爲詩。然昔王粲死。人以爲驢鳴送塟者。葢以粲平日好驢鳴故也。今眘節好詩。其塟也不以詩送之。是不如古之人。而其有負於眘節也多矣。然則吾詩其可已已乎。古者輓歌之始。相紼者歌于道以引柩。今其法廢矣。今之挽歌非古也。無寧歌之于筵几之側。以代相紼者之役。使不昧之靈。或者省聽於冥窅之際矣。且吾輩常日得一句。輒誇示以爲好。今余有此詩。而不令眘節知之。是死眘節也。其忍乎哉。遂錄古詩近體十篇。又略具漬絮之奠。詣柩前歌而侑之。從君所好也。象君生時也。亦以抒吾之悲也。詩曰。中庭有嘉卉。結根奧且奇。惠風日日來。化爲連理枝。連枝復同蔕。莖葉敷華滋。上有五色鳥。下有千歲龜。眄焉衢路側。婉㜻誰家兒。仰手掇其英。將以遺所私。爲謝彼姝子。愼勿採葳蕤。葳蕤政可愛。燦燦珠實垂。歷年方見食。逝余歸玉墀。誰昔夢見之。怳惚在余側。寒缸翳復明。惟聞子歎息。歎息將何爲。周遑意悱惻。譬彼遠行人。一𨓏靡所極。悠悠卽長暮。倀倀底不憶。堂上有爺孃。堂下有妻息。情根留一種。創心如刺棘。天道有崇替。達人齊壽夭。纍纍郭門土。白楊相繚繞。下有陳死人。借問誰老少。古來皆如此。怛化非通曉。但爲君子人。生死關世道。常懷世道憂。重子千金寶。所以古之人。交交賦黃鳥。銀派何滉漾。秀川瀹其沚。穆穆完平公。懿烈光前史。芳徽紛藹藹。慶澤流千祀。黃金豈不佳。所貴淸白遺。亦有仁者壽。永言錫爾類。玄孫趾厥世。皓首輝金紫。物理不可推。人事有成毁。六代七百年。始見父哭子。老人白髮長。哀哀中夜哭。我家有綵衣。靑杞在時作。煌煌五色絲。燦爛繡龜鶴。流傳六七世。世世服無斁。翩翩舞廣袖。孝子戱我側。觀者咸稱美。一辭歸我福。我福不盈眥。重爲我兒惜。兒今日冥冥。黃壤永幽隔。疇昔謂我好。如今憐我獨。寥寥掩子舍。遺掛猶在壁。寒家缺終事。短衾頗不足。綵衣不忍斂。留與孝孫着。開凾有光怪。見君前日䟽。長跪讀血字。是豈吾輩語。千秋寄孤躅。問誰其殆庶。前有李長源。後有唐侍御。忽瞻紫峰高。依歸卽有處。世道日沉冥。醨糟競飽飫。涇渭自殊原。梟鳳詎同翥。婉婉彼之子。齒舌如刀鋸。龍性本自用。矯矯誰能馭。獨立忤時議。剛柔不吐茹。身窮道益亨。跡畸名愈著。羣芳欣有托。荊棘略鉏除。于筒一派水。浩浩東流去。惻惻復惻惻。少女垂涕對。兒生纔七歲。慈母遽捐背。伶俜縈憂苦。哀怨集眉黛。前年承際會。得與君子配。入門拜阿舅。阿舅謬見愛。坐我小姑傍。憐我新婦態。束我雲錦裳。結我香玉珮。高天降嘉惠。持以銘吾肺。中厨有旨甘。欲養還不待。天地爲低仰。日月爲晻晦。兒旣薄祿相。十年遘𥚁再。兒實無罪過。鬼神何憤憝。筠釵亂雲䯻。涕血被苫塊。春花何晼晩。春意政闌珊。睠焉懷我人。緩策過井欄。前迎無蠢僕。左顧有蒼官。咯咯欬唾響。時時睡夢間。搖搖似乘船。宿醉猶在顔。身邊大布衣。頭上弊氊冠。不梳亦不洗。揎膝坐如盤。呼兒吸新泉。一椀沃喉乾。須臾便突兀。精彩聳眉端。謂我莫遽歸。聊與叙古歡。松梧並淸聽。古瑟手自彈。一彈高山操。再彈行路難。三彈未終曲。谷風泛幽蘭。朝日照梧桐。玲瓏彩翼翬。三十升玉堂。四十着金緋。盈盈公府步。出入靑瑣闈。亦言專城居。嶺海與王圻。衆人看奕舃。爾心同布韋。豈不念寒舍。苟得非所希。窺灶不見煙。妻子長苦饑。東市賣孤鶴。西市質朝衣。澹泊守故轍。義勝形亦肥。古來有黔婁。斯人可同歸。蒼檜爲君車。碧荔爲君糗。芳樽淡新醴。薤露凄寒莾。蕭蕭我馬白。躑躅在車後。常時一日別。邈若三秋久。靡靡此行邁。曷月言歸否。我常爲君影。隨君在左右。君今處大陰。漠漠影何有。百年同朝露。萬事歸山阜。良無金石固。安得長不朽。今生亦云已。逝結來生友。</text>
<title>又和吳永伯悼眘節詩韻。四七律。</title>,<text>東南風氣半昏明。錯落參商自弟兄。靜處別開寬世界。法門嚴護舊章程。蘭芳解佩同心臭。梅雪緘書幷蔕情。萬古人亡惟月在。敗琴凄咽不成聲。行屛軒軺爲省勞。蹇驢跨出醉眉高。盃樽約日飄然至。笑語生風獨也豪。激處平流時觸石。解來銛刃不遺毫。南州炎德今如許。淚灑千秋誦楚騷。雲月凄迷不放輝。依依華簟曙燈微。殘樽餘閣黃花酒。古製塡棺白鶴衣。一死定應關氣數。餘生猶自憾藭歸。人間箭折弓無用。吾道如今看日非。文章不受俗人羇。卷裏胷中自有師。斤斲細心防暗跡。吟安箇字闘新奇。悠悠世事惟中酒。往往詩愁或上眉。可是陳編留濕氣。牕桐遙夜雨聲悲。</text>
<title>義林池暮歸</title>,<text>澹澹林池夕。蕭蕭楓岸秋。一遊卽公事。三宿又仙洲。遠霧沉如海。羣山浩欲流。須臾孤月出。遙見水西樓。</text>
<title>次永春縣</title>,<text>官閣連樵戶。禪齋訪使君。穿蘿出候吏。傍馬看歸雲。峽日無多照。氷泉有暗聞。誰能同此夕。幽事與平分。</text>
<title>自北壁挐舟。下丹陽湖。</title>,<text>遠客初秋後。前山薄暮橫。繫舟鳧鴈近。傍岸菰蒲鳴。林靄有時歇。水天終夜明。浮雲紛北去。此意漭難平。</text>
<title>舟次。得社中諸君南字韻。</title>,<text>上江楓葉落。秋色老龜潭。柔櫓數聲遠。飛𩿨一隊參。玲瓏俯玉鑑。寒碧出霜杉。終憶吾廬卧。天遊自巷南。</text>
<title>舟行</title>,<text>北壁烟嵐一萬重。前龕水淺亂雲封。獨帆高出兩津樹。半嶺疑聞浮石鍾。古檜衝霄方偃蹇。羣山向夕遂從容。舟人笑指維舟處。舟隱巖邊第幾峰。翩飛鸛鵠幾時還。一笑浮雲天字寬。砯路危懸小白下。峽流齊發大黃間。長林礙日村村夕。衆壑分秋樹樹寒。小妓知吾詩欲就。安排筆硯話前山。虛舟泛泛道心生。鳥度雲移自性情。山色經秋如我瘦。灘聲永夜爲詩淸。天涵遠水繁星動。月隱長堤立𪆽明。明發龜潭奇事在。只愁便別鳳棲亭。欲做熱官思爛熟。且將淸事慰枯窮。帽邊偶得神仙地。篷底高吟樓閣風。水戶有田多白𪆽。火山收稷半丹楓。降仙㙜下嬋娟塚。暮雨朝雲寂寞中。檣竿拂日閃寒烏。木落層層玉笋孤。四郡舊稱湖左勝。二潭應是嶺東無。江流浩浩歸空境。歲月騰騰送遠途。豈有新詩增意氣。每逢佳處困伊吾。丹丘洞府石門高。上有仙人舊種桃。曉日空濛江氣合。晩風搖落葉心勞。連天帆勢如歸翼。傍岸村居似點蠔。夢向虛簷看急雨。朝來別浦聽新濤。三仙遺躅月悠悠。仙去山空客不留。落日歸舟初下碇。淸風故郡始登樓。秋湖渺渺襟前大。畵境依依夢裏遊。可是諸公輸我健。吏情安得到滄洲。來時不見菊花黃。盡日孤樽草草香。物色何曾山鳥識。打包渾作水仙裝。天橫北斗宸居遠。夢斷南雲嶺氣長。爲是君恩酬不盡。故園歸路未全荒。</text>
<title>延陵客舘。和贈宋生 光協。</title>,<text>山客不閒談赤明。晩盤鮮潔有秋英。品題山水詩如畵。搖落江湖客有星。仙窟都歸分外境。釣灘猶作夢中聲。梅前鴈後差池興。殘雪蕭蕭送遠征。首句屬生。頷聯自賦。</text>
<title>淸安舘。次蘭溪族祖壽甫 碩年 見寄韻。</title>,<text>遍歷山崦與野扉。行㙜卽事少光輝。五更歸夢頻逢鴈。九月行人未授衣。君自洛京何日到。我來消息一旬稀。巷南楓菊蕭騷意。悵望秋天虛翠微。</text>
<title>路中書懷</title>,<text>湖上歸雲空自斜。湖中遠客意如何。風塵有累身將隱。歲月無情鬂欲華。野老秋容多白酒。山家烟落有黃花。微官不辦平生事。淸福看今讓爾多。</text>
<title>紀行</title>,<text>快馬便輿仍畵船。雕盤綺食又瓊筵。行經孟浩靑山郭。踏遍王維白𪆽田。</text>
<title>次西原伯軸中韻</title>,<text>代柱帖留香案頭。於斯良吏最先收。王曰西原新去亂。爾能寬猛得中不。</text>
<title>沃川舘。贈文山使君趙子輝。</title>,<text>憶昨荊江上。逢君暫揖鞭。萍蓬偶然合。膠㓒本來堅。吾輩元非俗。樓名又換仙。共尋前夜夢。歸思滿雲天。</text>
<title>步前韻。答文山守。</title>,<text>詩來人不到。寂寂候吟鞭。歲月瑤華晩。風霜物性堅。沃州山欲買。勝處我爲仙。政急寒梅信。歸應傍臘天。</text>
<title>次韻。酬懷仁使君李益之。</title>,<text>山閣陰陰晝下簾。氷髭酒滴亂珠添。分得小松新氣色。晩風殘雪護前簷。龍綃截下七襄機。賜罷諸臣拜舞歸。底事西州老太守。十年猶着舊朝衣。已上庚戌撿田時</text>
<title>菊下飮酒。贈社中諸君子。</title>,<text>娟娟霜下菊。旣晩爲誰華。秋容澹可悅。無此豈君家。右屬應兄知足堂中月。依然前夜華。持盃與君說。酒盡向君家。右屬瑞友科第今如土。簪纓不是華。社中人物論。先數布衣家。右屬質兄芳蘭爾珮㓗。碧芷爾衣華。山阿歲暮意。雲構以爲家。右屬淳叔</text>
<title>元宵飮蕙君宅。和權士恢 基彦號竹塢。</title>,<text>小徑穿林久不回。強來今夜問餘盃。年華荏苒春無賴。雪意凄迷月不來。未信聰明由此酒。各將寒苦對殘梅。煩君小坐留佳句。簷角鷄聲莫漫催。</text>
<title>疊韻。奉竹塢。兼簡蕙圃。</title>,<text>閒簷負手繞千回。小酒涓涓不滿盃。隔樹猶聞碁子響。過墻虛待履聲來。春心得雨先歸柳。詩思侵寒半入梅。窮歲生涯成澹寂。坐看時物自相催。</text>
<title>重勘盃字</title>,<text>小睡幽牕鳥喚回。山醪初熟試新盃。閒時覔句門常閉。坐處無氊客不來。昨夜五更風折木。今年二月雪如梅。瑤華寂歷相思苦。一曲鳴琴意轉催。病暍時時首獨回。寒家生理但空盃。碁聲北牖開時得。山色東城缺處來。危根貼雪偏憂菊。冷蘂先春別有梅。老興漸於詩律懶。新題剛被故人催。</text>
<title>酬竹塢</title>,<text>儂道儂家未易尋。小橋東巷板扉深。依依暮郭浮雲色。脉脉春田晩木心。酒暖應添行藥力。詩寒纔合爲梅吟。閒時小適妨腰脚。猶自隨人說遠岑。</text>
<title>有事曉起。忽憶蕙君顔字詩。卛意和奉。仍示同社諸君。</title>,<text>寒鷄啼盡未。落月在山顔。簷靜鳥能夢。囷空鼠不姦。衰燈光吐細。虛牖白生慳。擾擾百年內。斯時只暫閒。</text>
<title>病中得蕙子詩。感懷屬筆。辭雖俚。亦古風人之遺也。</title>,<text>的的所歡遇。垂楊村巷東。門前流水綠。庭下含桃紅。時物爲誰好。春衣與子同。殷勤風雨夜。古意屬鳴桐。</text>
<title>和蕙子韻。奉獻窩兄。時兄新自菁川居殿還。</title>,<text>娟娟石樓月。樓下見歸舟。太守政非拙。佳人字莫愁。嶺寒靑草遠。村晩濁醪柔。到日寥寥枕。談空說有不。</text>
<title>前詩冒瀆悚悸。疊吟一律。却奉獻窩兄聽裁。</title>,<text>憶昨南江上。盈盈泝月舟。前華巖鳳遠。古蹟寺梅愁。宦業黃楊厄。離膓綠柳柔。能將五斗米。買此一閒不。</text>
