<title>正陽寺</title>,<text>月隱靑蓮外。雲生古㙮西。淸簫擬一弄。秪恐鶴驚栖。</text>
<title>重陽日。贈虗舟崔岦之。</title>,<text>飄零關海外。惆悵未言歸。客淚添寒袖。官銜帶尙衣。城秋踈樹冷。江晩遠帆稀。苦斂冲天翼。何緣得得飛。</text>
<title>次淸虗堂韻</title>,<text>瑣尾湖中客。秋風試一登。接天滄海濶。塡壑暮雲層。雞足嗟難往。鵬翎恨未乘。千愁仍獨坐。林月已東升。</text>
<title>次叢石亭韻</title>,<text>海上神仙府。流傳白玉樓。芝輪何代去。苔碣至今留。逸勢天公護。奇形鬼斧鎪。高蹤宛似昨。千載繼淸遊。</text>
<title>通川郡齋漫題 四首</title>,<text>羈束金蘭郡。支離歲又更。荒庭山鹿遍。殘堞野花明。飄泊身將老。蕭條病轉嬰。煩憂不自整。白髮滿頭生。廢郭臨靑海。漁村是四鄰。颶風今幾日。瘴雨已經旬。破碎心無賴。輪囷膽有神。天涯回白首。戰地尙黃塵。危磴晴烟外。孤城碧水西。官渠野蠏集。庭樹渚禽棲。白達鄕音斷。黃塵海戍迷。天寒不成寐。還與夜烏啼。久客饒情緖。無端涕滿裘。一身天共遠。萬事水同流。寂寞邊城暮。凄凉海國秋。豺狼應屛跡。早晩返林丘。</text>
<title>贈道和上人</title>,<text>昔討楓岳。一見仙姿。雲泥相阻。已卅有四年。悠悠一念。常往來于懷。今者佩符通州。登臯觀稼。師也翩然來訪。鶴貌星眄。宛然舊形容。感古興懷。題贈拙語。憶昨摩訶衍。蒼茫柱遠筇。東西南北水。一萬二千峯。鶴唳金臺月。僧鳴寶閣鍾。風埃空白首。夢想舊遊蹤。</text>
<title>普德窟</title>,<text>歷覽摩訶衍。來尋普德蹤。雨餘喧衆瀑。林缺露諸峯。爛熳花千樹。淋漓酒百鍾。斜陽不盡興。長嘯倚風松。</text>
<title>杆城道中</title>,<text>小聚臨滄海。柴扉面水開。沙暄𩿨亂泊。洲暝釣初迴。故國身千里。他鄕酒百杯。干戈何日定。衰謝只相催。</text>
<title>襄陽</title>,<text>踏盡鳴沙路。停驂峴首城。踈松當戶偃。缺月入簾明。謾洒懷鄕淚。空傷報國情。笙歌在樓上。嗚咽不堪聽。</text>
<title>臨瀛府。留別主人使君鄭寒岡。</title>,<text>拭却枕戈淚。留連海上城。風流賢府伯。潦倒老書生。宇宙千年恨。峩洋萬古情。天涯一爲別。幾日更逢迎。</text>
<title>湖海亭。贈主人。</title>,<text>勝勢兼湖海。幽亭稱野居。簷虗樽帶月。波凈鷺窺魚。松竹千竿足。圖書萬卷餘。閑忙不同調。自與世相踈。</text>
<title>永郞湖</title>,<text>絶境仙蹤在。誰能繼雅遊。鶴歸雲萬里。松老月千秋。逈榭臨無地。平湖澹不流。依俙雪岳上。芝駕至今留。</text>
<title>降仙亭</title>,<text>驢蹇何須促。鳴沙路細分。吟詩滄海岸。賖酒白鷗村。松老千秋月。山含萬古雲。蓬壺應不遠。一蹴伴仙羣。</text>
<title>謾吟。寄榮老。四首</title>,<text>虗堂殊寂寞。桐雨送微凉。海近濤聲壯。山重雲氣長。干戈多歲月。骨肉感存亡。滴盡三年淚。空催兩鬂霜。迢遆來東郡。兵戈喪亂餘。不堪霜映髩。無復鴈傳書。作客頻經歲。歸山未遂初。松楸長入望。天末幾沾裾。江漢思歸客。孤吟滄海頭。桐飄金井雨。蛩咽碧城秋。家遠鱗鴻斷。山空猿鶴愁。林丘長入夢。羇思日悠悠。百戰餘殘堞。三霜滯老夫。浮名宜已已。歸計却區區。風便數聲鴈。凉飄一葉梧。平生多少意。搔首獨長吁。</text>
<title>偶吟</title>,<text>小崦明殘日。孤城帶落霞。寒林鴉亂集。陽渚草新芽。一宦偏催老。三年苦憶家。故山常在眼。崖竹暎梅花。</text>
<title>罷官阻雪。寓回山尹生家。</title>,<text>禍福由人召。酸寒分所甘。畦蔬當美肉。鶉葛勝靑衫。愛靜門常掩。蠲煩口欲緘。吾廬春正好。歸夢繞江潭。</text>
<title>劉座首林亭 楓岳洞口</title>,<text>萬疊山如畫。臨流屋數間。自無簪紱累。聊與鶴猿閑。好鳥迎人語。幽花滿樹斑。林邊開小酌。綠水暎酡顔。</text>
<title>淸風溪。贈歌姬玉介。李宜仲，韓景洪，李基衍，許仁叔。預會。</title>,<text>萬死身猶在。遼城鶴影孤。溪喧風滿袖。林靜月侵壺。洒落諸賢契。飄零舊念奴。寬心應是酒。爛醉任人扶。</text>
<title>贈宋德珪老兄</title>,<text>小宅林邊靜。松扉斷俗譁。簞瓢甘寂寞。翰墨事吟哦。歲課唯園木。家藏但釣簑。世人爭慕德。骨肉更如何。</text>
<title>雙溪有感</title>,<text>往事茫如夢。空亭閱幾秋。自憐新白髮。却憶舊靑眸。雪盡溪初漲。林暄草欲抽。九原難可作。誰與共春遊。</text>
<title>春遊</title>,<text>隙駟光陰促。繁霜忽滿簪。紳纓終敗興。泉石且娛心。細草交新翠。踈松落晩陰。寬心無似酒。盡意爲君斟。</text>
<title>寒碧樓</title>,<text>淸風稱勝郡。寒碧偶來登。曲渚眠寒鷺。遙沙點釣燈。簷迎蘿月白。窓壓水雲層。飄泊風塵際。長吟氣益增。</text>
<title>留寄鄭伯兪</title>,<text>異境松雲外。危橋楓樹中。紅迷水上下。靑濕岸西東。夙有三秋約。還孤一榻同。仙蹤無覓處。獨立萬山風。</text>
<title>立春日。錄奉釣徒。釣徒家。住鏡浦邊。乃漁村沈相之裔。</title>,<text>衰鬂添新白。靑陽替去年。隻身鯨海外。孤夢鶴峯邊。遠岸明殘雪。平波漲暮烟。幽懷無處瀉。一杖訪詩仙。</text>
<title>錄奉釣徒</title>,<text>窓挹羣峯翠。門臨一鏡平。丹丘甘晦迹。白首尙窮經。玉樹風聲遠。氷壺月影淸。三生餘習氣。江海養高情。</text>
<title>龍頭。與姜信仲，鄭永叔有約。有薪憂未赴。仍占短律。</title>,<text>萬古天慳地。三賢一廟堂。高名寧泯沒。祠宇但荒凉。道大風逾遠。山高水亦長。遺基蔓野草。何處奠椒漿。龍頭。里名。曾有三賢書院。移建他所。</text>
<title>滄丘。憶冲庵先生。二首</title>,<text>塔古雲常宿。江澄漲碧羅。風光宛昔日。春色醉桃花。山紫啣斜景。林明捲晩霞。窪樽今尙在。撫迹一含嗟。萬古冲庵宅。斜陽思渺茫。柳風鸎舌滑。花雨燕泥忙。訪古人來晩。傷時客意長。寬愁唯有酒。莫惜醉淋浪。</text>
<title>題韓景逸月浦亭</title>,<text>地與塵間隔。身從物外閑。松深雲繞屋。江凈水明欄。浪迹宜淸境。高懷在碧山。何當結隣社。烟月共垂竿。</text>
<title>思遊大芚山。奉呈李汝寅諸賢契。</title>,<text>逸勢雄南紀。神功鎭海東。川聲走白石。秋色染丹楓。身落紅塵窟。魂遊碧霧中。上方何日夕。焚麝一樽同。</text>
<title>月浦泛舟</title>,<text>絶勝烟霞境。神淸發興奇。纜侵堤柳繫。釣向浪花垂。葦岸秋晴日。松林月上時。衆眞擔酒至。琴女亦相隨。</text>
<title>雙淸霽景</title>,<text>山下幽人宅。樽深菊未枯。平臺開七級。嘉木欝千株。玉露三更凈。纖雲一點無。氷輪轉碧宇。皓彩滿淸都。</text>
<title>滄丘訪舊</title>,<text>往事嗟何及。湖邊土一丘。松摧巖獨古。人去水空流。境僻蒼烟積。波寒白鷺愁。窪樽今尙在。撫迹重淹留。</text>
<title>東池賞蓮</title>,<text>萬樹濃新綠。高臺夏亦凉。晴雲迷戶闥。暗水入池塘。雨過紅房凈。風翻翠盖張。相將無事酒。竟日挹淸香。</text>
<title>錄示雙灘</title>,<text>窮老誰相問。蓬門晝不開。吟筇隨意住。詩句盡情裁。巖逕新移竹。林園遍種梅。此間佳客至。一笑侑山杯。</text>
<title>雞龍山雪峯庵。憶一見丈老。</title>,<text>憶昨雪峯社。穿雲訪上人。杏壇花糝錦。松磴月鋪銀。盥手巖泉日。焚香石榻晨。流年如逝水。三十一回春。</text>
<title>別汝章</title>,<text>摻手欣相遇。驚心忽別離。團圓知有數。聚散本無期。岳色侵雕檻。秋光映酒巵。征軺不忍發。歸路夕陽時。</text>
<title>注山馬上口占</title>,<text>崎嶇登峻坂。斜景已西沉。亂水交平野。寒烟淡遠岑。菊殘香糝逕。楓爛錦粧林。景物撩人眼。詩成信馬吟。</text>
<title>與春湖小酌</title>,<text>異境欣相遇。荒郊暮景淸。休嫌雙鬂白。唯喜兩眸明。通塞知關命。榮枯莫繫情。槽床有新注。一笑爲君傾。</text>
<title>次冲庵閑居秋興 五首</title>,<text>丘壑情偏愜。風塵夢亦驚。盈床書籍亂。遶檻竹松淸。只愛閑居穩。寧容俗累嬰。焚香方燕坐。巖際看雲生。節物頻搖落。冲襟正杳冥。林踈烟澹澹。巖靜水泠泠。風月供幽詠。江湖笑獨醒。荒庭時散策。騁目白雲坰。岸樹秋容媚。天涯感客情。時危萬慮集。身老百痾嬰。榮利心猶息。烟霞癖已成。淸秋好風景。寂寞掩柴荊。舊屋臨溪靜。來棲歲屢更。脩篁千挺匝。虗籟一庭淸。絡緯聲猶咽。梧桐葉已驚。感時仍不寐。山月正盈盈。久客多愁思。逢秋轉不平。潭淸潦水盡。山紫暮烟晴。寂寞身將老。蕭踈鬂忽明。丹心猶耿耿。迢遆夢神京。</text>
<title>奉別東湖罷官歸家</title>,<text>世事那堪說。升沉不足嗟。明珠還有謗。白玉却無瑕。琴鶴行裝淡。關山去路賖。河橋違摻袖。瞻望意如何。</text>
<title>題宋擇善臨淸堂 二首</title>,<text>山水平生意。𩿨盟趁未寒。玆遊誠我願。美境是天慳。砌菊叢叢嫰。巖楓葉葉丹。淸秋不盡興。斜日澹忘還。鑿破溪邊石。臨淸架小堂。層流喧澗谷。飛沫濺衣裳。邃谷蒼烟合。重巖細菊香。誰知仙鶴骨。高卧此山莊。</text>
<title>憶賞心軒舊事感懷</title>,<text>終南生淑氣。花柳滿春城。松翠當簷滴。氷輪透檻明。長拚文酒會。久負鶴猿盟。勝事輸閑夢。窮途百感生。</text>
<title>遙寄宋德順</title>,<text>聞說考槃處。臨溪縛數間。自無塵土累。唯愛水雲閑。事業經千卷。生涯釣一竿。恨無身羽翼。引領海天端。</text>
<title>寄贈月浦亭主人</title>,<text>白首君經患。三春我抱愁。遣懷無善策。逃暑有名樓。虗籟千松夕。淸風六月秋。何當欣把手。一笑共銷憂。</text>
<title>凉亭</title>,<text>松臯澄霽霧。高構畫難形。村帶朱陳號。巷分南北名。林邊一水凈。天際九峯靑。情話咸親戚。山樽共一傾。</text>
<title>錦雲亭避暑。示主人。二首</title>,<text>秋後暑還仍。蝸廬氣欝蒸。暫凭臨水檻。閑伴下山僧。亂樹淸風起。危欄爽氣增。翻疑陰壑裏。露脚踏層氷。處世慚吾拙。休官羡子能。棲成碧沼上。窓壓錦雲層。爭席唯溪友。論襟但嶽僧。塵緣渾凈盡。心境玉壺氷。</text>
<title>竹山途中</title>,<text>午醉添春困。停驂憇晩沙。拖紈花外水。活畫柳邊家。塵思猶湯雪。鄕心劇逝波。遙憐節友社。落盡小桃花。</text>
<title>雞龍山道中 二首</title>,<text>偶然成好約。勝侶又同行。脚力何妨澁。胷襟轉覺淸。秋容明遠樹。斜日下荒城。此會眞堪詑。芳樽盡意傾。出郭少塵事。聊偸半日閑。縈林雲靉。激石水潺湲。崖菊經霜凈。巖楓映日殷。潭邊喧皷笛。一笑罄餘歡。</text>
<title>東學寺</title>,<text>弱齡諧勝賞。白首又登臨。獨木橋橫澗。千竿竹作林。烟霞挑逸興。文酒暢雄心。梵閣鍾初動。斜陽下碧岑。</text>
<title>次白石散人韻</title>,<text>林𦤎棲息穩。心事自淸幽。本是耽山客。初非玩世流。披雲迎五馬。對榻豁千愁。雪月今宵勝。襜帷願少留。</text>
<title>松潭謾吟</title>,<text>松逕沿淸澗。茅簷對翠微。林暄春鳥哢。潭凈錦鱗肥。已覺淵明是。方知蘧瑗非。還憐隣隱老。日日欵柴扉。</text>
<title>松潭</title>,<text>蓀室人初散。松扉夜不扃。霜侵楓葉紫。月入藕塘明。蟋蟀秋聲苦。松杉夜氣淸。繁愁不自製。孤抱向誰傾。</text>
<title>永同東臺。錄示鄭黃澗君澤，姜永同遵。二首</title>,<text>三生懷想地。一夕遇知音。文酒殘年興。湖山萬古心。香傳細菊岸。霜染晩楓林。坐久仍怊悵。歸途生暝陰。慳秘千年地。高秋物像佳。天低紅樹岸。江濶白𩿨沙。列戟東南峀。拖紈遠近波。使君擔酒至。斜日聽笙歌。</text>
<title>降仙臺</title>,<text>揷江千丈石。上有碧松稠。仙去臺猶在。江空月獨留。舍盃元意氣。爭席亦風流。薄暮喧歌皷。魚龍識壯遊。</text>
<title>次白石明府韻</title>,<text>竹戶經旬掩。閑情日日新。鵑聲千澗月。梅信一庭春。松茂宜藏鶴。潭深可托鱗。阿誰題尺牘。珍重問幽人。</text>
<title>和振衣韻。錄奉福汝案下。</title>,<text>有客來相問。山翁眠起時。庭花含露艶。溪月入簷宜。寓興裁詩句。寬愁進酒巵。休論身外事。通塞信天爲。</text>
<title>題宋戚長江舍</title>,<text>晩醉滄丘酒。迂尋法水村。汀烟輕冉冉。林月白紛紛。洒落軒窓靜。欣然笑語溫。寒魚新釣得。爲我更開樽。</text>
<title>過尹致遠墓有感</title>,<text>宿草侵床石。江雲鎖壠林。羊曇情不盡。伯道怨何深。紋局閑消日。淸樽細話心。歡娛輸一夢。回首淚沾襟。</text>
<title>處暑</title>,<text>三庚倐爾盡。絡緯語淸宵。筠檻金風動。荷塘玉露凋。光陰驚荏苒。物候漸蕭條。憀慄徂年感。沉痾幾日消。</text>
<title>挹灝亭</title>,<text>榮進非吾願。林居晩學農。宦遊餘悔吝。棲息幸從容。簷逈雲生枕。天晴月逗松。年衰偏愛靜。高卧養踈慵。</text>
<title>崇賢講堂初成喜甚。錄呈院長賢契。</title>,<text>松杉閟棟宇。丹碧炫朝暾。門對雞山月。簷連甲水雲。紫宸新額下。白鹿舊䂓存。衛道誠心切。堂成會以文。</text>
<title>錄呈秋峯道契。兼示宋述甫賢君。</title>,<text>平生江海志。寂寞一茅庵。久負尋𩿨約。空懷駕鹿驂。林踈留赤葉。山靜帶晴嵐。幾日崇賢舍。懸燈做夜談。</text>
<title>水落洞</title>,<text>八十老居士。今成世外人。三冬長卧病。萬死幸全身。文酒陶新興。溪山媚晩春。回頭爭奪地。榮辱捴非眞。</text>
<title>偶吟</title>,<text>百拙老居士。行年八十春。蕭條新活計。汩沒舊精神。斷想簪裾累。娛心寂寞濱。山扉人不到。花鳥日相親。</text>
<title>甲川小集</title>,<text>爲愛秋光晩。開樽碧水灣。感時雙鬂白。憂國寸心丹。撥悶寧容易。行身轉覺難。千愁仍痛飮。斜日映酡顔。</text>
<title>新春有懷。冷泉卽事。口占。</title>,<text>曝背茅簷坐。陽坡雪汁融。柳眉初展翠。桃眼欲舒紅。遣興唯黃卷。娛心只短桐。春來猿鶴夢。長繞冷泉中。</text>
<title>欲賞冷泉。題寄諸君。要與同尋。</title>,<text>咫尺聞名久。多慚負勝遊。鵑啼幽澗月。鶴唳亂峯秋。世事眞堪笑。閑情不自由。誰能挽我去。一洗百年愁。</text>
<title>題淸坐窩</title>,<text>擧世稱英達。韜藏閱幾霜。衣纓心久斷。漁釣興偏長。綠竹當簷凈。黃花滿砌香。日傾賢聖酒。高枕夢羲皇。</text>
<title>余感寒疾擁汗衾。乃庚申季冬廿七日也。是夜曉夢。行到一川邊。駐馬回瞻。淸川一派。流出雲谷中。縈林觸石。晴雷振一壑。愛其山明水秀。遂沿流曳杖。或厲或揭。抵于港口。四山屛擁。洞府恢明。丹崖萬仞。峻極于天。怒瀑千尺。直瀉其頂。飛淙噴沫。動盪林壑。明珠百斛。羅絡巖腹。奇形異狀。不可殫說。幽深肅穆。宜仙履而不可於俗迹。山岳之勝。詩畫所不能描寫也。楓岳之十二。天磨之朴淵。淸平之龍潭。曁水落逍遙之瀑。擅勝邦域之內。而余所遊覽地也。若比於此。風斯下矣。竟夕瞻賞。不知勞也。俄而蝶散。松床蒲薦。塊然一𨈬殼矣。不堪淸思。仍成拙句。以寓雅賞。昔孔聖夢見周公。盖思其聖而不能忘也。余平日癖嗜山川。猿鶴之夢。無夜不作。到今年垂九十。埋沒塵冗。了無佳思。不作淸夢。有年數矣。今日之夢甚淸壯。無乃烟霞舊習。未全衰也耶。</title>,<text>慳秘千年境。霱雲深復深。銀河落萬仞。珠沫散千林。天地壺中大。烟霞洞裡陰。三淸眞世界。誰料夢中尋。</text>
<title>風詠樓</title>,<text>大地皆炎熱。宜人獨此樓。平臨蒼玉嶂。逈挹白𩿨洲。爽氣渾消夏。風光凜似秋。酣餘成小夢。身已入丹丘。</text>
<title>松潭偶吟 二首</title>,<text>掉臂人間世。收身松桂林。詩書長作伴。魚鳥是知音。境僻雲生枕。囪虗月映琴。風塵餘悔吝。猿鶴舊盟深。石嶺春猶早。沙村雪未消。鵑啼溪上月。人斷柳邊橋。野老偏憂國。山戎久據遼。西征健兒盡。閭巷日蕭條。</text>
<title>新年感懷。錄呈東隣諸彦求和。</title>,<text>三萬一千日。人間九十年。哀榮渾夢幻。聚散各風烟。幽澗艾初嫰。春山花欲燃。阿誰能起我。把酒碧溪邊。</text>
<title>次邑守沈君韻</title>,<text>憶昨良宵話。依俙夢裡遊。窓通荷氣入。簷引桂光流。勝會堪乘興。淸尊足散愁。丁寧他日約。風詠水邊樓。</text>
<title>憶弟偶吟</title>,<text>歸計何時就。殊方歲屢移。候蟲秋月下。驚燧海天涯。白髮潘常侍。靑衫杜拾遺。愁來仍痛飮。老淚自交頤。</text>
<title>謾吟</title>,<text>爲愛雲林勝。臨流縛數楹。烟霞迷洞府。松竹閉柴荊。晩起家何事。無營境轉淸。荒村歲又暮。寂寞壯心驚。</text>
<title>夢見榮老。悼感而作。</title>,<text>色笑夢中親。團圓似是眞。枕前欣對面。覺後却無人。一掬相思淚。孤村獨老身。遺觴餘口澤。撫此倍傷神。</text>
<title>松潭</title>,<text>小聚依寒麓。流年已早春。溪楊靑似染。蘿月白於銀。身世干戈裡。生涯寂寞濱。地偏相識少。爭席捴山人。</text>
<title>題䨥溪幽棲</title>,<text>宅相幽亭傍小塘。主人心匠更難量。濃烟翠竹當簷嫰。浥露黃花滿砌香。身世已甘耕釣趣。生涯何必利名塲。燒香汰慮凝心坐。壺裏光陰本不忙。</text>
<title>避地在峽中。還鄕見舍弟榮老。</title>,<text>天倫親愛有誰知。經歲沉痾悶老衰。涕淚兩家同患難。光陰一半屬分離。偸生幸遂丘園計。對榻聊寬夢寐思。榮落世間渾一夢。卜鄰耕釣晩相隨。</text>
<title>全義途中</title>,<text>楚客孤懷鬂有絲。征車六月向西陲。一年天地兵戈滿。百戰城池皷角悲。富貴暫時雲易散。江山故國淚空垂。美人天上無消息。迢遞龍灣路幾歧。</text>
<title>衿川途中</title>,<text>長安此去欲何依。却望脩門淚自垂。一代繁華春寂寂。百年城闕草離離。西湖歌吹千杯酒。南岳登臨幾首詩。萬事傷心渾一夢。白頭流落道山陲。</text>
<title>長安感懷 二首</title>,<text>百病筋骸尙保持。白頭今日到郊圻。關河萬里龍猶遠。遼海千年鶴乍歸。臺殿有基空茂草。江山無語但斜暉。傷今吊古膓如割。獨立荒城淚滿衣。接海干戈動地來。千年文物捴成灰。調煩蔀屋民情散。師老轅門士氣摧。三縣烟塵膓欲斷。二陵風雨淚難裁。可憐慶會池中水。流出宮墻咽咽廻。</text>
<title>申參奉露松亭</title>,<text>諸君邀我聽松聲。便置淸樽慰遠行。寒麓夜深杉露滴。碧空雲盡桂華明。傷時謾洒思君淚。唾手空論報國情。獨使至尊憂社稷。在廷誰復請終纓。</text>
<title>金萬戶礪園亭</title>,<text>與誰料理辨閑忙。丘壑風情老更長。碧霧乍開山露髻。冷霞初散月流光。隔溪樵唱供詩料。滿座松風産夕凉。看取主人無俗調。慇懃邀我勸杯觴。</text>
<title>侍中臺</title>,<text>脩岡十里入淸淵。直壓滄溟勢㝡專。點海七洲明活畫。粧山萬木蔽春天。𩿨沙細雨棠初落。鶴浦斜陽客未旋。珍重使君勞遠轄。深斟綠醑斫紅鮮。</text>
<title>懷鄕謾吟。寄榮老。十二首</title>,<text>拙翁非是好吟詩。詩是拙翁懷麓時。峻嶺迢迢關塞外。孤城寂寂海天涯。兵戈三載嗟難息。世事千般願莫知。點綴要須排劇悶。拙翁非是好吟詩。傍海孤城隱翠微。獨凭雕檻思依依。投荒轉覺身全老。懷麓那堪夢屢飛。鶯語壠林官舍曉。雨荒庭草吏人稀。了無寸效蘓民瘼。深愧踈慵未退歸。千愁無語伴寥寥。萬里歸心強折腰。透檻桂光晴澹澹。隔雲楸嶺碧迢迢。當時勝迹鴻留雪。落日殘城鶴返遼。唾手孰能淸海內。白頭揮淚聖明朝。衙罷荒城晝掩門。繁愁無語獨憑軒。平郊逈接雲邊海。列峀寬圍水上村。萬里羈懷渾白髮。一庭風雪自黃昏。仍思故里諸兄弟。此日離居倍斷魂。千叢憂惱掩孤城。玄鬂無端白髮生。滄海接天雲萬里。夜風飄雪月三更。身多疾病歸宜早。邑有瘡痍思不平。一曲幽莊何處是。夢隨蝴蝶到雙淸。雪埋楸嶺斷來人。消息經年苦不眞。想像儀容常在眼。可憐兄弟各傷神。暮雲春樹千行淚。白髮靑衫一老身。欲見太平知有日。綠蓑歸釣㙮江春。坐嘯三年首屢搔。海邦黎庶日嗷嗷。殘村毁郭無鷄犬。廢井荒田沒草蒿。好月欲生雲易掩。狂風逾怒雪兼饕。天時人事相催地。只有丹霄一夢勞。殊方烏兔疾如梭。萬事驚心鬂欲皤。弟妹封書經歲斷。瘡痍捐瘠入春多。羊膓雪嶺參天峻。鯨背烟波極目賖。何日鶴峯巖畔舍。一區泉石事吟哦。天邊父子遠相依。羈思無端淚滿衣。碧海長霄迷瘴雨。荒城老樹鎖烟霏。春回塞北膓空斷。草綠湖南夢屢飛。怊悵舊山精舍在。白雲靑嶂掩柴扉。千里鄕關夢亦迷。客懷孤逈倍含悽。三霜嶺海身如贅。四海干戈劒欲提。平楚晩連晴靄遠。亂峯遙帶夕陽低。虗堂寂寂門長掩。盡日荒城但鳥啼。干戈天地屬艱危。萬里移家北海涯。鄕國有時回白首。弟兄何日展黃眉。雙淸風月春應好。五道烟霞日正遅。翰羽未能生兩腋。可憐歸思入支頤。憶昨長安全盛日。賞心風物擅繁華。紅裙文字拚閑飮。綺席琴樽聽艶歌。水石時時煩杖屨。樓臺處處費吟哦。只今飄泊干戈際。萬事傷心鬂已皤。</text>
<title>淸虗堂感舊</title>,<text>一巢無地拙於鳩。萬里聊爲薄宦遊。殘堞自生新草木。荒村猶記舊林丘。衝冠華髮偏催老。感耳寒蟬忽報秋。觸物可堪傷往事。小堂無主水空流。</text>
<title>萬景臺</title>,<text>仙居洒落隔囂塵。萬里來遊興有神。亂石嵯峨森束鐵。長波浩渺凈鋪銀。三千弱水雲容絢。十二闌干月色新。除却朗吟無箇事。白𩿨洲上岸烏巾。</text>
<title>大平樓。贈主人權府伯用中。</title>,<text>弊盡貂裘霜滿頭。天涯獨上仲宣樓。關山積雪三軍老。海國斜陽一篴秋。棠路杳冥人獨去。葵心迢遆淚雙流。爲携僚伯輸肝肺。倒盡千鍾散百愁。</text>
<title>鏡湖堂 在鏡浦南涯</title>,<text>鳴沙南畔是丹丘。勝日鸞驂汗漫遊。一面湖波明鏡凈。千重洞壑紫烟浮。江橋竹島明新畫。老樹寒花澹素秋。身世自憐如夢。風埃蹤迹媿汀𩿨。</text>
<title>藤路道中</title>,<text>數村殘雪海峯陰。一抹斜紅碧水潯。藤路驛邊停倦馬。辛夷花下聽嬌禽。舊遊楓岳空陳迹。飄泊蘭坡尙越吟。世事悠悠不可說。龜藏何日故山林。</text>
<title>新安道中</title>,<text>灘邊敲火駐行㫌。峽裡風光豁客情。芳草碧連平野遠。落花紅襯小溪明。三年戀闕丹心老。千里移家白髮生。回首故園長入望。計程何日到雙淸。</text>
<title>次石峯韻</title>,<text>側身湖海已凋顔。一枕荒城夢舊山。白首宦情驚萬里。黃冠歸思忽千般。踈慵未敢干時輩。薄劣何堪濟世艱。題罷短吟聊遠贈。花牋猶見淚痕斑。</text>
<title>大應告歸。詩以留之。</title>,<text>多難漂零歲幾周。相逢此夕散千憂。月臨虗閣天如晝。霜落荒城菊又秋。白首不妨成意氣。淸尊正合作風流。異鄕萍水眞堪幸。許我深情肎少留。</text>
<title>聞胡遊擊大受。駐江陵府。徵兵閱武。領到茂松臺口占。</title>,<text>漠漠行塵染客衣。臨瀛歸思正依依。霜繁孤嶂楓飄葉。雲滅長波日吐輝。畫角聲中兵作隊。鳴沙路上馬如飛。豆籩軍旅何須說。許國初心願莫違。</text>
<title>雲根驛</title>,<text>棠渚斜陽駐遠軺。鳴沙漠漠雨蕭蕭。碧峯深處雲長暝。白鳥去邊天更遙。烏兎光陰隨水逝。干戈身世等蓬飄。全家濫被分憂澤。盡瘁終難答聖朝。</text>
<title>襄陽府有感。題贈蘭臺月，廣寒仙。</title>,<text>憶昨奇遊峴首時。同行佳侶捴仙姿。醉凭虗檻迎明月。笑喚名姬唱竹枝。滿苑琪花千樹雪。盈樽美酒百篇詩。廿年人事茫如海。舊日紅粧鬂已絲。</text>
<title>珍富嶺上。錄呈高城鄭使君止爾。</title>,<text>曉馬凌兢路轉危。霜風獵獵上氷髭。雲山迢遞家何在。節物崢嶸歲屢移。欲謝塵機元自得。將歸田里復奚疑。道峯烟月秋應好。竹底淸泉入夢思。</text>
<title>三日浦。感舊遊諸伴。</title>,<text>湖上淸遊憶去年。嘲花咏石捴儒仙。笛邊明月登松島。雲裡踈鍾記夢泉。靑眼卽今俱寂寞。丹書千古尙依然。可憐白首重來處。魚鳥多情近客船。</text>
<title>贈乾鳳寺住持雪梅 師曾住奉恩寺</title>,<text>幾番烟浪泝孤舟。江上招提憶舊遊。洛下半生稱放曠。桑門一代擅風流。共吟詩句梅堂月。相對紋枰竹院秋。人事十年如幻夢。白頭飄泊海東洲。</text>
<title>表訓寺</title>,<text>禪居寥落晝常扃。焚麝閑吟道味淸。松偃古壇雲一抹。鶴眠孤嶂月三更。千峯似畫當簷凈。萬瀑如雷繞榻鳴。點檢人間多少事。何如此地送餘生。</text>
<title>贈沈富平公立</title>,<text>紛紛喪亂淚長流。江渭迢迢地盡頭。白首幾年勞遠夢。綠樽今日瀉離憂。參橫碧宇初收雨。蛩咽寒階已報秋。老境相逢恐無日。臨分携手重淹留。</text>
<title>節友堂偶吟</title>,<text>繁華捲却輸閑夢。白首龜藏水竹鄕。紫綬金章非雅分。黃冠野服稱踈狂。月從峯上當簷凈。風過溪來滿座凉。一曲幽莊猶宛在。日携親戚醉壺觴。</text>
<title>奉呈西坰柳方伯</title>,<text>危時飄泊各參商。天末停雲思渺茫。錦水棠陰宣化澤。達村茅屋掩松篁。大人杖鉞心猶赤。老子還山鬂已蒼。隔浦未成床下拜。黍鷄何日近淸光。</text>
<title>凌虗亭</title>,<text>名榭凌虗近紫微。笙歌終日客忘歸。靑黃原隰禾千頃。經緯山川碧四圍。小聚斷橋明晩靄。懸崖喬木掛殘暉。可憐役役簪纓子。九陌風塵足是非。</text>
<title>贈李裕中</title>,<text>窮村歲晩掩茅荊。經卷茶爐愜野情。豪氣未能隨俗變。壯心那肎向人鳴。荊江水濶衝烟釣。木浦春晴帶月耕。堪笑世間爭奪地。不知誰辱又誰榮。</text>
<title>題韓景逸湖莊</title>,<text>湖邊小築絶塵緣。人道風流地上仙。白鳥滄波天澹澹。竹扉松逕月姸姸。閑來每把題詩筆。老去偏憐換酒錢。掉臂世間名與利。一江風月是靑氊。</text>
