<title>往拜枕澗亭壺谷先生。拈韻命賦。己巳</title>,<text>雨霽梧桐葉。風輕楊柳枝。此間有眞趣。只應知道知。</text>
<title>次族父壽靜齋 鼎文 宿凈水庵卽事韻</title>,<text>黃峯定空中。乳水滿其腹。寒流發石竇。白虹走山麓。古槽承餘瀝。苔積如巖谷。幽僧架層筧。瀉下成脩瀑。于時秋氣初。衆壑凝寒綠。風來木蕭蕭。雨罷雲矗矗。幸玆陪勝賞。樂事於焉足。曠然心慮怡。回首塵韁促。尋幽到泉源。登陟汗如漉。寒光洗心眼。一泓湛碧玉。山泉著易象。明訓誦果育。老僧出開門。憐渠處幽獨。登堂憇腰膝。遙望羣山簇。臨風一呼快。徙倚西軒曲。落日含千嶂。霞光盪人目。浩浩觀物化。茫茫䀻遐矚。入夜霧露重。松檜如膏沐。峯月忽放影。疎星藏煜煜。列坐縱高譚。追躡愧愚僕。但得塵慮靜。禪龕容寄宿。</text>
<title>凈水庵夜雨。與南棲叔，族叔爾龍 田文，族弟仲敎共賦。</title>,<text>山庵聞夜雨。萬木已先秋。棲鵲驚還定。溼螢低更流。良朋詩語細。淸夢佛龕幽。半世烟霞癖。來尋輒住留。一壑雲藏樹。千峯雨送秋。高棲金地凈。閒聽玉泉流。露草蛩音歇。香龕僧語幽。空空非所好。林屋亦堪留。</text>
<title>送南棲叔遊關東</title>,<text>遙尋滄海路。先度萬重山。亂樹烟霞老。深崦日月閒。人登飛鳥外。寺在白雲間。去去多幽興。尋仙欲不還。</text>
<title>東園偶作</title>,<text>苔逕柴門日日閒。幽軒長自對靑山。時來手闢東園草。滿植叢篠看歲寒。</text>
<title>晩起</title>,<text>小園幽砌不生塵。庭宇寥寥鳥喚人。晩拓晴牕山日上。樹陰濃綠滿東鄰。</text>
<title>謹次大埜先生亭居韻</title>,<text>幾年回首跂門墻。新構遙臨埜氣蒼。林下竆經今碩老。松陰聞敎昔賢郞。烟花繞屋山川麗。箋注盈家歲月長。靜裏覃思應造極。衰齡功力進愈強。</text>
<title>族丈仲光 熀 送其子。貽書屬意甚勤。又以詩求和。</title>,<text>曲潭危石映茅堂。喬木童童想舊庄。彩筆移來湖裏趣。黃花方發嶺中香。雲橫關樹山千疊。人在洲葭水一方。兩世淸文能復繼。芳罇相對勖賢郞。</text>
<title>虎溪居齋。奉別訓長李所庵 秉遠。</title>,<text>千載吾宗正路明。靑邱文獻紹朱程。爐香寂寞賢師儼。江雪迢遙講座淸。幸賴微言昭至理。偏承嘉誨感中誠。籃輿忽發松亭外。回首高山不盡情。</text>
<title>次梅村琴丈 詩述 梅花詩</title>,<text>羅浮山下梅花村。微陽出地梅返魂。玉貌冰心凈絶塵。炯然一枝橫黃昬。世人豈識孤標在。徒自紛紛桃李園。且向百花頭上開。踈瘦潔白難爲溫。搖蕩春風不須待。灼爍猶自迎新暾。遙憶孤山水淸淺。東溪苔逕連柴門。玉雪淸眞共艶藏。于今尙憶陶叟言。千古風流倘可繼。莫愁對月攜空尊。歲暮風雪暗江村。竆陰漠漠愁人魂。獨有寒牕一樹花。冷艶不受烟塵昬。淸絶松風亭下吟。風流更道孤山園。最愛東溪書屋裏。瓦盆紙帳生春溫。一室淸香靜不飄。皦然雙閤銜晴暾。豈有俗物到幽處。無妨積雪封柴門。冰玉精神澹相照。妙處自悟終難言。安得一尋江上路。共看疎影涵淸尊。</text>
<title>林居梅今年亦開。復用前韻呈琴丈。</title>,<text>竹林書舍寒溪村。平生悵望勞心魂。愛向寒梅寄幽興。淸標一洗羣芳昬。百年不見人如玉。獨有冷蘂依山園。一笑向我意不淺。坐對玉面欣相溫。攀條詎惜霑夜霜。步月不覺昇晨暾。逈出紅塵一萬重。長有白雲藏山門。千載心期若可識。我欲問花花無言。一回長吟三疊詩。吟罷獨飮花下尊。</text>
<title>次壽靜齋遊冥棲庵韻 壬辰</title>,<text>朝辭杏亭墓。夕宿楮谷庵。堂室靜且奧。猶如開丈函。同遊有幾人。共玆百載心。夫子昔養靜。冥棲留古庵。傍開葛川勝。水瀉靑瑤函。俯仰玩遺躅。緬想秋月心。</text>
<title>松川道中</title>,<text>江口春深草氣薰。柳潭花島散迴文。東風一笑臨沙岸。雲物蒼茫見海門。</text>
<title>書齋獨坐</title>,<text>北牕高卧夢羲皇。林院翛然逗晩凉。永日山禽相伴語。海棠花發滿庭香。</text>
<title>懷古吟</title>,<text>古人不可見。今人不可親。不知古人儔。于今凡幾人。雖爲今人笑。願似古人眞。但作古人儔。不畏今人嗔。今人逐外物。古人修吾身。恭惟皇上帝。降此義與仁。古人重此心。祗栗防飛淪。吾心旣湛然。常有天地春。富貴思澤物。貧賤聊自珍。苟非義所取。千駟如一塵。今人重名利。馳逐無時晨。汚穢塞天明。人路遂長堙。戒此不遑寧。怛然思自新。抗詠思孟書。激烈壯精神。空山碧樹晩。秋潦漲寒漘。孤懷無與語。寂寞經數旬。願與古人遊。怡然忘賤貧。</text>
<title>輓李參判 泰淳○三首</title>,<text>顯赫三朝老。磊偉一代賢。經筵陳古道。巖壑卧癯仙。詎意摧雙胤。飜驚入九泉。斯文寥落日。公歿益蕭然。侃侃風儀整。名門出秀姿。餘光承大祖。殊渥遇明時。此道誠心護。吾林正論持。東西父子葬。士類倍傷悲。前年床下拜。要和養眞詩。巨麓遺芳繼。閒雲晩景怡。重來尋舊躅。那復見英儀。幸有賢孫在。相將歲晏期。</text>
<title>輓李廣瀨 四首</title>,<text>英姿資正學。風韻獨超然。一壑塵埃遠。千編事業專。端要承祖脈。省勿是師傳。寥落悲殘緖。誰能繼絶絃。雅凈山林氣。剛方禮義身。巖雲依往躅。梅雪見天眞。誰識霞棲興。難回月坐春。文章空滿屋。珍墨尙風神。竹栢寒逾茂。毫芒細益硏。疾邪由好善。憂世爲尊賢。謗口何須怒。眞心獨自全。百年先契厚。追憶淚漣漣。幾誤蒙知奬。陪攀已廿秋。鷗波橫釣石。櫂唱聽霞洲。簡牘留芳躅。溪山憶舊遊。傷心西壑裏。人去水空流。</text>
<title>輓李直心 秀悳</title>,<text>之子神仙骨。周旋繩墨中。先生挺南服。家範承乃翁。餘力事觚翰。弱齡收奇功。昂昂雲鶴姿。皎皎冰雪容。睥睨千載間。意氣凌蒼空。一朝辭世紛。飄忽乘剛風。萬事浮雲失。遐期遽長終。悠悠一世中。誰哉繼高蹤。我病不出門。遂失臨幽宮。灑涕瀉平素。能復相感通。</text>
<title>霽山金先生改葬輓 五首</title>,<text>師門承道緖。夫子得心傳。德義因家學。淵源啓嗣賢。胚胎更幾日。授納想當年。百歲遺風遠。悠悠歎逝川。典刑儀士類。風彩動朝端。東海心千載。南河氣一團。君恩榮晝錦。世路倒狂瀾。杳杳涪江水。空留月照寒。赫赫南荒路。平看漲海瀰。齋曾三畏闢。家有九峯隨。白日深衷照。丹瀛大霈遲。錦陽臺下路。應復駐征輀。德行肩曾閔。文章跨漢唐。鳳麟方瑞世。金玉遽藏光。斑竹君山暮。秋雲錦里荒。九原那可作。人世日茫茫。隔世而今幾。衣冠出故墳。十年灤水患。雙隧丙山雲。末學吾生晩。同人舊契聞。團和那復見。瞻慕淚紛紛。先生寄吾高祖蘿隱公詩。有同人慰客情之句。</text>
<title>秋日卽事</title>,<text>西風淅淅鴈行斜。愁對靑菱髮欲華。老柳蕭條吟病葉。寒梅寥落卧苔査。虛堂客散委書帙。空谷烟橫聽牧笳。寂寞歲寒看節友。可憐階菊吐金花。獨倚書牕送夕暉。靜中玄思入幽微。霜淸古壑寒流瀉。風急荒原亂葉飛。自喜安閒眞樂在。還驚寥落壯心違。年來未老長吟病。斗覺腰圍日减肥。</text>
<title>十月園梅已有開意。子純感吟一絶。次之。</title>,<text>綽約仙姿玉雪眞。長吟絶歎有高人。可能一洗羣芳暗。淸艶無妨共晩春。</text>
<title>內從妹金氏輓 李能遠妻</title>,<text>槿華飄落永無光。遺掛紛紛尙有香。慈母手持衣篋哭。綠雲髢髮繡紅裳。五月南風草樹薰。千山歸事杳炎雲。依然記得生時路。甘嶺東回碧柳濆。</text>
<title>除夕</title>,<text>十載抱墳典。如今百弗能。蒼茫違素志。寂寞伴靑燈。耐凍看梅雪。題詩呵硯冰。寒被仍獨卧。盤水備晨興。陳簡齋韻虛室無塵事。爐香獨自親。流光頻餞歲。昧道愧陳人。感慨懷前哲。憃愚惜此身。芸牕消息好。明日又新春。戴叔倫韻白雪滿庭院。寒梅尙恡花。街燈喧醉客。園木靜棲鴉。功業時將晩。塵埃日已斜。趨營何所益。書卷是生涯。杜工部韻餞歲多愁思。寧憂樽酒空。謾懷千古上。多愧百年中。溪冰通夜白。燈暈滿牕紅。一夜孤吟意。天涯誰與同。陳后山韻守歲坐長夜。愁聞漏箭頻。椒盤陳舊俗。蘇酒饋竆隣。道味隨年別。韶光逐處新。東山林木好。端合著閒人。趙仲白韻</text>
<title>好古窩先生輓 五首</title>,<text>夫子法先聖。平生敏以求。深工兼博約。粹稟備剛柔。廣大竆無眹。齊莊益自修。斯文知欲喪。今日遽長休。履踐規繩上。沉潛仁義中。平居存敬畏。待物自謙冲。禮樂人何在。山林世已空。蟠胷書萬卷。寂寞掩幽宮。胷中無外累。儀宇自淸溫。洞察陰陽化。精硏禮樂原。心通千古奧。旁燭百家言。墜緖今誰繼。蒼茫嶺日昬。宏深竆宇宙。精密辨絲毫。道大貧猶樂。心平禮不勞。經綸一世秘。風韻百年高。晠代徵賢意。空看孑孑旄。經術承名祖。淵源接大師。文章違黼黻。聲響斷壎篪。鄕國將安倣。愚蒙益可悲。盈箱遺卷在。留待子雲知。</text>
<title>伏次族大父遯坡翁 龜休 寄示韻</title>,<text>明牕披卷獨長吟。芻豢珍腴不換金。萬樹白雲藏谷口。一園晴日照花心。林間有客同幽抱。天下何人識大音。但得百年隨處樂。無邊風月在胷襟。</text>
<title>東江濯淸樓。日暮觀江市。</title>,<text>市聲將暮若奔濤。萬燭熒煌照碧湖。擾擾雙橋爭渡客。隔江無數更相呼。</text>
<title>輓南廬李丈 鼎儼</title>,<text>早年聲價動詞林。經禮竆探老更深。玉骨淸眸那復見。十年偏感眷憐心。晦老遺徽百世餘。辰韓名碩是三廬。如今索莫風流歇。忍向南峯訪舊居。</text>
<title>春日獨坐林齋</title>,<text>讀倦塵編倚小齋。一林淸晝捲陰霾。東風日日吹芳草。生遍山巓與水涯。</text>
<title>次石川書堂重修韻</title>,<text>登臨川榭屬芳辰。巖樹晴沙景色新。疑有玉人猶燕坐。竹庭梅閣凈埃塵。</text>
<title>次立齋鄭先生白雲詩 四首</title>,<text>白雲在山中。無風自來去。去來無睠戀。一氣消息處。歸依碧嶂宿。出向長空去。卷舒自有時。莫言雲在處。遙看絶巘間。曉夕凝不去。我知白雲心。終在山深處。夜伴明月宿。朝將行雨去。自悅未贈君。幽人獨知處。</text>
<title>玉溪</title>,<text>奇巖玉立碧潭寒。萬古雙溪瀉雪湍。惆悵空山淸夜月。瑤琴絃斷不堪彈。</text>
<title>遊月塢</title>,<text>一壑晴雷撼石巒。寒泉飛出白雲間。也識徐凝詩不惡。長敎匹練界靑山。萬丈雲霞絶壁深。銀河飄處玉龍吟。仙風颯颯吹毛髮。晴雪紛紛灑袖襟。危巖東坼瀑泉流。蒼壁南迤得小丘。何日搆成林畔屋。幽棲長伴白雲留。</text>
<title>過徐景威 達煕 南湖亭</title>,<text>飛瀑雲林月塢幽。與君前日約同遊。如今路出遺亭下。惟見南湖水自流。</text>
<title>輓金丈 養觀</title>,<text>川沙夫子宅。模範有斯翁。到處溫溫貌。連底藹藹衷。西林楡景晩。南國草廬空。百世通家誼。傷心萬事終。</text>
<title>輓族叔 憲文</title>,<text>少日鄕邦望。誰知老草萊。平生無遽色。竆處見高懷。南海茫茫闊。西暉冉冉催。存亡三世誼。那忍淚霑顋。</text>
<title>宿㙮洞遇雨 丙申</title>,<text>隔簾風送百花香。庭院深深逗晩凉。蕭颯江天連曉雨。荷珠的爍滿方塘。</text>
<title>次李信庵於山韻</title>,<text>軒對寒林卽我家。春來竆巷覺豪奢。朝昬互哢千般鳥。紅白交開百種花。納納乾坤容爾足。紛紛塵俗柰吾何。人生到處皆堪樂。鍾鼎簞瓢莫較多。</text>
<title>追悼族兄伯孝 致孝</title>,<text>長嘯寰宇間。高材日凋喪。古人不可見。吾輩復誰仗。憶昔我兄存。士林有藩障。挺挺松栢姿。齠齔思卽壯。家庭襲道義。櫽栝整趣向。孝友出天賦。瀡滫勤就養。荊華樂且茂。壎篪迭和唱。孜孜讀聖謨。學問長自強。闢戶列緗帙。謳諷響英暢。心思貫幽賾。躳行戒麤妄。湖門立矩範。慄慄懼橫放。奮厲守舊轍。當仁恒不讓。慕善若臭蘭。嫉惡如探湯。論事抗正直。接物盡忠諒。沈毅寡言笑。發口詞必讜。煒燁富文翰。濡墨瀉波浪。慷慨吐氣義。曲折竆萬象。往往看體製。唐漢相頡頏。東南多士藪。藹菀芳蕤颺。事業自負荷。朋儕競仰望。聯芳試南部。名出機雲上。九門垂困翮。淸漢歸舟漾。南山竹括羽。斂然弓戢。塵埃洗澗枕。亭屋依巖嶂。中峯壽而靜。𡺚崒環少長。彬彬理家學。福祿世無兩。浮雲遺外慮。至樂優天餉。舊緖賴不墜。吾道會張旺。那期鄧林秀。一夕兇飈攩。大屋折高棟。頹流撤鉅防。雙親斷寸膓。稺子罹毒創。森森立竹叢。隊伍失前倡。斂藏靑霞氣。寂寞歸井壙。蕭條舊交在。灑涕懷疇嚮。平生誤知奬。納汚眞弘量。鈍銳縱殊質。遐期共心藏。前年赴虎溪。崇宇瞰雪漲。對案讀心經。燈火東齋朗。莘莘萃才儁。孰與肩倜儻。愚蒙濫座側。幸得許相長。芳春福地山。佳約杳難償。人間抱畸思。寥落誰相訪。經年劇憂煎。鷄酒隔送葬。竆冬過范澗。徘徊瞻新埌。殘生遭天椓。哭弟摧肝臟。虛堂風雨夜。獨坐雙淚釀。回首憶英姿。萬事墮空曠。悠悠百年中。念舊長惻愴。</text>
<title>東林雨後。巖溜可愛。</title>,<text>陰陰寒木隱山椒。長夏茅廬鎖寂寥。最愛東峯經夜雨。一林飛溜噴瓊瑤。</text>
<title>東園新闢。適有南棲叔寄示之韻。謹次。</title>,<text>荒原寥落在墻東。手闢曾勞幾日功。新鑿玉泉寒湛湛。移栽嘉木綠叢叢。將成晩契憐松菊。擬伐良材樹椅桐。自笑疎慵難適俗。只堪嘯咏一林中。春色薰濃滿屋東。天翁不負漑灌功。槍旗漸出新栽草。錦繡方開舊養叢。百歲惟堪歌綠竹。千金誰復直靑桐。更蒙佳句添幽興。一笑長吟寂寞中。</text>
<title>火稅</title>,<text>邇來不見種山田。滿眼陂陀碧草芊。獨有官家徵火粟。年年侵索臘梅前。</text>
<title>輓李匡國 秀弼</title>,<text>吾邦古鄒魯。藹菀多儁彦。淸湖襲儒化。百歲遺風緬。惟公稟精秀。卓爲吾儕選。堅貞金玉質。晶瑩經琢鍊。淸勁氣常勵。皎㓗泥不澱。精光炯照人。曙星流回眄。聰明絶等夷。餘力通經傳。訓謨嚼豢蔗。風雅究正變。㸐薪夜照字。寒暑屛爐扇。竆年恒矻矻。百家恣貫穿。家庭承舊學。儒碩從遊徧。脩塗整步趣。粉質加綵絢。舂容發詞翰。瀵溢泉流濺。雅健逼古作。頫笑俳優賤。劖削出奇麗。百篇無可揀。翺翔藝苑中。藉藉聲華擅。前年遊璧水。令譽馳畿甸。發軔向前塗。羣士爭推先。尊翁老林壑。簡編功不倦。幽幽魯川舍。忍貧躳修繕。詩書列左右。卉木漸葱蒨。萊衣日娛侍。竭力奉寢膳。饑寒不足憂。一室融和煽。天翁識董生。此理當福善。那知蘭蕙秀。奄忽摧霜霰。珠沉與玉碎。一年奇禍荐。白首西河淚。猿膓日摧煎。隱隱壞墻哭。呼慕稺孤孌。凄凉人事改。寂寞舊庭院。踽踽一弟在。悲苦何繇遣。同庚降此世。廿載相眷戀。平生守亢厲。濫獲憐愚狷。簡牘紓深懷。會晤輒驩忭。珍重歲寒期。照映心一片。風檣中道折。萬事如過電。東籬獨斷膓。未死長悲悁。親朋更凋喪。吾與誰遊衍。存亡痛殊制。玉樹歸幽竁。空山草木深。策策秋聲戰。茫茫一世間。何處瞻玉面。虛橫馬融笛。永負蒿里餞。代書訣子相。霣淚漬墨硏。</text>
<title>李士實 秀榮 來訪</title>,<text>白石淸泉去歲遊。碧山長與夢魂悠。逢君細話幽居勝。丹葉黃花滿眼秋。</text>
<title>遊梅溪</title>,<text>少有物外想。夙尙在林邱。鬱鬱葡萄山。岧嶤東海陬。下有梅溪水。絶壑垂淸流。飛泉濺霜雪。噴薄風颼飀。古潭搖淸空。澈底見遊鯈。蒼厓列畫障。卉木枝相摎。東西雙石巖。玉立頫寒湫。兩岸疊瑤壁。一道鳴琳璆。叢峯碧四圍。林外開平疇。我來自石川。攜侶訪巖幽。邈矣超世心。暇日聊娛憂。林原恣尋歷。景物竆冥搜。悠然發孤詠。欲歸還淹留。雲山愜素尙。曠土非難求。吾將謝塵濁。此地營菟裘。</text>
<title>內兄金德遠 鎭坤 與李慕亭，南棲叔遊泗濱。有唱酬之作。余時久病。不能往同其樂。只次其韻投呈。</title>,<text>齋堂入夜轉淸幽。一夕歡娛失萬愁。促席詩樽環大士。深更燈火敞虛樓。每憑遺躅懷前輩。長恨沉痾隔勝遊。何日相逢論素抱。蒼茫雲樹暮江頭。空山歲暮萬林枯。調病三旬煑紫蘇。美景專爲佳客有。芳樽還憶故人無。天空絶峽哀鴻叫。風颭寒江古木呼。近日巖居追逐少。護藏花竹一閒吾。竆廬休歎漸成枯。披卷長吟氣更蘇。一箇光明探自在。千秋迴薄攬還無。道昭日用何云遠。人隔天涯若可呼。下士朝聞能遂否。年來多病幸支吾。</text>
<title>東臯欲置小亭。貧不能就。</title>,<text>東臯臨水可藏修。老木長松兩岸幽。矮屋數間貧未就。時乘明月獨來遊。</text>
<title>巖厓臨水多風。妨於養病。更擬就東林築書室。</title>,<text>屋東靑山麓。左右多林木。南厓列畫嶂。衆峯遙盈矚。溪流環野際。遠聽鳴金玉。十載林居想。俯仰數椽足。堂中貯經典。堂下列梅竹。白雲與皓月。時來媚幽獨。閒中抽古書。坐向明牕讀。時有會心處。欣然輒三復。於焉忘外累。卒歲謝追逐。</text>
<title>春日經山村</title>,<text>盡日穿烟嶂。千巖春景明。深林多鳥語。空少人行。廢屋花爭發。荒田草自生。何年逢大有。重見樂昇平。</text>
<title>冬夜</title>,<text>五夜山空月正明。寒牕不寐夢魂淸。前村寂寂人囂靜。卧聽松風徹曉聲。靜裏靈源一點明。客塵消盡氣逾淸。善利幾頭尤可戒。中宵推枕聽鷄聲。</text>
<title>山村記所見</title>,<text>昨歲漂流已轉溝。荒田留作一村憂。何人更有輸官稅。聞道鄰家更奪牛。重泉顔面已冥冥。兵籍猶看錄姓名。一子可憐生未燥。還驚官帖又添丁。</text>
<title>兵衛森集字詩三絶</title>,<text>消欲始知大。會理豈遺形。齋坐看文史。方慙道未聆。高閣俯淸流。逍遙散煩想。春風動林嶺。終夕此幽賞。閣上聆玉流。林下看幽芳。春酒飮一尊。是非自遺忘。</text>
<title>雨後遊南溪 戊戌</title>,<text>久雨困陰霾。喜見天日朗。閒步到前溪。神襟頓蕭爽。寒流浸洲渚。淅瀝風水響。危巖矗翠屛。綠野平莾蒼。悠然發孤詠。宇宙一俯仰。窈窕此溪山。寂寞誰與賞。永念千古人。夙夜勞遠想。</text>
<title>養眞庵。次老先生韻。呈李謹休 晩愨。</title>,<text>百年芳躅在東頭。新搆巖亭境轉幽。翠倚雲霄瞻嶽聳。𤨿鳴金玉聽溪流。道傳先哲行能到。理在遺篇讀可求。辦得靈臺無外累。方知當日是眞休。</text>
<title>輓金徵遠 𨬠○五首</title>,<text>確實凝厚姿。聰詣邁羣士。識見與操執。詞翰眞餘事。饑寒猶力學。空窶能孤介。志氣堅如許。功名易拾芥。遐軸倚康莊。行看步廊廟。傷心冷郵丞。旅櫬歸商嶠。髫齔交遊密。壯年情彌篤。遺篇意寄深。抆涕時展讀。瓢兄與眉叔。匡國皆泉下。悽凉風雨夜。念舊雙淚瀉。</text>
<title>陪壽靜叔信庵丈。遊黃山寺。</title>,<text>邇來竆巷斷參尋。行到伽藍一朗吟。講座從容聞學訣。禪牕幽寂洗塵心。危峯玉立秋容凈。古木烟沉雨氣深。歲歲陪遊眞可樂。百年吾道寄山林。</text>
<title>金休萬 奭裕 自溪上來訪</title>,<text>秋風遊退水。歸路訪林居。面目三年隔。胷懷一夜舒。張燈書几靜。看月紙牕虛。珍重相期意。君應學草廬。</text>
<title>遊舞雩里</title>,<text>每想沂雩樂。如聞舍瑟聲。江村有美號。遊客起遐情。碧水千秋凈。虛雲一點輕。明春風詠興。更待裌衣成。</text>
<title>遊雙鏡臺</title>,<text>極浦遙岑眼界開。臨江巖角自成臺。雲翁百世遺蹤遠。定有中宵笙鶴來。秋波澄碧動寒江。蘆岸飛來白鳥雙。更擬蘭舟粧月色。玉簫吹罷倚蓬牕。雲川故宅。有世傳新羅玉笛。</text>
<title>白屋</title>,<text>白屋當春鼎竈寒。山妻盡日爲愁顔。家僮晩出官倉糶。分與鷄豚一笑看。</text>
<title>次信庵丈雪後寄贈韻</title>,<text>瓊屑漫山未是貧。瑤田迢遞接天垠。遙知洛下先生興。不讓寒江獨釣人。朱詩洛下先生想卧家。一壑冰流布玉簾。千巖何處著塵纖。病中不理山陰棹。卧聽寒澌落小簷。雪中思玉巖冰瀑之勝。終日天花滿眼飛。皚皚一色掩塵泥。風流競道梁園客。誰識牛衣獨卧時。回首靑山亂雪層。元琳不復見阿僧。梅魂獨逐天心返。惆悵芳塵在錦𢄑。此一絶憶亡弟。○晉王珣字元琳。其弟珉小字僧彌。冰泉入戶響哀彈。林木呼風紙閣寒。孤坐紇干猶自樂。塵埃不到此竆山。</text>
<title>岐陽書堂。敬次板上韻。</title>,<text>岳色葱瓏照眼明。萬松陰畔一溪鳴。愚孫若識當年趣。白首林居講古經。</text>
<title>客衣甚薄。恨無衣可贈。</title>,<text>北風呼半夜。飛雪滿千山。歲暮單衣客。悲歌行路難。老大百無成。衣食更無術。愧乏一綈袍。慰汝寒凜栗。</text>
<title>次小隱亭韻</title>,<text>小屋淸虛靜坐宜。山林佳趣在於斯。讀書養拙俱堪樂。累石栽花不必奇。已把六經爲世業。要將一敬作身基。東華軟土何須到。長對雲松碧繚楣。</text>
<title>金孟實來訪。呼韻共賦。</title>,<text>寒梅偏愛著花疎。山雨沉沉小閣虛。叵耐園林新興足。一旬拋却滿床書。畸性偏於俗事疎。一林雲物管淸虛。良朋喜逐芳辰到。對榻閒論舊著書。</text>
<title>懷族叔眉峀子 田文</title>,<text>端良天質玉無疵。不錯盤星蚤得師。誰識一心都是赤。吾家長擬賴扶持。婉戀中藏鐵石膓。端貞孝弟更誰方。平生矻矻竆年業。惟有塵篇滿舊箱。相逢喜氣浮眉睫。久別愁思結肺肝。共榻聯襟那復得。秪今追憶淚汍瀾。</text>
<title>葛田村</title>,<text>羣峯重疊擁崢嶸。壠上荒疇四望平。何日相攜沮溺伴。一山烟雨共巖耕。</text>
<title>前年哭子純。獨對梅花。凄然感涕。</title>,<text>世事紛紛髮已華。十年無興賦梅花。今朝坐對堂前樹。斗覺凄凉一倍加。吟病三年百事慵。虛堂無語坐高舂。庭階獨有寒花發。那見聯牀玉雪容。</text>
<title>拜呈雲谷金丈 羲壽</title>,<text>昨日拜雲谷。春風生一席。翛然塵慮融。渾忘山日夕。襲人冲和氣。恨不長親炙。淸詩與妙筆。隻字如拱璧。願得一二章。愛玩期無斁。</text>
<title>輓姜松西 橒</title>,<text>詞華曾出萬人先。斯學沉潛老更專。遐軸忽驚中道折。栢泉遺躅鎖寒烟。鷗鷺盟堅水石寒。淸時諫筆阻朝端。因循不賦從吾義。遙望高軒涕自潸。公嘗搆從吾軒於宅傍。要致皜作詩賦。從吾之義。憶昔鳳凰山裏遊。雪峯深擁寺門幽。妄有一言承契許。欲申餘論更靡由。儀形邈邈去難回。滿屋文章更作灰。捲盡平生歸造化。任敎塵世有喧豗。</text>
<title>雨中與南棲叔共賦一律。時南棲叔移居葛山。</title>,<text>幽居無俗事。藤葛翳山庄。石色當牕濕。林風襲座凉。土床排瘦膝。雲錦拄空膓。歲暮遣愁緖。看書一味長。</text>
<title>夜坐聯句</title>,<text>一燈深夜坐。風雪滿山村。濯叟。 溪棹趁雷復。谷音襲玉溫。仲敎。 幽懷閒更積。宿契晩相敦。濯。 自愧蹉跎志。還嫌上下論。敎。 空林愁歲暮。靑眼破宵昬。濯。 爐火香烟擁。梅梢臘意屯。敎。 遲回迷聖路。寂寞似禪門。濯。 已拜南湖室。旋探北里園。敎。 寒松如不改。綠竹竟難諼。濯。 願把峩洋曲。許酬伯仲壎。敎。 英䧺悲鳥沒。歲月惜波奔。濯。 莫遣閒漫詠。應將道義存。敎。 襟懷輸此夜。要勿棄狂言。濯。</text>
<title>何處從遊好二首。次信庵丈寄贈韻。</title>,<text>何處從遊好。書齋夜寂時。孤燈猶耿耿。明月故遲遲。白雪調盈耳。靑霞氣在眉。松風關一院。淸坐話心期。何處從遊好。林間獨訪時。往還三里近。迎送一旬遲。綠樹橫如髮。靑山疊似眉。幽居無事業。黃卷是心期。</text>
<title>夜坐與諸人呼韻共賦</title>,<text>一燈深坐夢魂淸。夜靜千山月正明。百歲瑤琴空在匣。于今誰復理遺聲。</text>
<title>次漁父軒韻</title>,<text>滄波白石遶村庄。茅閣蕭然頫綠塘。聞說眞安山水勝。溪翁曾擬武陵鄕。退溪詩如入桃源是吾鄕。</text>
<title>行到松亭 在漁川北</title>,<text>秋風吹客袂。斜日到松亭。平生山水興。要與白鷗盟。</text>
<title>遊玉巖舞雩。次信庵丈韻。</title>,<text>樂水還能更樂山。玆遊看水復看山。須知一寸心中理。動靜俱涵水與山。陪隨筇屐白雲間。玉瀑風崖盡日看。一室歸來淸似水。魂夢猶復繞靑山。</text>
<title>七月旣朢。與信庵丈訪南棲叔。夜坐看月。次南棲韻。</title>,<text>秋風蕭瑟動離懷。暇日遙尋葛洞來。一笑相逢明月下。滿山烟霧爲褰開。浮光淼淼倚仙舟。每憶坡翁赤壁遊。萬里黃岡那可到。鳳山深處亦風流。葛田村前。有鳳山洞。月華零露對匡牀。村巷陰陰樹樾凉。爲問山居何事業。靑燈長照蠧書傍。</text>
<title>遊鳴玉巖 二首</title>,<text>抱疾守林埜。此心長皥煕。平生遊寂寞。到處占淸奇。絶壑雲泉瀉。層臺白石危。徜徉聊自樂。羣彦復來追。佳辰陪杖屨。良友又同行。冠帶明秋日。巖崖洗俗名。飛流淸更響。紋石巧爭呈。一壑雲霞靜。何年茅棟營。</text>
<title>次舅氏西泉韻 二首</title>,<text>四海滔滔水。初從一坎泉。孰知疏導力。先於始達泉。觀書深有感。一室號西泉。烟沉長勿羃。日夕玩淸泉。</text>
<title>信庵丈以冬至詩贈壽靜齋。致皜亦和之。</title>,<text>嚴冬天地凝。玄陰九野閉。萬里積層冰。冥頊恣威勢。誰知一線陽。昭復竆泉際。動靜迭變化。機運無常繫。夭矯蟄龍奮。不爲羣豕制。行看煦八維。赫赫重天戾。是日閉關居。先王明訓揭。安靜養微陽。天人理吻契。白首山居子。讀書究眞諦。陰陽指掌上。屈伸驗鼻嚔。同人應默契。雲樹凝遠睇。淸詩迭相和。幾日還攜袂。愚蒙愧躡後。廢學常遊憇。慕古拾糟粕。處世違鑿枘。第幸吾家老。優閒視潦霽。願言明此道。末學承嘉惠。</text>
