<title>偶吟感懷</title>,<text>丹心懸日月。白髮際風塵。欲報君恩重。腰間有劒神。</text>
<title>猪灘村</title>,<text>客程西指聖居山。暫住征鞭水石間。儐使元來爲分職。驅馳何必問間關。江橋晩渡知誰訪。柴戶欣迎卽舊顔。雲網懸簷春酒美。愧吾塵世鬢毛斑。</text>
<title>平山山城 二首</title>,<text>粉堞崢嶸壓水頭。籌邊計策在防秋。靑霜紫電方磨待。積粟峙蒭有底愁。虜騎將看機穽豕。民心獨奈海翁鷗。凶鋒未接爭波坼。誰是眞卿報北州。却虜雖難第一功。治民君最海西中。河陽李雪新粧艶。彭澤楊花落晩風。客鬢只緣王事白。姝顔添得酒杯紅。馬蹄穿盡征衫弊。却羡苔磯坐釣翁。</text>
<title>蔥秀山</title>,<text>屛巖百尺碧逶迤。巖下長川繞斷陂。軟草不齊深淺色。寒花初發兩三枝。石橋喧起行人渡。畫角聲催曉月移。早撤官厨鞍已具。短鞭還向馬頭垂。</text>
<title>黃州城</title>,<text>增築高墉幾十尋。西流一帶引城陰。廊連列堞求重險。地割崇岡恐不深。効死無如堅素守。忠君誰是抱丹心。吾嗟忘義偸生輩。只識將身等萬金。</text>
<title>中山舘懷友</title>,<text>地近關山風日寒。途中未覺屬春殘。故人天末別來久。今夜燈前誰共看。客路迢迢去不極。鄕書杳杳傳猶難。素心只在辭塵世。何處江湖可卜安。</text>
<title>練光亭</title>,<text>縹緲飛樓 缺 太淸。江流一帶抱高城。風光不與年前異。客恨何從亂後生。遠渚沙痕潮已退。長堤柳嫩雨初晴。大同館裏多相識。愧我衰顔接伴名。</text>
<title>定安館</title>,<text>朝出箕城向晩尋。東風官樹碧森森。吏民羅拜多知面。紅粉爭來問好音。人事十年惟白髮。王程千里只丹心。靑燈旅榻宵將半。却把芝香更襲衿。</text>
<title>入島。次勅建寺壁上韻。</title>,<text>中海孤峯出半天。玲瓏金殿刱何年。轅門 缺 降皇朝勅。藩國寧臨上界仙。寶篆香消三夜後。恒河世在一燈前。澄心默祝靈應會。定見邊城息狼烟。</text>
<title>陪天使。次杜律韻。</title>,<text>玉帳高褰大海瀕。將軍下令肅威新。風旗乍動龍蛇彩。雲物纔經九十春。充隊貔㹯多北卒。迷津舸艦半南人。仙槎杳漠期連誤。抱病陪臣只費神。</text>
<title>雲巖山城 二首</title>,<text>粉堞縈回萬仞山。猿猱欲度亦難攀。村砧疑在蟾宮裏。夜犬如從牛斗間。只恃眞卿忠膽大。誰嫌廉將鬢毛斑。男兒生世終何用。莫使強胡隻騎還。雲間誰識人間在。砧作鳴雷虹作橋。天半曉鷄聞更遠。簷頭新月望非遙。身緣老病慵登眺。景爲靈區幻夕朝。天利天時皆已得。居民獨奈日蕭條。</text>
<title>車輦松</title>,<text>落落亭亭萬丈姿。千年嶺上翠髯垂。貞心自與羣芳異。勁節寧爲凍雪移。不怕狂風摧老榦。惟歎毒蠧剝新皮。鳥中長觜須來早。大廈良材可護持。</text>
<title>立巖</title>,<text>從知造化神工巧。碧玉奇巖大海邊。削立何曾經禹斧。驅來亦不見秦鞭。千層怒浪走衝壁。萬丈尖頭擬戴天。氣象巍然看更愛。心期誰識暗同堅。</text>
<title>次遠接使韻。題制勝堂。</title>,<text>安知形勝自天開。更有危樓壓水隈。山勢北馳平野大。海門西坼彩帆來。風光不逐時相變。衰盛何從世互廻。可惜當年歌管處。惟聞夜夜柝聲催。</text>
<title>再入椵島</title>,<text>平生僻在水雲間。物外靑山拄笏看。千尺塵埃危鬢老。十年鷗鳥舊盟寒。衝星紫氣要雷掘。秣馬淸商待伯彈。世路崎嶇何足道。江東張翰去無難。</text>
<title>苦熱</title>,<text>三月衣裘尙覺寒。夏來猶重戴紗冠。火烘腔裏心如煎。熱上頭門眼未看。願作蒼松陰峻嶺。寧從白鷺入淸湍。傍人莫問身平否。得返吾家卽是安。</text>
<title>望華使船 二首</title>,<text>砲聲掀島起長烟。忽見前洋凍彩船。劒戟森羅休示壯。虜兵充斥掃無緣。埋金事業羞前哲。載石行裝頌昔賢。迹自宮闈知已矣。心無廉耻耻當然。謀身莫念平生計。奉箒猶多月俸錢。角鬣鉗人何不戒。謙恭鄭重保長年。萍蹤之北復之東。臂病難差又耳聾。杯爲寬心長入手。身無營事但書空。軍門持重情相阻。衆楚咻齊語不通。征馬初嘶三月草。歸期須及九秋楓。年光偏促覊遊裏。情抱尤傷海島中。莫近汀洲歌棹曲。寒窓未睡白頭翁。</text>
<title>贈浙江吳上舍</title>,<text>自古神交無近遠。今朝萍水是前緣。靑春覊旅君千里。白首軍僚我一年。蜃樓丹霞粧遠岫。鯨海碧浪接遙天。秋風歸思應同切。枕上孤魂更杳然。</text>
<title>次胡秀才韻 四首</title>,<text>將軍承詔九重天。佐幕爭趨一代賢。草檄轅門才獨步。參謀王帳策居先。陰山定見弓終掛。靑海何憂箭更傳。白髮陪臣成底事。今來自幸覩羣仙。山河景物入秋天。沽酒何論聖與賢。月冷汀沙鴻叫早。風鳴庭樹客聞先。寒燈耿耿愁無夢。鄕路迢迢信不傳。自分踈慵衰病棄。靑油羞接玉京仙。自遊關外歲華遒。春夏經來未返轍。一夕金風萬壑秋。三更玉宇孤輪月。季孫西舘憶狐丘。庾子南樓戀象闕。觸眼成悲慰莫由。頭邊剩得千莖雪。囊乏緡錢一自量。數間茅屋始經營。只緣藩使無容所。莫謂周民不日成。節換授衣寒未耐。星移去國恨常萌。破窓風撼頻驚睡。何處歸鴻又一聲。</text>
<title>次箕伯張翠厓至日韻</title>,<text>自從承命瘴河瀕。末路交情未見眞。玉管移灰窮歲律。鵷班阻拜病覊人。心懸日下勞孤夢。雪滿頭邊老一身。此夜寬懷惟是酒。寒窓明燭共斟頻。</text>
<title>又次練光亭賞雪韻</title>,<text>日軸埋光積晩霞。湖山慘淡接天賖。園林花發春何待。草屋銀埋富可誇。萬徑無人風正緊。千村不夜月猶斜。歸來江路明如晝。莫遣靑燈點絳紗。</text>
<title>又次贈睡雨</title>,<text>夜來飛雪壓千林。虛館偏傷遠客心。萬里行裝餘短褐。一年時序屬窮陰。論文爲愛才猶妙。剪燭還忘夜已深。俱是故園歸思切。莫辭罇酒穩同斟。</text>
<title>和翠崖見贈</title>,<text>嵬嵬勳業振東溟。何幸如今眼忽靑。義重公私常感惠。心傾詩酒共忘形。方看北漠威風動。幾憤西河戰血腥。自愧踈慵成底事。一年虛帶使君星。</text>
<title>又次贈都上舍</title>,<text>三十年前見壯心。恨君猶未戴華簪。南中士流多聲價。江上仙庄帶竹林。衣彩萱闈懽老舞。鴈連荊樹樂姜衾。他鄕邂逅誠難得。細酌淸樽續 缺 吟。</text>
<title>曹亭</title>,<text>箕城南畔大江潯。積雪層氷接岸深。畫閣飛空開綺席。淸歌列竹弄瑤琴。提毫共和雲烟句。把酒同披水月襟。此夜團圓皆遠客。興闌忘却故園心。</text>
<title>次翠崖韻。送順川太守 二首。</title>,<text>西來未幾又南奔。半世空消路上魂。守拙遲歸元亮宅。登龍懶訪李膺門。是非身上何須辨。容默心中不足煩。日暮離筵相送罷。城頭獨立望征軒。江城短日若雷奔。征馬悲嘶惱別魂。前指南程連海界。回瞻西塞隔關門。一生浮謗君休歎。半世偏勞我不煩。百里分憂重委寄。今歸且莫滯行軒。</text>
<title>次武烈祠韻</title>,<text>共承皇命發遼東。再造藩邦孰首功。千里勝籌資廟畧。三京克復藉羣雄。丹靑祠宇欽神像。香火春秋慕烈風。不冺英靈應有會。終令虎穴一朝空。</text>
<title>次箕子井韻</title>,<text>古井沉沈幾百尋。千年甁甕碧苔深。孤輪石色連墻面。一鏡天光落水心。村綆亦知餘澤及。祠陰空向舊欄侵。仍思當日初開鑿。盛德洪疇化到今。</text>
<title>感懷 二首</title>,<text>自此文筆愧孤峯。誰謂詞塲萬里空。半世功名蝸角上。一生榮辱蝶魂中。淵明歸卧雖云晩。張翰孤帆正値風。莫使沖天千里鶴。淸宵明月唳樊籠。天數誰知有盛衰。亂來人事最堪悲。山河不是殊前見。文物如何異昔時。千里王基渾廢野。百年京洛半空棊。孤臣底處尤難忍。回首龍灣老淚垂。</text>
<title>彈琴臺</title>,<text>地脉東來鎭遠坰。蜿蜒自作卧龍形。丫流合勢環山咽。列壁成圍護岸靑。臺寂琴聲猶舊迹。灘無落月只空汀。僊人去後尋何處。獨客徘徊到日暝。</text>
<title>望洋亭 二首</title>,<text>瀕海何亭不望洋。奇形此地獨超常。石門啓路羊腸轉。山勢飛空鳳翼張。日出簷前金躍浪。鯨噴庭下雪成岡。憑欄始覺乾坤大。極目天邊更杳茫。鬢邊休道有霜毛。一上高亭老氣豪。地坼扶桑賓日早。鰲攀欝島接天高。巖形走海雄蹲虎。風勢衝汀壯怒濤。寒角莫催歸路晩。行厨尙有滿樽醪。</text>
<title>次平海鳳仙亭韻</title>,<text>山勢逶迤護小亭。郊廛平曠作前庭。長松繞渚寒侵席。脩竹環墻碧入欞。鳳去千年梧獨老。客來萬里眼同靑。壁間今古騷人韻。欲效提毫窘畫屛。</text>
<title>蔚珍贈沈都事 二首</title>,<text>年來七十始東遊。仙分雖存雪滿頭。海湧金波千里月。霜凋楓葉萬山秋。一塲詩酒情無盡。五馬行裝路更留。此後佳期何處是。越松亭下有高樓。晩好名區作遠遊。來凭仙館曲欄頭。寒鴉返壑知殘照。旅鴈驚霜覺暮秋。地盡東溟雲若斷。山攀北極月如留。此行未遍臨瀛勝。一夢猶尋鏡浦樓。</text>
<title>或人輓</title>,<text>文名早世擅南中。投筆方知盖世雄。百里分憂馳妙譽。三軍受律振威風。鷄林酒席今如夢。鶴背仙游事已空。賴有承家多寶樹。永看天祿享無窮。</text>
<title>申得淵夫人鄭氏輓</title>,<text>閨儀夙著送門時。相國家庭訓有垂。明喪三兒疴入骨。封尊二品案齊眉。丁憂不覺哀踰禮。際亂偏傷數遇奇。半百光陰眞一夢。忍看丹旐曉風吹。</text>
<title>留別翠崖</title>,<text>撥亂之才廟堂姿。平生忠悃自天彜。周麟幾嘆非時出。魯鳳多傷何德衰。不許淸氷混炭器。誰知蘊玉待堯時。北辰昏黑懷長痛。西內凄凉淚獨垂。心德不期同八百。倫常何幸賴扶持。功存宗社多神策。世致淸明見博施。不啻寰中歌樂業。無敎澤畔詠悲詞。楡關仗節山河固。玉塞宣威草木知。黜陟嚴加狐屛跡。伏奸神摘更無疑。踈慵曾切思相接。儐使今來荷不遺。河海深情銘骨髓。丘山高義感公私。棠軒多暇頻斟酒。油幕挑燈每咏詩。客裏光陰嗟已暮。人間聚散亦無期。一編荒句惟言志。別後時時儻記思。</text>
<title>贈海伯南銑</title>,<text>南金聲價擅明時。容量恢弘衆所推。鳳骨初非栖棘質。牛刀焉用割鷄爲。珠還合浦看新化。績著徐州效古治。桂殿攀枝休恨晩。薇垣言事却忘危。大夫補郡非嫌直。馮翊陞階爲蘊奇。氷雪弘農持雅操。謙撝胡質避人知。柳營按節緣嘉奬。蓏限增期出異規。公義丘山思報效。聖恩河海想銘肌。名聯蓮榜交曾固。迹共鵷班意更怡。竹館開樽眞邂逅。星軺臨路更躕踟。情遺藤杖猶扶老。誠索詩篇實愧遲。江漢西流連碧海。風帆來往幸相思。</text>
<title>次哀江頭十韻</title>,<text>昔我茅廬在何處。華山之南江漢曲。平沙漠漠十里白。春水沉沈千丈綠。銅津西走勢縱橫。冠岳南控攢黛色。烟霞蹤跡落塵網。玉佩濫近龍座側。苔磯久寒白鷗盟。馳烟未免鍾山勒。淸氷不與炭同器。病鶴籠中摧兩翼。年來雖計急流退。爲感天恩歸未得。自從離家歲將半。秦雲杳杳無消息。西河舘裏季孫留。毒霧厲瘴愁何極。莫道楡關一身遠。耿耿丹忱恒拱北。</text>
<title>四愁詩。幷引。</title>,<text>從古稱解愁者。曰詩曰酒曰遊曰歌。皆無可奈何中作排遣法。不知可解非愁。大愁不解。余今班生之志未成。杞人之憂益切。每於解愁事。輒復增愁。謾吟俚語。以寄深懷。深愁逢人不可說。吟詠惟憑筆上舌。得句每矜軼昔賢。苦吟必欲驚時傑。撚斷長鬚語不工。推敲頓使諸念絶。我將詩作送愁符。把管空敎悲轉切。覓韻幾回思不通。寸心如絲縈萬結。一字一淚黯然流。流向案頭盡成血。退虜何曾在賦詩。請纓痛恨遼西折。負心僕固引虜來。誰似汾陽重建節。良士如可百身贖。相從共搗虎狼穴。右詩愁淸濁聖賢漫平章。風流人皆愛醉鄕。身世盡拋杯酒外。陶然天地足相忘。那管愁懷如山重。荷鍤高致尙可方。尋得山中千日酒。將期睡裏隙駒忙。豈知假寐愁更急。夢魂直去謁明光。不論蒼生與神鬼。席前借箸籌邊疆。獻策未已頓首哭。大呼開眼却在床。酒醒遲兮夢醒速。誰謂醉眠不以長。愁深非關酒力淺。爭如獨醒任踈狂。右酒愁古人願看好山川。况此佳麗世所傳。疊翠峯嵐皆北拱。朝宗江水盡西纏。登臨更偕冶城士。淸淡語出驚四筵。振衣江上生翰羽。御空兩腋風翩翩。驀然擧目山河異。未可將愁明問天。白雲杳茫望不見。海霧迷離眼底連。復歎擧頭惟日近。長安遙遠隔天邊。佇立如酲淚雨下。夕陽歸步肯俄延。晩霞籠山月生浦。留憑豪士記雄篇。右遊愁歌嘯紓憂見往躅。天籟寧論何調曲。聲韻悠揚高遏雲。鼓吹瀟灑振林木。憤憫寫於不語中。那須擊磬與擊筑。行唫澤畔古人愁。我今愁 缺 千萬斛。中國聖人有外憂。征夫何日忘身辱。開喉哽咽已斷聲。果然長歌過痛哭。拭淚起看霜刃在。射人炯炯光如燭。彈之一曲轉長懷。飢時欲噉胡兒肉。右歌愁</text>
<title>古屛時展看漁磯</title>,<text>我家何在江之頭。竹籬松徑臨郊圻。山光水色別來久。白首東華空憶歸。幽居摹入古屛間。數疊時展看依依。平生夙慕渭上風。半世烟霞塵跡稀。忘機鷗鳥不易慮。一竿長荷芙蓉衣。堆盤玉尺足生涯。逸興自與千鍾違。虛名誤達九重天。玉帛戔戔來山扉。還將野性走俗狀。十載簪笏遊皇畿。寒生蕙帳夜鶴怨。勒移愧被鍾山譏。覊心雖切拄笏看。未脫名韁徒夢飛。歸思何處見遊迹。畫裏風景眞依俙。摩挲認是舊吾居。指點宛然沙邊磯。蒼苔白石摠髣髴。滿汀蘭芷猶芳菲。鄕關歷歷尺素中。卧游名山追庶幾。看來還似昔日閑。忘却身近黃金闈。空洲久聞浪打聲。便覺家山眞面非。噫吁戱。何當掛冠浩然歸。更着烟蓑閑坐漁梁。濕盡江雨寒霏霏。</text>
<title>輓章[李慶全]</title>,<text>與君相對卽相傾。只爲東村感舊情。少日飛騰公議在。晩途桐竹等閑行。萍蓬漠漠空南北。山水迢迢隔死生。恨唱哀些魂獨返。斷雲何處見箕城。韓平君李慶全</text>
<title>輓章[李德泂]</title>,<text>早把金蘭契。相離歲月遒。情緘看去夏。哀辭到今秋。每恨親朋逝。還驚世亂稠。正當歌哭日。好向碧山休。竹泉李德泂</text>
<title>輓章[李景奭]</title>,<text>夙歲魁星動九天。向來鵷列得隨肩。名區左海稱平海。浮世稀年少一年。谷口重尋嗟已矣。棠陰舊跡夢依然。高門積慶知何恨。兒在庭前八影聯。白軒李景奭</text>
<title>輓章[李溟]</title>,<text>屈指庚申長一年。宦情榮辱亦同緣。方竢蓏秩今秋晩。誰遣凶音此日傳。玉署龍頭俱片夢。風襟騏骨已重泉。棠軒竹馬曾經地。泣血諸郞慘叫天。龜村李溟</text>
<title>輓章[南以恭]</title>,<text>嶺外經年得見書。深情珍重問興居。歸來不待新秋後。會合相期久別餘。那料金章淹海色。忍看丹旐返鄕廬。全湖棠化孤城守。萬事如今一濕裾。雪簑南以恭</text>
<title>輓章[柳廷亮]</title>,<text>半歲欣戚摠無涯。寫幾哀篇哭幾家。聞子軒車今又逝。想余心事復如何。朋知豈但悲冥漠。聖主誰憑責撫摩。尙憶唐城同榻夜。可堪殘月獨西斜。全昌君柳廷亮</text>
<title>輓章[李顯英]</title>,<text>世分交情兩不淺。蒼顔白髮慣從遊。鑾坡銓部還如夢。楚水楓林秪喚愁。棠茇風流錦江上。仙鳧影落月松秋。悠悠萬事君休恨。蘭玉盈庭摠勝流。蒼谷李顯英</text>
<title>輓章[李景稷]</title>,<text>頭白從遊久。愛君天性眞。化成湖外俗。恩被海瀕民。㫌旐淸霜濕。屋梁曉月新。故人數行淚。非獨爲情親。石門李景稷</text>
<title>輓章[金壽賢]</title>,<text>三載名區作地仙。向來淸福羡君全。尙嫌腰下懸金重。永謝人間食火緣。他日荀龍家慶遠。當年范轡主恩偏。門闌厚義從先世。千里緘詞却泫然。同知成均金壽賢</text>
<title>輓章[鄭廣敬]</title>,<text>氣得雄豪擅宇宏。物無違忤共和平。半生螢雪曾忘食。八斗文詞早擅名。鵬翼飛騰眞自致。龍頭聲價有誰爭。靑雲望峻天曹選。雨露恩深玉節榮。身老却嫌金帶重。跡踈還佩郡符行。吟梅東閣詩囊富。炊黍邯鄲旅夢驚。傾盖遠思當日好。漬綿孤負故人情。淸樽永斷朋知展。風軌猶看寶樹明。峴首豐碑懷叔子。桐鄕歸櫬泣遺氓。傷心梁月依然照。夢覺秋宵涕滿纓。大司諫鄭廣敬</text>
<title>輓章[卞三近]</title>,<text>憶昔同題鴈塔名。壯元聲價振羣英。官躋二品榮藩臬。壽到稀齡厭世情。鳧舃幾年留葉縣。鸞驂今日向蓬瀛。八龍餘慶應無艾。高大門閭待後生。副摠管卞三近</text>
<title>輓章[曺文秀]</title>,<text>風霜幾經亂。嶺海共分憂。欲數當時輩。誰爲此老儔。聲名冠十六。寵辱升春秋。水鑑持全節。江蘺詠沃州。官纔張按轡。年上陸知涪。世變嗟何已。才高惜未收。論交常恨晩。見許卽心投。已矣歸黃壤。依然獨白頭。空思平近晤。無復月松遊。喜覩盈庭玉。猶徵積善優。雪汀曺文秀</text>
<title>輓章[金蓍國]</title>,<text>纔得平安信。那知惡耗來。朝廷失國器。郡邑失良才。夕笛他年淚。寒笳今日哀。親朋餘白首。世念已全灰。東村金蓍國</text>
<title>輓章[鄭廣成]</title>,<text>桂籍居魁日。靑雲得路時。銅章聲政績。金帶煥光輝。蘭葉芳初盛。槐柯夢已悲。白頭吟獨立。霜月淚沾衣。濟谷鄭廣成</text>
<title>輓章[南斗瞻]</title>,<text>東方文史足三冬。魁斗聲名滿九重。濁世風霜甘貶逐。淸朝日月見登庸。官經廵察因諸邑。壽迫稀齡更八龍。萬事卽今成一夢。白頭誰與瀉心胸。猥將心契托忘形。樽酒過從眼幾靑。離別當年孤竹府。夢魂三載月松亭。蓏期漸近欣相待。薤露先晞淚自零。關嶺極天飛旐返。九原何處閉玄扃。醒窩南斗瞻</text>
<title>輓章[尹順之]</title>,<text>黃金橫帶鬢絲鮮。風度魁殊儼若仙。白主堂中曾識面。紅蓮幕下共隨肩。天涯凶 缺 那今日。篋裏傳書未半年。萊竹召棠歸葬地。素車無計赴新阡。涬溟尹順之</text>
<title>輓章[李俔]</title>,<text>歲寒松柏與君同。歷險丹心萬折東。獨守孤城安市日。全歸故國子卿忠。早攀仙桂文聲振。晩憇甘棠德化隆。未撫稀年嬰二竪。八龍餘慶定無窮。同副承旨李俔</text>
<title>輓章[鄭世規]</title>,<text>中原相會幾經霜。此別幽明夢一塲。追憶舊遊堪痛哭。欲題哀輓轉凄傷。甲科美譽傳龍榜。二品崇班冠鵷行。中歲棠陰遺愛遠。暮年桐邑政聲長。得名得壽身膺福。多女多男後必昌。扶病在官吾甚苦。羡君乘化返牛岡。安東府使鄭世規</text>
<title>輓章[崔繼勳]</title>,<text>壯頭科甲聲名藉。玉署天官早歷敭。往昔嗟傷經慘禍。卽今酬報足榮光。辛勤塞北持蘓節。廵察湖西憇召棠。鳧舃未還塵夢斷。仙區烟月摠悲凉。興海郡守崔繼勳</text>
<title>輓章[鄭復吉]</title>,<text>籍甚香名第一人。玉堂詞藻舊儒臣。孤城屬鞬忘身日。百里憑熊有脚春。許可初歡知我厚。升沉末路與誰親。新阡落景丹旐返。棠樹飄零泣舊民。縣監鄭復吉</text>
<title>輓章[李袤]</title>,<text>靑陂乍見翻如夢。嶺外相離更杳然。意謂玆行甘隱吏。誰知此去竟登仙。桐鄕五馬留遺愛。葉縣雙鳧返幾年。賴有太常風骨似。他時應保緖餘傳。果庵李袤</text>
<title>輓章[趙珩]</title>,<text>曾蒙夫子許心知。眉宇之間情素披。早攝崇班荷百祿。更敎餘慶屬諸兒。湖西尙有甘棠化。海上應看墮淚碑。回看月松遊賞地。不堪揮涕爲題詞。翠屛趙珩</text>
<title>輓章[李得養]</title>,<text>昔我遊翰墨。先輩多追揖。麻浦會三友。荊州仍一識。常從尙甫語。樂道文章伯。龍頭先著鞭。虎口恣呑噬。幾日北扉幽。十載南海謫。金鷄召夏省。涸魚游春澤。忠信行蠻貊。湖甸咏棠茇。所願在甘旨。朱幡歷幾邑。曾爲竹山宰。偶逢草土客。哀情聞吉語。婚媾片言决。從來義益深。與許情彌篤。廣陵枉征軺。高軒頻掃榻。縻官東洛下。把酒終南夕。白首憂國心。靑雲舊遊跡。世路兩蹭蹬。蘂城居同卜。聚散固無常。江渭還相隔。杖屨計反差。手札看猶數。蓏期定今秋。凶音忽此日。傳聞疑信半。驚悼心如失。二品誰謂高。位不滿賢德。七旬縱云稀。壽亦疇仁哲。天胡不憖遺。公私俱痛惜。國步尙屯邅。未濟失利涉。不得且太平。嗚呼就窀穸。器識想何處。錦江深無極。風襟怳在斯。月松寒月白。遺業一經書。餘慶荀龍八。諸孫皆秀朗。永耀雲霄閥。萬事無遺恨。三魂返僊籙。終天孝子痛。叩地千行血。途窮仗是誰。重覺吾儕厄。家貧稽賻儀。路遠違執紼。悵望牛眠地。堪悲馬融笛。一別間黃泉。題詞更痛哭。都事李得養</text>
<title>輓章[朴安孝]</title>,<text>昔共淸溪榻。交情指白頭。兵塵星散久。天地歲華遒。我病吟僑舍。君歸記玉樓。悲凉舊園壑。淚灑菊花秋。縣監朴安孝</text>
