<title>詠月 壬子</title>,<text>月出扶桑東。淸光四海同。長風吹不盡。頃刻到天中。</text>
<title>昔尤齋宋先生謫北塞。到鐵嶺。有鐵字韻詩。我曾王考厚齋先生和成三首寄呈。尤齋先生覆次之如其數。余到鐵嶺。有感于昔。敬次其韻。</title>,<text>危嶺截南北。峻壁如削鐵。凍雪封斷石。我馬欲流血。敢言原隰勞。能無職任缺。矯首望丹極。天際有明月。其二尤翁宗孟朱。斬釘又截鐵。正義揭春秋。大勇超氣血。邪哇縱暫翳。道德終靡缺。千載鍾間氣。孰能踰日月。其三我祖師尤玄。賾道誠透鐵。思深葉化圖。讀較鵑啼血。遺書蔚滿架。精義完無缺。百世俟知心。定印寒潭月。</text>
<title>歸自北關未幾。又承命往嶺南。</title>,<text>臘雪重關北。春風大嶺南。夷險王程數。閑忙野老慙。海氣蒸如霧。山光醉似嵐。吾廬何處是。歸興夢中酣。</text>
<title>偶吟</title>,<text>汨汨爲形役。年年作遠遊。關河萬里跡。南北極天頭。覊絆長如許。行藏可自由。山花似慰客。故故傍征輈。其二危橋浸亂水。遠嶽隱微霞。野濶茸茸麥。村深淡淡花。風光供客眼。詩句答春華。折柳催征馬。前林雨脚斜。</text>
<title>全州道中</title>,<text>陰雲垂野鳥喃喃。得雨山光欲放藍。流水浮雲二千里。春風匹馬向天南。其二全州四月雜花香。燈火家家似漢陽。拾翠佳人爭約伴。水頭屛帳賽龍王。州俗四月八日。設屛帳於水上。相與飮食遊嬉。以祭龍王云。其三寒碧堂高流水長。賞春太守綺筵張。貢花自是風流政。却恐村民穡事妨。路逢負花者甚多。以官令採納云。故末句及之。其四烏原驛路枕長川。渚草茸茸嶺樹圓。數戶孤村臨野靜。竹扉斜掩落花天。</text>
<title>自統營前洋。乘舟入閑山島。次李忠武公 舜臣 刀字韻。</title>,<text>雲水千秋白。勳名百戰高。登臨意無限。笑撫匣中刀。其二海晏魚龍伏。風微皷角高。扶桑無戰氣。苔澁滿營刀。其三地放南溟濶。天橫北斗高。英䧺一去後。峰勢尙如刀。</text>
<title>過雲峰燕峙峴。見大明劉提督 綎 題名。感而有詩。</title>,<text>陰風獵獵閃朱旗。此地何年過六師。陣勢從天蠻魄奪。威名淸海將功奇。丹書絶壁雲雷護。鐵騎深林草木疑。撫劒書生空感慨。中原回首日斜時。</text>
<title>夜直玉堂。聞雷異志感。</title>,<text>歲晏蓬萊閣。寒生白玉墀。奔雷冬作恠。伏雨夜何遅。百慮高穹邈。孤忱小燭知。靑綾儘非分。歸夢故園宜。其二欲補山龍繡。慚無五色絲。雷威頻示警。天意或扶危。繞壁丹心折。挑燈白髮滋。孤吟不成寐。仙漏漫垂垂。</text>
<title>冬至 癸未</title>,<text>陰陽互迴斡。大化無停機。昨日衆陰剝。今日一陽歸。綿綿泉脉動。眇眇生意微。一氣透雪霜。梅柳亦依依。天心自不移。人事貴無違。悠悠四十年。擿埴堪貽譏。靈㙜日晦塞。善端空依俙。消長忽有感。端居悟昨非。欲喚主人惺。庶追義勝肥。情冦未易摧。勿旗勞一揮。明明三字符。學之顔可希。其二玉衡指仲冬。天氣正凜烈。短日寒無光。疾風石欲裂。枯葉走庭際。策策如相詰。微陽地底復。玄機自坱軋。動靜固無端。闔闢惟一轍。天命苟暫停。化育寧無缺。至人體乾道。一息罔自逸。大舜起鷄鳴。神禹惜寸日。悠悠忨愒徒。志業何時畢。忱誠苟一到。豈難透金鐵。其三庭雪日霏微。庭樹日蕭踈。茅廬寂無客。中有古人書。心閑絶俗累。意到潛卷舒。洋洋聖者訓。千載日星如。起來覽世道。正路久榛蕪。亂草穢孤芳。敗礫欺明珠。昏昏一世聾。鍾呂何太迂。古道竟無用。輟卷徒長吁。微陽破積陰。一理徵戶樞。但憂學不至。莫謂時已渝。寒梅共一笑。踈影如人癯。</text>
<title>以參覈使。辭陛到高陽。甲申</title>,<text>域內經行遍。遼東取次征。關河長作客。物役易傷情。殘火明孤驛。春流帶古城。依依家國戀。回首暮雲平。其二世事皆前定。燕行有昔徵。斜陽下濟院。初月過昌陵。專對才全拙。長征氣益增。庭梅花欲發。歸夢曉來應。余於年前。屢有燕行之夢故云。</text>
<title>坡州道中</title>,<text>一抹輕霞羃遠山。蒼茫野色透林間。層崖倒馬留餘恨。雙佛迎人認舊顔。野火燒來春事急。樹陰迷處數村殘。桃花柳絮無消息。應待征車北地還。</text>
<title>開城府</title>,<text>路濶長湍野。雲開松嶽春。興亡俱逝水。今古幾行人。廢郭殘燒遍。荒臺細草新。斜陽訪崧院。駐馬一傷神。</text>
<title>靑石谷</title>,<text>逶迤靑石谷。迴合亂山中。井陘難方軌。盤蛇可伏戎。胡來不覺隘。天險亦成空。今古無窮感。悲歌倚北風。</text>
<title>平山</title>,<text>喜失靑泥後。嫌逢赤坂初。地疑徐岱近。石似糓城餘。雨過愁霑服。塵飛憫汙車。山川頑似許。椎俗且從渠。</text>
<title>遇雨</title>,<text>闇闇催耕種。絲絲乍有無。千村皆作喜。萬樹欲蘇枯。滴草明珠點。漫山淡墨圖。晩來猶不絶。應洗直西途。</text>
<title>黃州</title>,<text>直西關路正悠悠。竟夕征車不暫休。數里孤城圍綠樹。一天微雨過黃州。林禽樂意風初暖。堤柳春心水共浮。形役十年身欲老。爲將行止問沙鷗。</text>
<title>練光亭下。與廵相黃台景得 仁儉 同舟泝洄。記昔賦詩。</title>,<text>十里平林伴客輈。靑衫猶記昔時遊。卄年世事今蒼鬢。春日仙舟又綠流。雲氣濃含千峀出。月華淸共一樓浮。琴娥解唱陽關曲。翻起征人出塞愁。辛酉。余以新恩進士遊此亭。已二十餘年矣。</text>
<title>入瀋陽</title>,<text>大漠風驅十丈塵。隔河烟柳捴愁人。乾坤自少眞男子。日月空回舊甲申。遼野卽今非禹服。普天何處覔王春。書生手有龍文劒。永夜旄頭指點頻。</text>
<title>瀋館有感。拈筆漫成。</title>,<text>蘓卿雪窖猶持節。宋瑞燕山不下樓。石室陪臣心更苦。南冠三載爲宗周。右金淸陰。其二華陽大老志湔羞。前席風雲密勿謀。痛哭蒼梧餘淚在。塵箱更濕舊貂裘。右宋尤庵。其三東方正氣數靑袍。大義前頭一死豪。劒樹刀山渾不顧。等閑談笑擲鴻毛。右三學士。其四千羣醜虜一身鏖。曠漠悲風助怒號。月黑深河陰雨夜。猶聞鐵騎聲嗷嘈。右金將軍。其五白馬城高絶虜塵。扁舟南渡大經綸。單于坐笑東方窄。斗水不容橫海鱗。右林將軍。其六東牎勳業相公榮。白首西行莫浪驚。天意偏要君不死。恐敎三士混淸名。右崔鳴吉。其七中原力盡救邢時。草木猶知再造私。城下銅盤尙云可。錦州一役復何辭。右錦州師。</text>
<title>途中卽事</title>,<text>關路泥深沒客筇。塞河水濶闕征篷。麻姑洞裡猶看雪。狼子山前始見松。胡馬應呼歸去熟。唐姬足步來慵。村村梵宇隣關廟。厭聽中宵聒皷鍾。胡人日暮。出門作聲。則馬牛之放牧者。成羣自歸。唐女自兒時。以巾足。足小脚大。行步蹣跚。風甚則不敢出行云。</text>
<title>冷井</title>,<text>細草遼東岸。踈林冷井村。野窮山色出。川折水聲喧。虜俗看看異。商車處處屯。雨來何用駐。我馬自東奔。</text>
<title>途中</title>,<text>小店征人少。荒林亂轍多。山霞仍作雨。塞水捴名河。曠野皆楊柳。平田雜黍禾。長程殊未已。歸夢夜如何。</text>
<title>連山關</title>,<text>遼河日夕漲塵沙。六十光陰異域過。齊響鐸鈴車載貨。對縫屣履女簪花。鸎隨朔氣聲全變。燕帶胡風語亦訛。惟有中天明月色。也應東國一般多。</text>
<title>留灣上</title>,<text>六月邊塵染客袍。長安萬里夢猶勞。樓頭縱目胡山盡。城上懸烽北斗高。出塞䧺心朝試馬。勒燕奇氣夜看刀。無端風送千林雨。彷彿遼河蹴踏豪。</text>
<title>百祥樓</title>,<text>遼陽歸路厭塵埃。忽有高樓萬里開。江勢遠從千峀出。野光飜抱數州廻。風雲空裏相摩盪。炎熱人間自去來。十二欄頭發淸嘯。長洲明月與徘徊。</text>
<title>花石亭</title>,<text>花石亭名自栗翁。栗翁一去亭亦空。玉色金聲人已遠。丹崖翠壁江之中。荒庭俯仰無邊月。虗閣徘徊萬里風。徙倚欄干意何限。滄波極目海門通。其二霽月光風隔杳茫。遺墟草木襲芬芳。乾坤浩氣千年會。山水精神萬古長。祗有斯文紹洛閩。終孤至治鑄虞唐。江湖魏闕同憂思。尙誦當時瀝血章。</text>
<title>龍灣。次金君君哲韻。乙酉</title>,<text>萬里長安客。東風鴨水邊。陰雲埋古戍。積雪漲胡天。宇宙餘孤嘯。功名負壯年。狼居空入望。誰是冠軍賢。其二關防拱北塞。襟帶阨西邊。暮角搖寒月。飛亭湧遠天。雪消當路塞。春早太平年。裘帶翻多暇。何如峴首賢。</text>
<title>又次</title>,<text>年逾四十已知非。末路行藏與計違。萬里辭家蓬鬢短。一燈吟病藥爐圍。統軍亭㢠春遊冷。蘭子洲空夜獵稀。差喜邊城寒事盡。大江冰泮綠波肥。</text>
<title>白馬山城</title>,<text>簇簇峰巒立。層層睥睨斜。孤城當落日。絶域對春華。疊皷聲飜海。飛㫌影動花。昇平已百載。極目靜塵沙。其二絶塞重關險。春風萬里樓。華夷境俱盡。天水影相浮。愁思懸烽夕。䧺心勒石秋。林公祠屋近。遺恨滿江流。</text>
<title>觀獵威化島</title>,<text>天設重江壯關防。中有一島三十里。太祖回旆基王業。遺墟至今祥雲起。地間華夷人不居。極目蘆葦平如砥。龍灣四月桐花落。將軍無事閱武技。畫旗大皷臨長嶼。淸曉軍聲沸江水。數部管絃雜鐃吹。十隊紅粧間虎士。錯落奔騮汗血赭。獰猙獵狗牽絲紫。中權號令馬首瞻。兩甄分張鳥翼似。賈勇叫呼撼山嶽。打圍蹴踏鳴弓矢。癡鹿駭獐走且跳。萬人競逐黃塵裡。馬蹄盤旋似轉燈。得失難分迷尺咫。俄頃壯士獲雋歸。倒掛朱鞍血染衣。猛虎走藏窩窟空。驚禽逬落羽毛飛。獻馘轅門邀厚賞。橫鞭馳出生光輝。翠旗百步風半颭。馬上捷取爭逞威。始知塞上兵力勁。何難漠北胡塵淸。時平百年無所用。草中狐兔空相驚。昔我經過瀋陽野。慨然大漠思橫行。安得驅此萬猛士。秋風大獵單于城。歸卧鈴軒意牢落。撫劒縱目天崢嶸。</text>
<title>又次趙台和叔韻</title>,<text>玉關歲云暮。何限故園情。天末人猶隔。詩中眼忽明。烟踈鴉點樹。鍾動月侵城。遙想梅牎下。寒香傍雪生。其二絶塞連年客。危樓萬里情。壯心猶自負。雙鬢不禁明。雪擁江間戍。烽懸霧裡城。邊愁何日了。歸計趁春生。</text>
<title>送冬至副使金台述甫 善行</title>,<text>納納乾坤久陸沉。一陽消息隔重陰。寒宵玉舘無窮感。方識淸翁昔日心。金台。卽淸陰傍孫故云。</text>
<title>蔡君景洪 希範。寄別詩七絶。懶不能盡和。只步二首。聊以見懷。丙戌</title>,<text>一樹花開照兩家。夢中猶記昔相過。去春詩什今春和。始覺西來歲月多。其二南村雖失幷隣居。北陌猶堪枉小車。塞外歸裝春作伴。簷花應待共看書。</text>
<title>洪原謫居</title>,<text>小屋臨荒野。孤烟起暮城。海帆時隱見。村火乍微明。雲去家庭遠。花飛客意驚。淸宵空佇立。星斗向人傾。其二風氣隨方異。關山背險來。天陰不作雨。海吼欲成雷。峽巿荒無物。郊扉冷未開。一旬家信斷。孤月夢徘徊。其三投遠故無累。登高始欲愁。山連雲不極。海盡天應浮。世事惟高枕。春風且倚樓。騰騰平日氣。自笑未全休。</text>
<title>思鄕</title>,<text>藥笈茶鐺枕畔圍。卧聞春雨政霏微。剪殘蠟燭愁誰語。開盡林花客未歸。曉角吹城樹漠漠。海山入檻雲依依。故園風物撩羇思。綠韭初長靑蕨肥。</text>
<title>偶吟</title>,<text>峽色初開海色平。穿林小路背孤城。山齋四月花猶在。縣角三聲斗欲橫。啼鳥不知爲客恨。宿雲遙寄戀君情。萱庭舞綵知何日。詹尹床頭要細評。</text>
<title>有感</title>,<text>漢唐勳業妄相輕。三代䂓模每細評。欲借陽春噓白屋。坐看寰宇奠蒼生。浸成迂濶書安用。虗負經綸鬢已明。康濟一身還沒策。當時只合事躬耕。</text>
<title>卽事</title>,<text>昨夜空階聽雨聲。前汀春水曉來生。思家萬里孤雲遠。戀闕三更北斗明。野曠有時看走馬。塞荒無樹着啼鶯。茅齋客去柴門靜。且掩爐香睡晩晴。其二家山物色眼森然。永夜歸心北斗邊。堪惜孤花人共瘦。爲隣明月夢俱圓。難成事業炊沙飯。不進文章上水船。靜裡新工除百念。斷香惟對小爐烟。其三燕語鳩鳴捴不禁。爲憐淸晝伴孤吟。垂楊遠岸風烟積。芳草空階雨露深。萬里春歸添客恨。一封書到見親心。長安日下頻回首。莫遣微雲作暮陰。</text>
<title>謫廬讀書</title>,<text>胷海何曾累險夷。浩然高卧葛巾欹。梅花亂落羲經案。樺燭孤明大學帷。天上飛龍要利見。座中談虎孰眞知。雖無銖寸新工得。且喜憂虞一掃之。</text>
<title>春雨</title>,<text>細點霏微乍暎空。亂絲搖颺旋隨風。穿階怒草添新綠。戀樹殘花濕老紅。峽霧藏來村遠近。塞雲呑盡海冥濛。關山一段依迷景。疑入龍眠淡畫中。</text>
<title>甁花</title>,<text>孤城極目但風沙。荒塞那堪管物華。強與東君作顔色。甔甁新揷數枝花。其二三月長安花事闌。紅霞深處簇金鞍。壺中天地無窮妙。誰識春光在此間。</text>
<title>聞上候平復。志喜。</title>,<text>玉候初聞勿藥平。紫泥頒慶度郵亭。爲功不待三壇璧。垂隲元由九廟靈。喜色忽添花灼爍。歡聲遍報鳥叮嚀。孤臣半夜欣無寐。且待恩環好返庭。</text>
<title>歸度咸關嶺</title>,<text>凄寒變作綠陰低。來去關河物色迷。躑躅花開含雪嶺。垂楊枝覆斷氷溪。鳥迎喜氣穿林囀。馬帶歸心向日嘶。淸夢先隨孤月返。家鄕知在暮雲西。</text>
<title>樂民樓</title>,<text>王業肇開地。春城前度遊。關雲莽萬里。江月渺千秋。氣積朱樓動。烟凝碧樹浮。安危更遠念。默誦大風謳。</text>
<title>江寓</title>,<text>消愁賴有暮江澄。濯熱何須玉井氷。暎水沙明不受月。隔林村暗只看燈。渚雲乍起雨初集。灘舶相喧潮欲升。一榻蕭然無俗累。近人鷗鷺自成朋。</text>
<title>江雨</title>,<text>南浦亭㙜暫息勞。卧來寒雨響蕭騷。簾間氣濕汀雲重。樓外波鳴海舶高。鷗鷺相招機已息。魚龍欲動意猶豪。隨身數篋塵編在。永夜孤燈不厭挑。</text>
<title>次宋君新之 日休 寄示韻</title>,<text>棋罷因成睡。茶餘偶檢書。浮榮慚嚇鼠。幽意欲焚魚。欹枕浦帆遠。吟詩江雨踈。荒庭無客到。斜日上閑除。其二暝樹森森立。遙燈點點稀。靜知魚極樂。閑愛鷺忘飛。石老滄江色。沙回落月輝。櫓聲聞漸近。應是採菱歸。</text>
<title>江上卽事</title>,<text>雨過餘響滴梧桐。江閣踈簾暎半空。㝡是夕陽南浦外。一帆明滅畫圖中。其二踈林隱約翠微間。淸曉人家尙掩關。上峽商船趁塩巿。數聲柔櫓過龍山。其三連宵雲雨暗前汀。隔水羣峰不辨形。雨歇雲歸江水靜。鏡中微暈數螺靑。其四公子風流揚彩舲。紛紛絲竹入靑冥。舟回聲斷不知處。極目烟波生遠汀。其五東風吹雨白蘋汀。處處淸波濕晩馨。昨夜江流添幾尺。浦帆欲壓洗心亭。</text>
<title>次趙台和叔薜蘿亭韻</title>,<text>穎尾歸心負壯齡。晩緣聊復托斯亭。朝回草色開閑逕。客散花陰落小庭。淸夢不妨幽鳥語。宿雲欲畫遠峰形。爐香一炷消塵累。只許松風盡意聽。</text>
<title>月夜獨步 丁亥</title>,<text>地上雪如月。天上月如雪。雪月相輝暎。天地同皎潔。散步踏淸光。夜久微霜結。斜漢澹樹梢。玉繩低天末。林禽冷無聲。梅影瘦如骨。閑人似我少。淸景共誰說。歸來掩戶卧。夢魂猶超越。</text>
<title>歲初邀申君翊卿 。小話同賦。戊子</title>,<text>庭露微微滴。林陰稍稍移。月明人醉後。茶熟客來時。倦枕溫殘夢。閑牎讀舊詩。超然無外慕。眞樂有誰知。</text>
<title>又次</title>,<text>小園春事早。新竹暖堪移。燭盡橫參夜。松欹落雪時。爐香欲醒醉。街皷似催詩。淸趣在無語。傍人應未知。</text>
<title>次申翊卿韻</title>,<text>光陰漸晩意茫然。騎竹紅顔憶往年。活計祗憑殘簡裡。經綸聊試一樽前。梅開几案浮淸氣。雪盡林巒返綠顚。東巷騷人甘寂寞。閉門終日似參禪。</text>
<title>次宋新之韻</title>,<text>枯荄稍生意。啼鳥欲成歌。好月行看滿。餘寒判不多。草玄非解事。浮白且無何。憂樂兩相忘。悠然自太和。</text>
<title>旱餘小雨未洽</title>,<text>滴滴纔聞響。霏霏乍暎空。輕霑新麥穗。微濕小花叢。尙喜同雲色。難爲潤物功。何當作一霈。四野占年豊。</text>
<title>歸沙川</title>,<text>匹馬歸來舊草庵。園翁溪叟欲相參。禾收四野村聲樂。霜染千林岳色酣。差喜巖泉新有契。定知章服漸難堪。夜來一段淸幽景。沙水淪漪月影含。</text>
<title>再寓洗心亭。次趙台和叔留題韻。</title>,<text>三宿曾餘戀。重來不厭看。沙禽迎客慣。江月向人團。簾閣生秋影。魚龍動夜寒。詩篇解靑眼。吟罷更憑欄。其二西湖又秋夜。漁火隔年看。移席沙光凈。維舟樹影團。汀空偏得月。樓逈不禁寒。應識忘機久。輕鷗欲近欄。</text>
<title>夜坐拈放翁韻</title>,<text>淸漏無聲落葉流。禁城風物正宜秋。霜餘晩菊香浮砌。月上踈林影倒樓。寒杵屢回孤客夢。澹雲遙作暮鴻愁。朝端自幸無覊束。且擬江湖爛漫遊。</text>
<title>命兒輩拈韻雜賦 己丑</title>,<text>雪屋寒初盡。風扉暖欲開。不知容鬢改。猶喜歲華來。樹影侵踈箔。梅香逼淺杯。兒曹也淸興。暝踏月光回。其二曙色葱籠竹樹間。數聲啼鳥報春還。卽看山雪似花白。雪盡他時花滿山。其三紅塵咫尺閉柴門。猶有春風掃小軒。萬戶烟凝迷碧樹。九街鍾動警黃昏。燈前壓酒微香聞。枕畔看書至味存。爛漫韶華知不遠。一筇擬遍杏花村。其四春城仙漏響丁東。夜久燈花落小紅。得氣林禽纔好語。向人堤柳已和風。鍾殘月影窺簾外。酒醒梅香入夢中。東巷誰憐老騷客。閉門寂寞似楊䧺。</text>
<title>騎省寓直</title>,<text>鑰下銀㙜閉。鍾鳴綺陌昏。雲低崇政殿。月上建明門。立馬傳呼急。分軍點閱煩。更深待標信。不睡倚前軒。其二仙漏催三皷。天書下九閽。星河華省靜。燈燭禁門喧。稍稍槐風動。層層殿影昏。孤衾懷百慮。歸夢繞林園。夜下傳敎。牌招政官。留門開政。</text>
<title>感興</title>,<text>庭前杏花蘂。含露如白玉。我行知幾日。花開已花落。地上紛素英。枝間餘空萼。塵事損高趣。繞樹三歎息。芳華已衰歇。歲月空超忽。浮榮不足戀。素願何時畢。唐虞與洛閩。寤寐思結。蹉跎負宿志。進退成兩失。花謝復結子。斂華終歸實。芳年縱虗度。物理猶可質。襟期托歲暮。澗松自欝欝。其二桃李深淺色。樹樹自不同。芬芳擅時氣。雕剪任天工。玄冬萬木槁。黯然枝柯空。文章閟厚根。色香誰能窮。春風一披拂。紅白各自功。遂令普天下。粧點雲錦中。豈將脂與粉。隨處染林叢。天機近人事。大化由至公。唐堯垂衣裳。八表煽仁風。思皇集夔臯。煥文賁茅宮。陽和浹春㙜。千載仰冲融。</text>
<title>惜春詞</title>,<text>古人云四時。最好惟三月。凉燠自適宜。花葉欣相發。盎然太和氣。宛覩唐虞日。今春何乖候。風雨苦無節。新芳遽離披。嫰綠委塗泥。淸和知有幾。靑陽倐已辭。洛陽少年客。惆悵惜芳時。安知我心裡。春意自未衰。微醺一杯酒。天地正和曦。</text>
<title>謫行過素沙坪</title>,<text>終南猶在目。湖樹已迎輈。曠野荒碑立。斜陽古塔愁。征驂隨水遠。獨鳥共雲浮。江漢多風雨。連宵應未休。</text>
<title>稷山謫居</title>,<text>去國投何處。蕭然十濟城。郵亭枕畿服。野色接沙坪。霜露無非敎。星河也自明。鄕山歸後計。篛笠事春耕。其二在朝已無補。承譴亦何名。抗牘慚唐介。歸山羡向平。百憂雙鬢短。永夜一燈淸。不那庭闈遠。誰憐陟屺情。</text>
<title>偶吟</title>,<text>草色侵庭濶。池光暎戶淸。隴牛烟際返。隣杵夜深鳴。京國書難得。風波夢易驚。他鄕亦明月。天末寄遙情。</text>
<title>田家</title>,<text>厨下聞鷄爨。畦間帶月鋤。寧嫌汗滴土。惟擬穀盈車。晴雨關心際。禾麻入夢餘。吾曹竟何事。飽食愧端居。</text>
<title>晝睡</title>,<text>長夏饒昏睡。頹然若喪吾。紛披少整卷。欹倒伴空壺。倦枕無人覺。虗簷任鳥呼。誰知箇中夢。端自鑄唐虞。</text>
<title>小酌</title>,<text>桐陰方滿地。竹葉豈無緣。濁世羞醒者。微醺合自然。開樽山擁座。欹枕月流天。適性元吾道。何須慕七賢。</text>
<title>雨餘卽事</title>,<text>水墨新工見化機。龍眠寫出定依微。顚風急雨冥濛裡。箬笠人穿麥浪歸。其二殘滴虗簷斷續聞。雨餘淸景夕紛紛。前山忽欲壓人屋。靜看方知山上雲。其三奔雷挾雨撼牎帷。大野驚流白滿陂。風起雲開天色豁。月中庭樹影垂垂。其四田家辛苦暇時稀。麥欲登塲秧欲肥。雨暗耕夫負耒出。日曛鋤婦戴簑歸。其五數掩踈籬半畒蔬。麥秋天氣淡沱初。一聲村杵驚殘睡。卧占微凉誦古書。</text>
<title>田家詞</title>,<text>前畦時麥秀。靑靑當柴扉。微風自南來。駭浪相奔靡。田夫荷鋤出。見之欲忘歸。桑稀蠶已熟。草長牛正肥。新秧綠薿薿。好雨興祈祈。長男理耒耜。少婦鳴杼機。身安無榮辱。况乃是與非。令人發深羡。歸歟披簑衣。其二草深舍前後。月明村東西。樵童負薪歸。野露濕芒鞋。遙知夕炊成。茅屋踈烟迷。門有候人犬。柵棲將雛鷄。隣叟來相過。濁醪聊復携。酩酊忘物我。禾黍評高低。鬢髮垂領白。不識京華蹊。田家差可樂。何必武陵溪。</text>
<title>曉起開窓。雲霧瀰滿。不辨山野。眞奇觀也。</title>,<text>孤村掩暎樹林間。淸曉柴扉尙未關。一色白雲籠大野。水南不見聖居山。聖居山。卽邑南之大山也。</text>
<title>雨中寓舍。偶得一絶。</title>,<text>勳業文章兩渺茫。暮年蹤跡落炎方。三間老屋孤燈下。卧聽丁丁雨滴床。</text>
<title>卽事</title>,<text>棗花欲結菜花香。牧笛聲中村晝長。滿地綠陰人自睡。蜻蜓飛點攤書床。</text>
<title>寓舍雜詠</title>,<text>浮萍合小沼。平舖綠毯凈。東風吹相蹙。山影生半鏡。其二娟娟紅茜萼。色暎踈籬間。村女摘盈手。擣成明月團。其三大男把犂耕。長婦携筐饁。少女無所爲。桑間捕蝴蝶。其四亭亭玉女峰。皎皎當窓牖。美人隔雲端。日暮延佇久。其五山色隨雲影。頃刻異陰晴。物態近人事。方知翻覆情。其六彩雲東北起。錯落鸞鳳形。其上眞人在。應吹紫玉笙。其七鋤歸野露濕。汲罷村烟迷。黃犢不知返。草中時一啼。其八長風屛纖翳。皎月當靑天。六根自淸凈。不待安心禪。</text>
<title>卽景</title>,<text>烟濕茅簷草繞籬。綠槐淸影滿方池。繭蛾自出無人見。饁婦歸來有犬隨。小檻凉生新雨後。遠山雲出夕陽時。啼禽驚罷連環夢。起傍庭花獨詠詩。</text>
<title>自詠</title>,<text>深夏柴門萬事慵。葛巾欹側鬢如蓬。新醪解作鵝兒色。塵事從他馬耳風。一榻詩書花影裡。數家燈火月明中。金華玉署渾閑夢。不待春婆喚長公。</text>
<title>稷山靈沼亭。恭和兩朝御製韻。</title>,<text>蓮子昨日投畫亭。今朝蓮葉露珠零。於戱聖祖存神化。天借芙蕖却善形。</text>
<title>歸途口占</title>,<text>畸人分合事耕桑。聖主恩深返故鄕。一色平疇三十里。東風騎馬稻花香。</text>
<title>九月十三日。誕日候班。命諸臣幷入侍。罷退後下御題。曰君臣同會一堂中。因命今日入侍諸文臣皆應製。</title>,<text>無彊遐福荷皇穹。壽考周王聖德隆。世措春㙜舒化日。天回令節届流虹。金門劒佩晨班集。玉殿風雲晝接同。大德得年騰祝華。太康爲戒屛呼嵩。方深聖孝終身慕。猶體廷臣愛日衷。鵠立簪紳仙漏靜。龍顔咫尺彩雲紅。家人禮簡羣工近。天地心交一氣通。彌月祥增南極耀。衆星環拱北辰崇。三朋頌溢都兪際。萬品歡均皷舞中。自幸微臣逢盛會。每年今日慶無窮。</text>
<title>元宵卧病。忽憶少年踏橋。宛如昨日事。兒輩皆出遊。無人相問。孤懷難聊。乃蒙金友稚五乘月來訪。一榻相對。兩鬢俱蒼。感可知也。追成近體三首。奉寄索和。庚寅</title>,<text>靑春上元夜。勇赴踏橋時。移步霜侵屐。隨身月似䂓。撫年心不老。吟病鬢知衰。笑語重門外。淸遊付小兒。其二一歲初圓月。新春最少年。聞鍾大道上。呼酒小橋邊。約束多朋友。歡娛有翰篇。佳辰今已老。勝事更無緣。其三剝啄深更後。慇懃故友來。踏街應少伴。乘月却知回。薄俗素絲變。深情靑眼開。淸遊不須遠。春意在牎梅。</text>
<title>蔡察訪 景洪 挽</title>,<text>月色平分上下家。柳陰相過角巾斜。淸緣更作殊方會。畫閣投壺間醉哦。其二騷人習氣隱眉紋。歷落高談帶酒醺。不欲將身班籍湜。東方誰是八家文。其三昔我嶠南乘使車。看君爲政大荒餘。桑麻百里春如畫。始識治民在讀書。其四送子湖郵歲月長。一樽重對竟茫茫。龍灣未了淸詩債。蒿里今成露薤章。</text>
<title>雨中差祭社稷壇</title>,<text>金闕陪香出。瑤壇薦苾明。爲農欽大祀。如在仰宸誠。庭暗無林影。簷虗有雨聲。微臣敢自惰。中夜整簪纓。</text>
<title>翌朝復祀乍晴</title>,<text>壇閉瓊沙凈。泉鳴石竇空。積陰初放日。踈樹欲生風。肅穆班心靜。虛明一氣通。蓬萊雲彩近。海屋祝無窮。</text>
<title>詶稚五江樓詩韻</title>,<text>氷簟銀床五月寒。甲第深居多達官。靑袍奔走太倉郞。日炙雨淋猶不閑。未能一第博卿相。漫有健筆追楊班。簡兮秉翟實自嘲。強道抱關吾猶歡。夜卧江樓高百尺。不禁奇氣靑霞干。萬里潮來水面濶。房心月出明團團。半夜疑有孤鶴過。高歌欲起潛龍盤。約束親朋文字飮。準擬淸遊水月間。天翁故與窮儒戱。放起風雨翻江瀾。物外一遊尙難諧。何况塵間行路艱。鷄虫得失無了時。鴟鼠功名復何關。紛紛兒戱不盈看。只合高卧凭虗欄。故交亦有雲溪客。蹩躠風塵久未還。曉來簪紱趁早仗。夢裡烟霞迷故山。南磵有魚佳可鱠。季鷹高風愧未攀。席帽未須歎潦倒。華轂適足增憂端。何當與子同携手。葛巾林下俱歡顔。</text>
<title>小集隣友家。拈香字。未賦而罷。翌夜月明無寐。追步昨韻。奉寄金侍郞會元 應淳。</title>,<text>車馬朝朝爲底忙。北牎閑意晩來長。入簾松韻眠初醒。滿檻槐陰鬢與蒼。積雨纔開今夜月。淸詩不負小樽香。翛然喚起鄕山興。家在雲溪溪水陽。</text>
