<title>曉坐次屛上韻 十四歲作○戊子</title>,<text>鷄聲處處起。曉色分遠樹。片月半銜城。春雲忽欲雨。</text>
<title>詠燈花 五首</title>,<text>夜夜新春入燭條。花開蘂結艶嬌嬈。化工不借和風力。妙象寧愁冷雪飄。那有凡芳紅百日。卽看瑞萼爛千宵。神占勝似觀梅訣。每驗明朝喜事招。別有春光出衆芳。花權炎帝借東皇。蠟油灌似曹溪水。火焰噓同太極陽。灼灼暈紅開石竹。團團剪紫吐秋棠。中宵不寐勤培漑。和氣氤氳滿我堂。日暮雲沉月未生。萬花皆暗獨分明。團圓疊出神靈意。點綴凝妝窈窕情。匣裏劒靑羞失色。風前浪白笑虛名。奇祥異彩眞無上。却勝仙芝產九莖。炷碧灺紅香暗牽。夜光書壁蘂珠聯。蒔栽培達非人力。蓓蕾英華摠化權。呼米呼錢方語俚。占晴占雨道書玄。葩經卉譜何須攷。肇錫嘉名瑞火蓮。香炷詩樽五夜通。風流自古號芙蓉。氣蒸畫壁雲搖紫。光纈紗籠靄映紅。異卉何須求海外。韶華不必訪城東。千秋結子應丹棗。可與安期上碧空。</text>
<title>次保卿詠梅花各體韻 六首</title>,<text>萬斛明珠綴。新頒海府儲。臨風香自淡。照雪色全虛。几席從君密。襟期不我疎。五更相對處。便欲忘塵居。一窓雪月香魂冷。扶疎不作婆娑影。春風那肯開塵陌。芳根端合種仙境。淸趣謾說處士湖。醉夢空傳神女嶺。綽約如見藐姑仙。使我胷中百慮省。不許蜂蝶紛窺掠。蘭閨妙娥守幽靜。一陽獨存羣陰天。四時花權與君秉。桂殿仙娥降世蹔。月華衣上凝寒淡。含來一點太和陽。掃却人間風雪暗。隔帷不見疎影。入室先聞淡香。閤裏一株獨暖。園中萬木皆霜。和心樽酒同醉。瑞色燈花共芳。已笑墻桃太艶。還嫌溪竹偏凉。月照梅花梅照月。空庭雪映交輝發。揭帷寒曉聽鳴鷄。初動潛陽一細髮。回文斗轉北而日南兮。嗟木落而草荒。顧玄冥之按節兮。塞山河以氷霜。猗梅樹之開花於此時兮。非發天地之閉房。護線陽而獨存兮。招靈仰於帝鄕。紛旣有此桃李之艶姿兮。又重之以松竹之剛腸。映玉壺而瑩澈兮。積內蘊而篤光。雪凝槎而輝增兮。月掛枝而影長。託深契於畫閤兮。作好伴於吟床。莫惜芳華之遲暮兮。披予襟而懷香。瞻谷駒之皎皎兮。咏露葭之蒼蒼。憐雨蘭之披靡兮。憎風絮之低昂。獨不隨時而變遷兮。羣陰莫浼其春妝。若高士之貞操兮。跡愈遯而名彰。咍韶光之隙駟兮。永百世之流芳。澹弗忮而弗求兮。焉用之而弗臧。仰昔賢之調羹兮。朕且待夫實黃。</text>
<title>仲父卜居石郊。新搆玉壺精舍。名其軒曰八淸。敬呈。三首</title>,<text>誅茅在空谷。高擧絶塵紛。疎牖留明月。虛簷宿白雲。溪山供几案。楡柳替藩垣。一室蕭然意。秋來自十分。右茅廬淸芒鞋白雲際。藜杖碧溪隈。植久悠悠意。行遲杳杳懷。寧尋要路去。好向遠山廻。幸作先生物。知非爾自佳。右杖屨淸庭除連曠野。軒檻對空山。雲出蒼蒼遠。烟生渺渺閑。朝紅鴈拖去。夕翠鶴挐還。變態無時盡。虛明在戶間。右山光野色淸</text>
<title>更呈七絶八首</title>,<text>東岡小屋暮年成。蓽戶茅簷世外情。惟許松風溪月入。玉壺精舍玉壺淸。右茅廬淸案有遺經盡日橫。一團天理卷中明。從來洙洛淵源遠。養得方塘半畝淸。右詩書淸不鼓長含太古聲。珠淵月出水雲生。泠泠時約泉流瀉。素軫朱絃一樣淸。右琴瑟淸扶來山夕聽蟬鳴。躡去溪宵步月明。牙笏霜靴眞可累。先生杖屨百年淸。右杖屨淸山居契活少經營。脫粟澄泉樂此生。始信簞瓢甘五鼎。箇中滋味別般淸。右飯疏飮水淸霏霏朝雨遠山晴。十里桑麻四野平。翠合蒼連浮上下。斜陽一抹入簾淸。右山光野色淸亹亹每從黃卷生。蘧蘧長逐白雲行。萬事悠然皆自得。弗諼眞樂澗槃淸。右笑語寤寐淸林泉樂事固難名。物物無塵養性情。不覺舞斯蹈斯在。一軒爭得八端淸。右手舞足蹈不勝淸</text>
<title>出石郊。拜仲父。</title>,<text>衆山環草屋。曠野掩柴扉。淸淨知仙近。林泉卜遯肥。羣鴉下田啄。孤鶴向雲飛。秋晩靑門路。蕭蕭匹馬歸。</text>
<title>拜呈藕堂足下浙江仙府 乙巳</title>,<text>杭州自古號仙官。詩酒江山兩得歡。鷲嶺高秋開墨壘。馬潮寒日鬬文瀾。心隨海月神交在。魂阻關雲夢會難。一扇都將千緖去。幾時能得故人看。</text>
<title>純甥 金履祜字仲純 示春風詩。次韻。</title>,<text>寒後吹消雪。亂餘如解兵。花心潛鼓動。草色暗噓生。振蟄蟲乘氣。和鳴鳥學聲。無爲自起息。南郭漫多評。</text>
<title>携權景好 襈，黃述翁 鍾五。出潭上。馬上口占。</title>,<text>東郭有餘興。西庄又共遊。殘花人眼着。芳草馬蹄留。溪雨生春水。峰雲指月樓。渾忘行近遠。相語屢回頭。</text>
<title>直廬雨餘偶題 時直桂坊</title>,<text>五月瓊林麗景饒。深深畫省坐宮僚。魚聽小雨衝荷葉。鶯喚新晴選柳條。惟有一書消永晝。徒然五斗負淸朝。胷中不許留塵事。赫日炎雲莫敢驕。</text>
<title>建除體。歎中原。</title>,<text>建虜正猖獗。中原久淪亡。除殘無眞主。胡運百年長。滿種皆鶱騰。華胄盡凄凉。平胡我有策。何由獻君王。定志方寸間。揚威萬里疆。執弓望旄頭。何日滅光芒。破若迎刃竹。掃如照日霜。危亡在頃刻。根基異漢唐。成籌無處試。欝欝老海鄕。收袗難復見。北望意蒼茫。開樽欲盪胷。還將酹神鋩。閉戶成一夢。上天訴瑤皇。</text>
<title>述懷。作數字體。</title>,<text>一生無所求。身安而心適。二疏臥蘭陵。暮年方知足。三更坐不寐。睠言懷古昔。四望絶塵喧。星河垂枕席。五帝不可攀。玄風今已邈。六經雖究討。所得惟糟粕。七字時謾吟。正聲人不識。八代文起衰。吏部頭空白。九折非畏途。惡浪作平陸。十載請息交。閉戶南山側。百花爛靑紫。衆鳥迭絲竹。千卷架上書。臥聽兒子讀。萬事皆不知。此中存眞樂。</text>
<title>倣谿谷體 二十二首</title>,<text>闔闢乾坤掌握中。四溟一吸小盃空。手挽八方登壽域。裁仁作被萬邦蒙。右大語鍼孔山河蝸角國。僬僥風擊蟻雷鳴。芥舟浮沒蹄涔海。市利毫絲性命爭。右小語魚游碧海鳥巢枝。善馬蒲輪造父馳。良妻孝子奉身處。聖主賢臣定治時。右安語春山夜夜子䂓鳴。長信秋風曉月明。岳飛身逐金牌入。賈誼恩疎玉玦行。右恨語蒼氷坂上轉銅輪。白玉盤中走水銀。垂垂兩脚琉璃瓦。一盒凝酥不着唇。右滑語劒鋩如鉅又苔封。生綠纖鍼大布縫。凍毫毛紙細楷寫。睡眼强開曉燭紅。右澀語無梯平步上晴旻。坐摘雲間井柳辰。陰消陽長無更變。富貴神仙兼一身。右難語天地洪爐點雪消。茸茸靑草長春朝。離婁洗眼看山岳。賁育同心打病樵。右易語翻波涇水混淤泥。趍走朱門白首低。麥醪帶粕村夫飮。塵漲東華大道迷。右濁語中秋天上玉輪圓。鶴唳瓊都桂樹前。太守歸程酌水餞。淵明啜菊北窓眠。右淸語混珍魚目亂苗莠。檜主和謀儀散從。偸眼嬌嚬妖女態。脅肩諂笑小人容。右憎語淸泉白石鏡中深。小閣梅開弄玉琴。端士誦詩無俗態。稚男學語欲成音。右愛語夏至之宵冬至日。風塵五季歷年圖。庸夫自運謀身策。禿尾蟹兼拳脛鳧。右短語江漢流波滚滚逝。赤黃日道橫天際。少年壯志計前程。積善餘慶傳萬世。右長語秋樹鳴蟬搏翼飛。冷風霜夜逼紗衣。命道昭君嫁胡去。宦情張翰憶鱸歸。右薄語父子之情兄弟愛。三千大地天高配。人間福力郭汾陽。九萬培風鵬翼載。右厚語天門車馬聽鐘鳴。燭盡三丁詩不成。錯了一生名利界。烏飛兎走兩相爭。右忙語老妻相對弄孫兒。竹枕蒲團坐臥宜。子陵垂釣圖南睡。臨水看山詠古詩。右閒語龍蟄盆池鶴繫籠。漢王燒棧入蠶叢。娼家少婦重閨鎖。志士英雄老巷窮。右欝語池魚一躍變神龍。騁望乾坤上岱宗。掃蕩胡塵旋唱凱。一朝天理豁然通。右快語雪後隋園萬樹花。西天佛國與仙家。勢利交情甘似蜜。氷山春日失嵳峨。右假語男耕女織各勤工。困睡飢餐自適中。靜坐讀書兼敎子。事親以孝事君忠。右眞語</text>
<title>庭鶴 丙午</title>,<text>碧海曾孤淚。朱門已鎩翎。謀粱入羅網。得食在階庭。凡鳥元同性。仙禽浪得名。飛鴻難作伴。高擧上靑冥。</text>
<title>雨後與兒子呼韻</title>,<text>南洲朝雨歇。北岸暮烟晴。波靜魚應樂。沙明鳥亦淸。村村漁火影。處處櫂歌聲。杳杳憑欄夢。傍人不識情。</text>
<title>大風夜作</title>,<text>狂風二月撼山川。驚浪翻江勢接天。寒逼晶宮氷欲合。老龍今夜不成眠。</text>
<title>呈伯氏</title>,<text>城南水北積離憂。十里官程也不脩。紫陌嘶雲天廐馬。白沙眠月漢洲鷗。榮光如此非初志。浪跡從今就宿謀。分付傍人休攪睡。夢中能得侍淸遊。</text>
<title>宜嬪輓章 六首○代家親作</title>,<text>芳質初承聖主恩。榮名懿德後庭尊。慶祥甲觀徵無地。萬事人間一夢翻。端陽哀淚白鬚滋。痛哭銅闈國勢危。耿耿須臾無死願。眞祥重覩日南時。天公荒老理乖常。纔半年間又降殃。玉碎香摧悲不暇。那堪酷禍說胎殤。至誠惓惓仰坤宮。淑德稀聞列女中。華衮宸章昭日月。忠言又復在臨終。妝臺寂寞掩寒帷。漏滴銀壺曉響悲。惟有上林殘月在。宮娥應廢小星詩。靈輀又逐鶴驂廻。雲引丹旌栗洞隈。千載相依冥漠裏。猶堪慰處最堪哀。</text>
<title>江曉 庚戌</title>,<text>偸閒百忙裏。輕棹逐流西。月逈秋波白。雲橫遠樹迷。欲隨汀鷺睡。嫌聽屋鷄啼。不覺江天冷。重衣謝瘦妻。</text>
<title>出南郊 辛亥</title>,<text>野色連靑草。峰陰半白雲。不知何處去。驢背夕陽分。</text>
<title>夜坐</title>,<text>到處隨緣也定棲。床頭小燭照靈犀。無風林鳥安心睡。早暖雲鴻得意啼。烟抹南山看一半。夜深更皷聽高低。此時正喜塵喧息。數卷殘書坐到鷄。</text>
<title>園幸後以特敎分揀罪名。感惶交極。偶成一律。</title>,<text>淺誠未格穹。帝不許南風。尺寸皆民力。絲毫豈我功。龍車欣穩度。鴻渥感偏蒙。敢藉華封語。瞻天祝聖躬。</text>
<title>次韻送金美中 絅行○壬子</title>,<text>十丈靑霞老不低。高歌白髮漢城西。滄溟曉氣通鷄唱。碧落霜風送鴈啼。寂寞酒盃今夜別。蕭條書笈幾年携。知君一去回頭苦。使我三時望眼迷。</text>
<title>先王考延諡日。特命賜樂宣醞。又使閣臣賷傳御製。敬賡。二首</title>,<text>奎章裁出鳳樓霞。滿紙龍光遍一家。化天雨露霑丹誥。仙樂聲中墨吐花。昔日兒孫當是時。恩榮感極淚從之。法樽拜挹南山色。玉殿銅闈萬壽宜。</text>
<title>次韻 二首</title>,<text>松桂叢深歲暮天。蕭蕭白髮有誰憐。靈芝古洞應三秀。明月今年已十圓。燈下老妻裁野服。床頭穉子課書編。優游此世多眞樂。名姓寧求俗口傳。板扉深掩少人過。滿院松陰夕照多。老鶴愛眠依恠石。羣鴉爭食啄寒沙。身遊紫陌紅塵否。夢入靑山綠水何。吏隱虛名眞可笑。白頭羞唱採芝歌。</text>
<title>次韻古木</title>,<text>枝頭日月楚靈同。一片春光笑洛東。託地蟠根應化石。橫空老榦自號風。能超不盡斤燒劫。偏受無邊雨露功。特立乾坤元氣積。猶看歲歲吐新叢。</text>
<title>用人名體。要金平仲 紹行 屬和。</title>,<text>李白桃紅片夢中。蕭蕭何處送秋鴻。山蘇秦谷永遊夜。霜杜周江淹客篷。鵬翼開張飛北海。龍鱗蟠屈到蒼穹。淸談王謝安邦否。誰是當年江左雄。</text>
<title>家親與松峴判書公 秀輔氏，泥峴判書公 良浩氏。俱入耆社。以一門三耆堂。世所罕有。三家輪日設宴。獻壽相慶。敬步席上韻。二首○癸丑</title>,<text>極南星彩爛盈門。靈閣聯題達德尊。三壽相酬情倂禮。九如同祝子仍孫。方知盛會承先廕。况復明時荷聖恩。願挹蓬壺千頃水。年年添作慶筵樽。次第三家設喜筵。台星卿月仰高年。勝遊洛社風流在。佳節蘭亭歲月傳。和氣盈樽斟玉液。歡聲竟日奏瑤絃。彩衣齊獻无疆壽。當戶南山舞袖邊。</text>
<title>癸丑三月癸丑。上御禁苑玉流川之曲水。朝臣參會者。符蘭亭修禊人之數。蓋識其年若月也。上集禊詩。締成二篇。仍命參會者隨所長各賦之。</title>,<text>聖上十七年。癸丑春之暮。鑾輿臨北苑。盛會千載遇。天心亦欣悅。是日降甘澍。膏澤浹萬物。喜氣籠千樹。悳風知時節。豐兆歡相喩。緬憶蘭亭會。右軍才獨步。淸談非王佐。風流安足數。休明幸今辰。聖化唐虞鑄。宸心重一遊。昭垂百世度。淸讌飾太平。羣彥集如霧。金閨多鉅工。詞垣紛高騖。妙選皆俊英。少長一席聚。愧乏授簡才。徒霑恩波注。猥隨六七列。怳惚登玄圃。地勢拱北極。松韻奏韶頀。蓬壺引曲水。衢樽溢淸酤。玉飯兼綺饌。恩分御厨具。呦呦蒼鹿音。翯翯白鳥羽。宛若靈臺下。物物得其趣。渢渢大雅篇。詞臣應解賦。旣醉而且飽。化天均雨露。鴻渥偏微軀。匪分良慚懼。拜手祝萬壽。蕪詞寸忱寓。</text>
<title>夜坐</title>,<text>密雲多雨意。入夜正漫漫。燭暗蟲飛亂。林深鳥夢安。隨緣知事少。任物覺懷寬。金馬非塵內。何須語棄官。</text>
<title>曉行</title>,<text>江上蒼茫曉色生。南郊十里雨新晴。洞深柳露團團滴。風靜溪星兀兀明。白髮靑袍忙底事。浮雲流水澹無情。此行全勝看花好。麥穗初黃萬畝平。</text>
<title>草花</title>,<text>野草無名花自開。紅黃交映客徘徊。不入山人詩句裏。空然埋沒一春回。</text>
<title>敬次淸潭壁上韻 二首</title>,<text>溪山眞面十年同。自媿居然白髮翁。㶁㶁灘聲奔石轉。蒼蒼霞影照潭空。塵喧斷絶重峰外。韻語分明細雨中。更向丹樓留素約。臥雲弄月樂無窮。石磴緣溪轉。盤廻九曲腸。筇鞋任來去。雲水各閒忙。林靜禽聲緩。山深夏日凉。悠然無俗物。坐石更呼觴。</text>
<title>樓中</title>,<text>一別雲樓今十載。偸閒共逐少年來。潭心雨落明珠轉。壁面花垂彩畫開。觸石飛泉空自怒。投林習鳥莫相猜。鹿門歸隱芳盟早。老婦知心野服裁。</text>
<title>潭遊</title>,<text>一出謝塵紛。三朝遊澗谷。雲濕危磴鞋。雨灑虛樓燭。早起相笑語。西峰射晴旭。瀑懸噴白雪。潭空涵碧玉。素石橫盤陀。蒼崖立森束。元氣何磅礴。玲瓏鬼斧斸。盡日無所思。流水忘榮辱。魚游窮妙玩。鳥翔聘遐矚。已憎張羅密。莫敎垂釣曲。山僧空色相。悠悠情相屬。少年三四人。狂奔探勝足。獨坐心自醉。不復斟酒綠。</text>
<title>明妃曲 二首</title>,<text>古來守正士。不與世媚嫵。八九騰簧舌。終身棄草莽。對鏡恨嬌艶。嬌艶禍自取。畫工猶不怨。况復聖明主。藐藐女子身。萬里作長城。中原休息久。邊庭氛祲淸。寧愁魚海辱。足當麟閣榮。孌彼漢宮女。幾人傳芳名。</text>
<title>禁苑賡韻 甲寅</title>,<text>壽域昇平象。昭回禁苑春。百花天上爛。羣品化中新。簪笏霑恩重。禽魚得性眞。千年叨此會。宮月頌重輪。</text>
<title>月夜納凉</title>,<text>鶴抱雲霄夢。魚忘湖海心。迎風依柳影。對月坐槐陰。窅窅天逾迥。蒼蒼夜正深。已成鹿門隱。不復求知音。</text>
<title>偶思次杜</title>,<text>永日平分在夢中。覺來長嘯望遙空。方塘端印三淸月。晩樹深含太古風。習靜每觀虛室白。厭煩常避軟塵紅。老妻頻問潭居約。巖桂樓前長幾叢。</text>
<title>解官</title>,<text>水閣淸香露濕荷。凉風皓月對高歌。無官始覺閒官苦。此夜吾身快活多。</text>
<title>小雨後</title>,<text>霏霏過雨洗炎塵。夜色池臺一倍新。星渡銀河寧用楫。雲推明月不停輪。蒼凉槐影偏宜夢。淡郁荷香最可人。涉海跨鸞還滚滚。神仙始覺在吾身。</text>
<title>西郊</title>,<text>西郊春過盡。朝日麥風凉。宿雨澄田水。新晴淨野芳。一身還信馬。萬事已亡羊。託跡宜隨處。何須物外藏。</text>
<title>雨夜</title>,<text>孤燈耿耿碧蹄村。風雨紛紛戶外喧。中天安得氷輪月。照破泥塗夜色昏。</text>
<title>還家夜作</title>,<text>更漏丁東百念生。窓間月色報新晴。曉來山帶雲痕濕。雨後星含水氣明。心逐西風過嶺樹。身依北斗到京城。一還一去情無限。惟有靑天照此誠。</text>
<title>禁苑賡韻 乙卯</title>,<text>融風化日映池臺。花氣成雲五色開。此席恩深春雨露。萬年斟上祝岡杯。</text>
<title>暮春吟。用金菱溪 洪運 帖中。次杜韻以寄。</title>,<text>羲馭駸駸不蹔住。雙鬢如霜眼如霧。池北小樓春又晩。花發墻角丁香樹。聞道東城及北陌。遊人雜遝來朝暮。携朋忙逐蜂蝶影。乘醉爭穿桃李路。人事年年客來新。春光歲歲花如故。幽居十載絶塵想。天心向我眞象露。白日欲暮倦睡餘。淸風吹月到前除。菱溪老人獨晩交。殷勤遠遺一卷書。文章高古詩語新。白首蹉跎意何如。</text>
<title>慈宮周甲誕辰賡韻</title>,<text>寶籌回瑞甲。瑤斗引金觴。和煦珠簾捲。祥雲錦幕張。初逢千古慶。齊唱萬年章。聖孝承天貺。歡聲遍四方。</text>
<title>送景陽丞族叔 樂安氏</title>,<text>咫尺朱門牘。羣邪膽欲寒。寸毫扶正氣。隻手障狂瀾。方感殊恩重。寧嫌小驛殘。天衢知不遠。翹首望歸鞍。</text>
<title>嚴僉知 瑢 輓 五首</title>,<text>八溪道士有仙風。蹤跡塵寰久混同。三十五年賓主好。那知今日倏成空。自我童年踰四十。與君同處五分三。襟懷坦率無纖芥。兩忘情形劇笑談。知君善飮飮長昏。到處逢迎酒一樽。月窟天根來往外。醉中別有一乾坤。看君胷海浩無潯。此世誰能測淺深。論交不復分淸濁。謔笑人間摠許心。平生不喜交權貴。每向公卿作傲容。燭龜先見人皆服。幾處朱門早絶蹤。</text>
<title>上親享大報壇後賡韻 代家親作○丙辰</title>,<text>齊明祼鬯我王親。圭帛惟將正朔春。百世壇高星斗拱。三皇恩重醴牲陳。風泉下國悲蕭黍。禮樂中州歎屨巾。浩唱榛苓如復見。六龍仙馭海東遵。</text>
<title>慈宮誕日。侍宴迎春軒。敬賡御製韻。</title>,<text>聖主稱觥壽母前。靑編從古罕斯筵。虹流慶倂重光日。齊祝天皇萬八年。</text>
<title>夏夜納凉</title>,<text>北窓淸罷睡。月到天中央。市陌塵喧息。園林爽氣長。皆知三晝熱。誰見五更凉。坐久轉佳境。新荷風送香。</text>
<title>聞蛙聲</title>,<text>蛙聲喧聒耳。達夜竟何爲。唉哉華林問。猶知有公私。嗟彼今世人。知一二未知。慾波蕩滔天。殺湍在幾時。獨立意茫茫。安得神禹治。</text>
<title>感懷 二首</title>,<text>秋風凉欲霜。秋天淨如拭。幽人夜未眠。彷徨復嘆息。緬憶康衢叟。井飮而田食。巢由苦其節。夔龍憂其職。如何烟月裏。含哺樂無極。我有數頃田。在彼漢水側。胡不歸去來。低垂籠中翼。少年不識務。一心在唐虞。事業懷稷契。文章擬詩書。筆下賓興說。紙上井田圖。日夜費揣摩。不嫌俗子迂。荏苒過半生。事事意不如。癡想猶不已。上書達玉除。歸來空自歎。白首方覺愚。從玆杜吾舌。守分任慵疎。怡顔上高堂。昕夕奉起居。紫荊春光好。湛和以友于。且不衣食憂。優游樂妻孥。憐彼嗷嗷氓。艱難切肌膚。耕夫皆餒色。織婦偏寒呼。何時解倒懸。溫飽同九區。</text>
<title>奉寄盧藥林 二首</title>,<text>我本東海客。君是中州彥。邂逅相逢地。燕趙千里甸。山川盡遼薊。于子窮殊眄。淸風灑玉樹。皎與月輪轉。從容方子宅。文酒憺淸讌。溫溫笑語親。犖犖肝膽見。西風吹鴻鵠。羽翮差後先。奈何碣石水。一逝如激箭。怱怱臨歧別。歲月倏已變。人生旣同時。何不共鄕縣。迢迢長路外。不知重會面。凉風西北至。天寒萬木霜。惻惻何所思。所思在遠方。手折黃花枝。欲贈無人將。引領不可見。蒼然熱中腸。茫茫隔山河。落落分參商。恨無摩雲翮。一擧度遼陽。</text>
<title>次兒輩詠雪韻</title>,<text>瀟灑光陰已暮年。西風吹雪泬㵳天。斜飛巧入疎簾裏。亂舞偏凝老石邊。虛映樓開琪樹圃。危憑身作玉京仙。雲收星出淸無限。猶待來宵皓月圓。</text>
<title>族叔 樂定氏 窮居驪湖。自號擺落戶。誦示所作詩。求和甚勤。謹次其韻以呈。</title>,<text>一樽不使一身孤。肯問簞瓢供早晡。誰除空庭袁子雪。但催窮戶董生租。達人豈有皺眉事。志士應無仰屋吁。醉後論心燕趙市。彈冠佗日見于于。</text>
<title>閤梅近臘不開</title>,<text>南陸陽旋近臘時。梅花處處報春奇。誰家煖閤開偏早。老樹寒窓發最遲。催來人力元無用。留待天機任自爲。寄與東皇頭點譜。會看瓊蘂滿芳枝。</text>
<title>述翁示詩軸。次韻以寄。丁巳</title>,<text>湖山淑氣筆端存。隔歲離情竟夕言。唯子半生空白髮。何人今日不朱門。詞林聲價非關勢。塵世榮枯摠沒痕。遙想梅溪棲息處。松扉重掩對芳樽。</text>
<title>丁巳元朝。家親年躋八耋。上特賜几杖及宴樂。國朝優老之盛典也。四月二十四日。祇受恩命。是日上親御集福外軒宣賜。前三日。元子亦於此軒。見師傅開講。公私之吉祥善事。並集於此堂矣。上遣翰苑之臣。頒降宸章。以寵侈宴席。而題及詩中並及之。拜手敬賡。以伸頌恩識慶之忱。</title>,<text>迎師優老一堂筵。錫福詒謨聖化宣。家國太平三五世。君親齊祝萬千年。需雲影重扶筇上。仙樂聲凝隱几邊。遙挹南山兒拜獻。瑤桃春色壽樽連。</text>
<title>陪家大人出鷗湖。是時受几杖解元輔。而聖諭有往來於鏡湖綠野之敎。伯氏次亭壁韻。以示欣幸之意。敬次。</title>,<text>此行非漫興。日月不虛徂。平地移三島。淸流接五湖。香山翁有宅。綠野酒餘壺。筇几江山靜。君恩幸不孤。</text>
<title>僑居南巷</title>,<text>細雨坊南掩板扉。黃梅新熟石榴肥。詩書正好過眸見。棋局何妨信手圍。世事紛紜時到定。主人病懶客來稀。老妻惟識卿卿意。尙厭閒官勸賦歸。</text>
<title>鷗湖高秋。次杜陵秋興韻。二首</title>,<text>八月霜風響四林。江天秋色正蕭森。平沙歷歷宣陵北。高閣峩峩漢水陰。鷗鷺逢迎舊遊面。魚龍解識主人心。可憐洲渚障瀾石。空作尋常浣女砧。漢水東來勢演迤。吾家亭子壓南陂。岸頭鳥護丹楓葉。潭面龍猜碧檜枝。水色山光今古在。雲容霞態暮朝移。一絲不斷桐江釣。何必三千六百垂。</text>
<title>次仲兒閤梅韻</title>,<text>子夜潛陽動。春回一樹妝。寒葩雪侵戶。疎影月橫床。色相時通夢。衣巾半濕香。相看孤燭外。虛室自生光。</text>
<title>夙夢亭漫吟 二首○戊午</title>,<text>江中泛泛一扁舟。江上峩峩百尺樓。歸來莫惜庭花落。滿地芳陰十里洲。蒲帆一幅掛西風。擊汰歌聲漢水東。雨足浦田新麥綠。春殘林薄晩花紅。人生好向滄洲老。世事全歸造化空。窅窅詩情何處極。廣陵山在夕陽中。</text>
<title>秋夜偶成</title>,<text>草閣深深池上開。朝霞夕月共徘徊。詩篇碁局風流在。蟲語蟬聲歲月催。萬事皆從捱過去。一生都任方便來。園中櫟木千年老。始識神仙亦不材。</text>
<title>拈杜韻 三首</title>,<text>風逈纖雲淨。天高列宿張。淸歌迷漢艇。幽夢繞溪堂。鴈唳知秋早。蟲聲到曉長。故人思不見。此夜更難忘。古人今不見。誰復得長生。白象元無迹。靑牛已斷聲。儀容三禮備。心法六經明。天地洋洋在。儒林卽五城。淡靄依依合。晴烟冉冉生。深林交鳥道。高閣集蟬聲。目力隨雲遠。顚毛照水明。坐久斜陽盡。因看月上城。</text>
<title>九日和陶</title>,<text>西風吹落木。寒意日以生。重陽今朝至。自古令節名。堦螿吟霜苦。籬菊照眼明。萬籟發虛空。颯颯皆秋聲。書齋罕塵事。對此感暮齡。無詩那遣興。有酒不願傾。白頭無所求。辭辱因辭榮。詩書在案上。空懷千古情。借問有志士。何時事竟成。</text>
<title>秋夜</title>,<text>獨立秋天意氣豪。鴈橫雲際鶴鳴臯。樓臺虛白霜華重。星斗搖明月浪高。多少閒談聽老婦。縱橫惡臥見兒曹。已知野服曾裁孟。更有新詩欲和陶。</text>
<title>家親在江亭日。上特遣近侍之臣賜詩。因問起居。恩榮曠絶今古。謹賡。</title>,<text>紫鳳飛來淸漢頭。丹綸重敍洛龜疇。江山輝映榮光夜。魚鳥歡欣化囿秋。千頃滄波添壽酒。萬年雲漢倬高樓。天長地久無窮願。北望呼嵩綵服遊。</text>
