<title>晩晴</title>,<text>疎雨下山足。輕飈行磵林。鳥遷高樹囀。人倚小樓吟。</text>
<title>夢見元子建 斗杓。覺後。吟成三首。</title>,<text>面目元相隔。音書近更遲。無端一枕夢。添起六年思。反側仍長歎。推衾坐復思。淸光今夜月。萬里隔襟期。見面唯憑夢。寬愁賴有詩。人間多少恨。太半爲分離。</text>
<title>贈煕上人</title>,<text>煕師每說金剛勝。淸夜燈前好卻眠。若爲超此籠身網。共爾翩翩萬二千。</text>
<title>臘月</title>,<text>今年臘月又強半。來歲吾生齒復添。處世光陰誰不惜。逢春雨露獨難沾。殘形憔悴人皆醜。壯志摧頹病更兼。賴有孤窩幽且靜。卽舒雙膝下重簾。</text>
<title>自普賢。移棲文殊。</title>,<text>松濤谿壑元來遍。落月如何又屋楣。鄕思關心殊未寐。不妨收取供新詩。</text>
<title>山寺記事</title>,<text>年年負笈此棲遲。十許居僧半舊知。逢迎問答渾無恙。囱下蒲團宛昔時。</text>
<title>山行</title>,<text>樹密溪聲穩。山高路勢微。風來凉颯颯。雲過雨霏霏。爲眼身何倦。探奇腳可遲。塵氛稍覺遠。矯首一吟詩。</text>
<title>山雲</title>,<text>世亂全無一物安。空山唯爾白雲閒。無心舒卷變朝暮。有態縱橫粧壑巒。祇是歸僧微逕失。幾時龍起彩雲攀。春來萬姓西疇望。努力毋令雨露乾。</text>
<title>自廣德山。投徐秀夫 挺然 家。呼韻 二首。</title>,<text>久客山中盤饌惡。君家鷄首爲余烹。高歌一曲月將出。濁醑三杯風更淸。世事紛紛閒是好。浮生冄冄歎何成。西垣鼙鼔胡塵暗。莫惜輸情到曉明。手把藜筇出白雲。園林殘雪暮投君。山城歲晏風煙淡。野市人空鳥雀羣。摻手已知身免恙。呼兒且供酒盈罇。良宵如海燈膏足。二滿三平合細論。</text>
<title>大風</title>,<text>天地緣何心不平。哮哮𠷺𠷺以風鳴。塵䨪漠漠乘新勢。日月昏昏失舊明。掣破衣裳行者凍。偃驅林木鳥羣驚。周公未位成王宰。重譯何邦獻羽祥。</text>
<title>出塞</title>,<text>聞道腥塵漲塞邊。中州發卒枉騷然。妻兒父母哭相送。消息死生那得傳。草白寒沙風自怒。雲屯古戍月空懸。君王旣是事珠玉。何使吾民勞苦偏。</text>
<title>立春</title>,<text>春歸天地福歸親。此日歡欣物我均。林變鳥音人客罕。小庭風暖伏纖塵。</text>
<title>卽事 二首</title>,<text>新春晝睡穩依俙。和夢吟詩覺自疑。門掩小庭間寂寂。日含千樹謾暉暉。園林託契身常逸。藥餌隨宜病可支。吾 二字缺 來方寸靜。風塵有底是爭非。命運環復自有期。昔年寸心今已違。柰何世路行多險。歎息吾生數更奇。對酒難添無限興。迎新還覺有餘悲。明朝二十八將至。三萬六千日幾時。</text>
<title>春興 三首</title>,<text>白日靑春淨。遊絲滿眼輕。新輝添柳細。殘雪倚山明。屋靜藏身穩。詩吟繹意淸。小囱仍炙背。偏憶洛陽城。歲去愁兼去。春新興更新。瓦罇元有酒。蓬鬢自敧巾。雨露滋羣息。乾坤貯一身。醉歌無和者。盤坐藉荊薪。自適端居興。閒成半日吟。景昭寒氣斂。冰解澗聲深。酒實罇生色。風和病不侵。全然無俗累。期此百年心。</text>
<title>卽事 二首</title>,<text>山聳留餘照。村虛急晩砧。林煙凝欲宿。栖鳥定無音。懶過朋知少。地偏門巷深。扶藜愁悄悄。搔首苦長吟。雪消風暖釀春光。岸有新梅隰有楊。獨鳥去邊煙正碧。片雲浮處日初黃。羣川畫野渾同向。萬落依山各異坊。吟望此時無所賴。敎兒命酒稱深觴。</text>
<title>燒田 二首</title>,<text>今夕支爲亥。焚燒習俗成。方圓隨野勢。隱見占山形。煙漲星辰暗。光騰宇宙明。害除嘉穀穰。預遣築秋塲。昨日亥燒今日子。長坤煙起蒸玄雲。咸陽三月非親覿。赤壁千艘空所聞。逐草隨風微復烈。跨山絶澗合還分。祇令觀望此時壯。深窟由來難及熏。</text>
<title>飮酒</title>,<text>儀狄創其智。地泉天象星。壺觴感君意。賢聖託吾生。醉眼乾坤小。狂歌鳥獸驚。本忘身在世。何處是愁城。</text>
<title>謾吟</title>,<text>山腰斗屋俯平郊。日日開囱坐自高。路外晴川朝岸底。雪中墟落見林梢。長空杳杳鵬程廓。亂樹陰陰虎穴牢。惆悵此生匏一繫。十年雄劒但藏鞘。</text>
<title>戲贈射所諸友</title>,<text>支左屈右數亦難。正己後發德可觀。諸公徒知善爲謔。本我不往添其間。三矢破的人皆服。百步穿葉誰能班。早晩揮鞭當一造。烏號如月爲君彎。</text>
<title>道中述懷</title>,<text>早發偏甘馬上眠。覺來春日欲西懸。波光隱見搖平野。山色參差襯遠天。此路七年嗟已老。吾生一世可堪憐。潛推天理杳難識。且放高歌雙聳肩。</text>
<title>詠懷</title>,<text>日月催吾老。浮生固幾時。辛酸曾已飽。安樂竟無期。斗屋蒼天下。荒城細路歧。由來經七載。龜縮畏人知。</text>
<title>道中作</title>,<text>天壓峯頭縮。雲低雨氣陰。短僮催去路。羸馬倦歸心。渡水寒沙淨。經村煙樹深。本知家不遠。肯怕日西沈。</text>
<title>幽居述懷</title>,<text>貧居乏人力。籬落依山林。門靜斜陽裏。庭幽春鳥吟。芳罇扶老病。短髮賴巾簪。異代陶元亮。平生同我襟。</text>
<title>有感</title>,<text>山村落日淡煙橫。正倚孤松意不平。天地卽今施雨露。陰陽從此業生成。自同籠鶴摧摧閉。每羨閒雲泛泛行。從古世途多梗塞。幾人齎志竟無名。</text>
<title>道中卽景</title>,<text>春風匹馬度斜陽。野水橋崩石作梁。飛鷺浴鳧俱泛泛。渚蒲汀柳共蒼蒼。天長海外孤峯出。地起沙頭亂帆藏。乘興杳然吟更望。月明歸路不須忙。</text>
<title>郊居</title>,<text>泥愁忽忽自難持。步出郊園春日遲。溪語釋冰瓊戛戛。岸容舒柳綠絲絲。探囊好閱前時句。括舌還吟卽景詩。何處白帘新酒熟。葛巾頭上可堪釃。</text>
<title>琴鄭菴</title>,<text>登登石路細如繩。寺在巖巒第一層。囱壓半天臨日沒。棟浮陰壑領雲興。香煙裊裊金神儼。淸磬微微松韻承。虛殿夜深魂骨冷。嗒然無語對殘僧。</text>
<title>幽居謾吟</title>,<text>端居突兀據山岡。面面諸峯拱小堂。斜日半天紅蕩漾。夕嵐平野綠微茫。風光本不遺貧病。花柳元來繞屋牆。松戶竹牀深寂寂。可堪高臥夢羲皇。</text>
<title>懷秋</title>,<text>王 缺 流水去難廻。底事秋風歲歲來。荒葉小園隳颯颯。亂螢虛閣入回回。斑斑錦袖年年血。悄悄羅帷夜夜懷。牛足不圓君不到。玉階零露長莓苔。</text>
<title>晨雨</title>,<text>冥冥晨雨入春光。雜霧交風細細凉。珠結岸梅香泂泂。色添溪柳暗蒼蒼。巢邊立鶴毛新刷。野外歸僧足自忙。天地發生今日始。草堂佳氣滿雙眶。</text>
<title>小雨</title>,<text>小雨闇闇灑。隨風不自持。葉邊纔有響。衣上細難知。暫鎖林煙重。還霑野逕微。襄王今已遠。神女謾依俙。</text>
<title>高飮</title>,<text>雨日開高飮。令人憶魏斯。風流千載仰。談笑此時宜。醉面當風𥂖。酣歌覺晝遲。百年空冄冄。捨是將何爲。</text>
<title>春雨</title>,<text>春雨神靈喑。籠山復壓郊。鴻歸迷似去。村近暝如遙。爽氣浮蒼栢。虛聲獵白茅。眼邊多逸興。突兀坐淸朝。</text>
<title>梅花 二首</title>,<text>白玉雕成細。天公別有工。夢堪誇弱柳。香亦卻遊蜂。最可參橫後。何須月下逢。芙蓉生自晩。只解怨東風。竹外添新色。囱前見美人。開罇香襯酒。對局影侵巾。鳥拂輕梢亂。風來玉蘂繽。終應貢靑子。調鼎賜羣臣。</text>
<title>春眠</title>,<text>斗屋春陽暖。昏昏睡味深。鳥聲耳外細。文字眼中陰。蕩漾神將蝶。低垂口入襟。莊周亦多事。物化浪推尋。</text>
<title>道中作</title>,<text>泥途滑滑馬蹄艱。按轡揮鞭手不閒。目逐去雲常北望。身隨流水每西還。蕭蕭獨鶴巢深樹。片片羣鷗集淺灣。凡物有生渾自放。此生緣底世相關。</text>
<title>道中偶吟</title>,<text>歧路回回西復東。誰敎阮籍哭途竆。樵蘇斷麓多童稺。砧杵孤村耦老翁。歸鳥去雲低落日。渚蘋洲荻起斜風。長吟半世知何事。一片乾坤俯仰中。</text>
<title>春日詠懷</title>,<text>初春霜氣尙威稜。炙背欣迎朝日承。冰解水深魚侮網。火燒原兀兎愁鷹。乾坤已老吾生晩。書劒無成奇數仍。南去北來殊未已。髀消非爲據鞍能。</text>
<title>詩律</title>,<text>詩律非關事。雕蟲不足稱。自然心可愛。時復興堪乘。馬上句多得。枕邊吟每能。寥寥杜陵後。千載更誰承。</text>
<title>喜雨 二首</title>,<text>漠漠雲招族。冥冥龍奏功。漸看天近地。更聽樹鳴風。旱久須蒙澤。西成本自東。定知深夜後。高枕雨聲中。漠漠晨光內。濛濛元氣中。傍林偏著柳。入戶細隨風。羣喜應田父。孤吟有此翁。皇天無棄物。仁澤及魚蟲。</text>
<title>謝客</title>,<text>陋巷卽邀高駕枉。淸齋置酒當春寒。談諧主客襟期合。拜跪杯觴禮數寬。祇愧山家無別味。不妨佳節破愁顔。斜陽漸漸林煙外。缺月看看雲海間。</text>
<title>戲次金天支 柱旻 壁上韻</title>,<text>君家白業世傳修。自占林泉蘊一丘。高義儻能令客醉。願言從此數追遊。</text>
<title>又用前韻。詠怪石。</title>,<text>雲根一片巧雕修。苔蘚雙松宛小丘。靜中自與神心會。誰倩龍眠辦臥遊。</text>
<title>落日</title>,<text>落日照江水。輪囷臥玉龍。仙人去不返。琴韻留風松。</text>
<title>登樓</title>,<text>半世聞名飽。春風此日臨。江淸沙更白。臺兀樹仍林。眺望乾坤濶。徘徊歲月深。滔滔自不盡。鷗鳥謾浮沈。</text>
<title>舟中作</title>,<text>山氣先埋日。江光早受春。從容魚傍穴。出沒鳥欺人。擊楫思弘濟。臨風想問津。流波牽去目。直北正傷神。</text>
<title>看山</title>,<text>朝日雲霞外。層巒簇半空。依然何處是。曾見畫圖中。</text>
<title>寄贈諸友</title>,<text>蘇仙赤壁今千古。壬戌孟秋知幾重。不意諸公諳好事。可憐多病未堪從。風淸露白月初出。歌怨簫悲罇欲空。祇是坐馳心浩蕩。願得雙目託吾東。</text>
<title>幽居遣懷</title>,<text>鋤草開園逕。除林拓野望。風來宜岸幘。日轉可移牀。天地行秋令。村墟納晩凉。恒飢但撫腹。弱女最憐傷。</text>
<title>籠鴈</title>,<text>籠中一鴈羽毛摧。飮啄須人頓碧苔。昨夜秋風天宇濶。晩星殘月數聲哀。</text>
<title>題獨樂亭</title>,<text>江山逝峙誰知樂。獨樂亭顔也有因。勝界由來吾所占。浮名元是實之賓。罇前白月偏憐病。檻外淸風不棄貧。此去乘槎天可上。翩然直欲遡流銀。</text>
<title>感秋</title>,<text>淸秋斗屋曉凉侵。露濕栖螢月欲沈。千里故園唯入夢。十年枯恨每關心。天高北極星辰拱。地近南溟瘴霧深。從古聖賢多怫鬱。匣中雄劒但龍吟。</text>
<title>秋霖</title>,<text>天地何淫溢。秋霖不肯晴。草花壞晩色。園果落新靑。屋漏衣皆濕。燈陰火暫明。百憂殊未已。遙夜自亭亭。</text>
<title>斗屋</title>,<text>斗屋春囱小。當南盡日明。支頤宜穩睡。拭目更看經。靜味此中有。浮名何處營。條風蕩芳氣。淅淅灑襟淸。</text>
<title>忽忽</title>,<text>忽忽愁無賴。孤吟倚小屛。誰知天宇濶。可柰一身輕。今古茫茫裏。英雄箇箇名。偏驚節序換。鳥語又春聲。</text>
<title>夜坐</title>,<text>沈沈夜雨著梧桐。獨坐更分聽遠鴻。天地不憐吾老病。古今傳說幾英雄。南山文豹猶藏霧。北海騫鵬未遇風。八尺之身三尺劒。秋深斗屋恨無竆。</text>
<title>道中吟</title>,<text>苦事征行最。嚴風十月天。病奴頻見日。羸馬不驚鞭。入谷偏多石。登郊更涉川。暮來何處宿。那得主人賢。</text>
<title>悲秋</title>,<text>曉屋生秋氣。寒衾覺已輕。鳴螿羣似怨。眠鶴獨無聲。露滴庭槐立。天高落月傾。悄然多意緖。臥看數星明。</text>
<title>新晴</title>,<text>久雨新晴天出月。風生林壑小堂凉。夜到三更獨不寐。拔看匣劒凝秋霜。</text>
<title>邀友看梅</title>,<text>沒是消魂有別離。男兒於此不曾悲。前溪一樹梅將發。罇酒談諧可近期。</text>
<title>坐石</title>,<text>晞髮坐溪石。山紅日西夕。飄飄欲遠飛。擧手望歸鶴。</text>
<title>喜雪</title>,<text>吾聞雪者穀之精。盈尺由來占歲成。孟仲兩冬風但怒。丙丁連日瑞初呈。千林力弱頭絲重。萬落寒深酒力輕。聊上北臺馳遠目。長坤直是水精明。</text>
<title>車嶺木柵</title>,<text>周遭木柵險於城。檢察奇謀鬼所成。驕虜但聞前不敢。男兒到此足垂名。</text>
<title>別恨</title>,<text>大酒難堪別恨驕。南雲漠漠路迢迢。流年坐見天光老。雨雪行看草浦潮。處世奇謀雖爵位。全生上策是漁樵。吾頭已掉君無挽。他日經過問寂寥。</text>
<title>春夜吟</title>,<text>客睡愁仍罷。春宵亦復長。繞山風攪樹。入戶月尋牀。筋力吾將老。艱危國不遑。平生多少意。一嘯轉荒凉。</text>
<title>良宵</title>,<text>良宵如海酒如泉。更有凝歌錦瑟邊。明日亂山關路遠。驛樓何處獨愁眠。</text>
<title>自憐</title>,<text>洶洶何時定。棲棲惜此身。祇知增命困。休道孰人仁。路出湖山遠。愁看花柳新。誰將一點水。熄此火頭塵。</text>
<title>無題</title>,<text>蕙蘭爲質玉爲顔。白紵輕衫意態閒。蓬島宿緣猶未盡。碧天秋月共憑欄。</text>
<title>次韻 三首</title>,<text>從來相應固聲同。柰此求齊瑟不工。白首龍鍾多病裏。靑春潦倒亂愁中。憐君作句聊寬恨。愧我無文可送竆。事業豈須名利得。樂天知命亦豪雄。欲行誰肯我車同。山有狐狸水射工。從古人生駒隙裏。卽今時事杞憂中。可憐景物當春好。堪笑猖狂哭道竆。安得杏花無限酒。對斟深淺角雌雄。時一作世。男兒行己古今同。竆不爲愚達豈工。楚璧始知三刖後。鳳章誰識九苞中。年光冄冄終難駐。天意茫茫未易竆。斗屋小囱春日永。謾開靑史點英雄。</text>
<title>次韻 二首</title>,<text>端居垢面首飛蓬。莫怪都非舊日容。向我出心談且盡。得君開口笑難逢。平生書劒知何事。半世棲遑成老翁。節物眼前春欲暮。酒家隨處杏花紅。紛紛一世盡蕭蓬。固爾孤蘭不自容。耕鑿每乏堂親養。漁釣無心聖主逢。庭草抽生排俗跡。林花開滿向詩翁。箇中樂趣何多少。誰走風塵拖紫紅。</text>
<title>贈別元子建按節嶺南 二首</title>,<text>按節嶺南去。國憂時正多。爲官無內外。辦職在如何。地接扶桑近。山連對馬峨。公餘儻有得。幸寄錦囊過。歲暮風霜切。煌煌使節行。前期知有在。此別耐爲情。塵世喧囂足。靑天烏兎更。男兒頭盡白。對酒且相傾。</text>
<title>次贈蔡用九</title>,<text>玉在昆丘蘊自奇。長裾趨走不曾宜。林泉放跡有餘樂。詩酒閒情誰得知。人世百年方始壯。鵬程六月未爲遲。何當一識荊州面。瀉倒從來願見思。</text>
<title>贈別沈察訪汝弘 綽 赴松羅</title>,<text>聞說南州驛。松羅最勝區。淸秋擎大蓋。長路策驊騮。竹屋廚甁淨。梅樓几席幽。仍兼公事少。猶領海東遊。</text>
<title>屋小</title>,<text>屋小宜山麓。簷虛可月輝。水雲秋正老。霜露鴈高飛。氣吐壯夫劒。寒生遊子衣。棲遑定吾道。身世任相違。</text>
<title>次鄭釋之韻</title>,<text>愚拙平生者。悠悠事鑿耕。那知縲絏戹。終逐轉移生。齒舌應難免。心期勉更貞。林泉有餘地。麋鹿託幽盟。附原韻世味今知熟。行藏畢耦耕。道隨人漸去。名與謗俱生。白日高能燭。丹心困益貞。靑山獨古意。歲晩不渝盟。</text>
<title>次沈丈韻 二首</title>,<text>顧我迷歸路。憑君問指南。因非亦因是。無喜復無慙。不解名塲好。猶耽靜味甘。相看心莫逆。寒月印淸潭。井蛙誇接腋。斥鷃笑圖南。自古吾從好。乃今君豈慙。名塲頭已掉。林壑興應甘。別意問何許。桃花千尺潭。</text>
<title>贈人</title>,<text>每到人家好。尋常怪此生。入深誰苦挽。垂老尙無成。列峀擎天靜。回川護野平。陶然耕復鑿。淸福孰君爭。</text>
<title>待元子建不遇留詩以贈</title>,<text>建節湖南伯。知將此路由。我忙難坐待。君過幸書留。鷄犬一千里。魚鹽三十州。安危邦國本。努力體分憂。</text>
<title>贈金生九里 潤河</title>,<text>丈夫交契古猶今。不在談言不在金。九里有心吾得忖。爲君重理斷絃琴。</text>
<title>紀行</title>,<text>跨馬曉星暗。投村朝旭明。山中羣動靜。溪上雙松靑。暫假曲肱睡。聊寬行路情。片雲何處至。飛雨打顔驚。</text>
<title>挽</title>,<text>優老官資聖渥新。滿前蘭玉更振振。百年乘化時平日。壽福如公有幾人。</text>
<title>挽</title>,<text>南天昨夜壽星隳。鄕黨今無一老遺。怊悵三山寒月曉。數聲哀挽不勝悲。</text>
<title>次贈權以一醉醒堂</title>,<text>翁自適窩窩適翁。只堪誇詑此村中。歲惡則醒豐得醉。於劉於屈不同風。</text>
<title>寄李晉州道章 昭漢</title>,<text>不速完山會。雖然豈偶然。文章江鮑後。風彩謝王前。亂舞誰能數。高歌亦和傳。卽今成往事。離恨強來牽。</text>
<title>卽事</title>,<text>春雨細濛濛。輕寒襲茅屋。池中魚出跳。庭畔花全濕。獨坐看雲生。童來報飯熟。偶然賦卽事。聊自慰寂寞。</text>
<title>春日道中作</title>,<text>綠漲紅繁欲暮春。風光和暖正宜人。吟鞭處處探詩句。直是枯膓愧未新。</text>
<title>春帖</title>,<text>天地三陽動。吾家萬福臻。親年山幷壽。兒學日俱新。道泰何憂國。年豐更築囷。自無斯外望。高臥樂餘春。</text>
<title>偶次杜工部韻 二首</title>,<text>谷口風初定。溪邊日欲斜。檢書心不愜。攜杖步還賖。石古憐斑蘚。林幽愛晩花。堪乘一夕興。能得慰無家。寂寞文殊洞。穿雲小逕斜。不嫌人客罕。惟喜俗緣賖。蜀魄聞淸晝。松陰落水花。何須懷故土。卽此久爲家。</text>
<title>題兜率寺</title>,<text>巖聳千尋寺在巓。淸秋丹碧煥中天。緣崖疊石路纔轉。剖竹懸繩泉始傳。信宿欲歸心惓惓。題詩留壁思娟娟。竆冬雪裏應重到。坐對簷前白玉蓮。</text>
<title>題天登寺</title>,<text>來棲兜率愛巖巒。移入天登眼孔寬。如覺道中身是幻。從知天下海爲瀾。囱前齊魯虛無裏。空外蓬𤅀指點間。不語倚欄愁緖起。亂蟬深樹夕陽殘。</text>
<title>又 五首</title>,<text>樓迥臨滄海。山高受遠風。倚欄時欲睡。邀釋或談空。行役長愁裏。寬閒暫此中。肩輿明日去。羞別綠蘿叢。高枕中天寺。閒開半日襟。氣蒸滄海黑。風起老龍吟。宇宙寬如許。光陰苦自侵。乘槎吾欲去。仙侶可招尋。結搆依巖小。丹靑出地危。坐看飛鳥背。行逐過雲垂。益覺人寰窄。幾爲海若嗤。沈吟亦何事。含口獨移時。南國炎霖久。陰晴互不容。有時銀一海。頃刻墨千峯。薄俗宜相比。新詩亦可供。誰能執長箒。淨掃寂無蹤。雨過千峯看亦好。雲開海濶起銀波。淸秋八月客多思。於此不吟復柰何。</text>
<title>遣懷</title>,<text>飄零喪亂後。無地結爲家。幾時滄海變。隨處種桑麻。</text>
<title>題浮屠菴</title>,<text>蘭若數椽小。而多金碧輝。秋泉飛響冷。老樹落陰稀。暫借蒲團睡。還牽俗累歸。煙霞解惜別。故故作霏微。</text>
<title>贈處行</title>,<text>我自天登來。爾從三聖至。重開昨日襟。共浴禪源水。</text>
<title>贈戒倫 二首</title>,<text>從我上山來。辭我下山去。秋風一衲衣。飄忽孤雲翥。爾是無蹤僧。我是無家客。無蹤與無家。何處重相覿。</text>
<title>無題</title>,<text>大明天下無家客。太白山中有髮僧。</text>
<title>題鴈鵲畫屛</title>,<text>六鵲連翩㨾不如。雙鴻對叫淸煙虛。儻非星漢成橋後。應是關河傳信初。</text>
<title>幽居</title>,<text>屋下淸流屋上林。幽居不必武陵深。香聞坐榻巖花落。冷透眠牀磵樹陰。楓岸日斜山衣錦。石泉冰咽水鳴琴。四時佳景長如此。身在人間物外心。</text>
<title>次周愼齋 世鵬 白雲洞景濂亭韻</title>,<text>天地瘡痍日。猶聞絃誦聲。溪山白雲洞。風月景濂亭。</text>
<title>次元子建韻</title>,<text>燕處華堂不畏焚。豹藏南谷負奇文。功名有道君應識。出處無常我所聞。湖外故都逢早雪。眼中殘照起層雲。空庭鳥雀緣何事。爭噪高枝亂自羣。</text>
<title>春睡</title>,<text>洞裏春還草似煙。柴門深掩水聲邊。日高始起心猶懶。更倚風囱做小眠。</text>
<title>無題</title>,<text>羯虜衝東國。孤城一日羞。謀臣雖失計。聖主豈忘讎。有淚人間世。無憂波上鷗。羣飛復羣集。淸影自悠悠。</text>
<title>留別林實之 㙐 昆季</title>,<text>下馬臨橋惜去留。二君西去我東遊。回首普光行樂處。亂雲殘雪閉山樓。</text>
<title>秋夜</title>,<text>霜天月冷曉山空。栖鵲驚呼木落風。家在白城身鳳峽。故園秋事夢魂中。</text>
<title>雨後</title>,<text>雨洗秋山日影新。綠苔紅葉無纖塵。孤客此時意暫適。杖藜佇立淸溪濱。</text>
<title>讀靖節集有感</title>,<text>閒中一部淵明集。每讀偏傷乞食詩。不肯折腰元自立。如何著此歎恒飢。資身無策誰能侮。處世全生是可師。萬古男兒一二數。獨於夫子重嗟咨。</text>
<title>詠淸溪</title>,<text>三月煙花小洞幽。獨憐溪水淨如油。慇懃直去東朝海。莫作塵寰濯穢溝。</text>
<title>題木枕</title>,<text>春靜山囱白日長。好憑高枕到羲皇。蘧蘧自喩躋仁壽。忘卻衣冠變犬羊。</text>
<title>除夕</title>,<text>忽忽歲將改。光陰忙逝川。人間頹暮景。世事入胡天。擧足且安適。低頭空自憐。稺兒苦解餒。索飯強來牽。</text>
<title>雨後。赴朴晦而 敦。</title>,<text>小雨過秋山。餘珠草頭結。爲赴南村邀。褰衣杖輕策。</text>
<title>別後。寄元子建。</title>,<text>問訊南州伯。邇來安穩不。融融嶺外會。忽忽夢中遊。關路春泥滑。湖雲落日浮。鄕愁兼別恨。吟望只搔頭。</text>
<title>送二子赴遠販物</title>,<text>亂雪乾坤塞。新陽不自稠。往啗千里苦。留辦百重愁。世事何須說。吾生亦足羞。從來敎禮義。此去利全求。</text>
<title>赤城寺。次僧詩軸韻。</title>,<text>蘭若赤城裏。業風恒自吹。來尋旣有意。歸去可無詩。雲壑爾身逸。兵塵吾道悲。潺湲階下水。朝海亦能知。</text>
<title>題南慶仲 昌祖 短屛十絶</title>,<text>怪石臨江立。其巓丹閣小。相隨莎徑來。相顧開言笑。樹老春小花。波平鷗點白。中有忘機翁。忘歸坐敧石。淸江抱盤石。雙檜凉陰落。盍做一局碁。於焉永今夕。鐵壁千尋古。煙波日暮時。孤舟催泊岸。爲赴故人期。宅邊二株松。下有短橋敧。拂袖出門待。抱琴來莫遲。紅杏映囱爍。靑帘出屋閃。應有樓中人。當罏嬌絶豔。爲問鼎坐人。誰賓又誰主。橫琴何不彈。望遠詩可賦。寺在翠微間。僧歸踏秋葉。船舷濯足翁。知是滄浪濁。不怕千山雪。誰論一水風。投竿魚不上。無乃直鉤翁。犯雪投前寺。蹇驢怯上橋。丹樓含遠浦。塌廟聳雲霄。</text>
<title>客愁</title>,<text>山雨蕭蕭冷。林風颯颯喧。客愁秋轉切。鄕夢夜來煩。衣破何曾補。盤空誰爲餐。男兒一至此。事業未堪論。</text>
<title>歸鴻</title>,<text>歸鴻此夕至。愁思倍悠哉。不報日邊信。空流天外哀。雨餘香稻熟。霜落暮雲開。隨處任飛止。自憐毛羽摧。</text>
<title>客夜</title>,<text>客夜那堪永。疎林不禁霜。國危身計拙。鷄叫曉程忙。乞食緣親老。憑鞍轉獨傷。蒼天頭上在。欲問更茫茫。</text>
<title>贈金景溫</title>,<text>昨日山阿醉。其無已太康。誰饒地主貴。自是散人狂。顚倒重牽袂。喧呼亂勸觴。卽今還寂寞。追憶意空長。</text>
<title>次韻 三首</title>,<text>浮生滿目都憂惱。醉裏俄頃是少康。陶令無懷知自慰。步兵竆哭亦云狂。可憐地僻簡人事。那得家貧添酒觴。已戒兒童除澗曲。儻攜官釅對斟長。少小學文期致澤。幾回經史誦成康。卽今頭白無他技。自笑途竆轉更狂。穿戶細風吹弊縕。繞籬殘菊對空觴。十年世事何須歎。且做羲皇午睡長。膝下稺兒走且健。堂中老母壽而康。竆途此外復何望。末俗從他呼我狂。去歲大無粥不足。今秋頗有酒生觴。風塵未息乾坤閉。男子頭邊霜雪長。</text>
<title>秋雨卽吟</title>,<text>蕭蕭秋雨小溪濱。獨掩書堂坐不巾。客寄五年頭似雪。謾開經史閱前人。</text>
<title>松</title>,<text>高旣臨山大蔽牛。蒼然獨立雪無愁。邇來寂寞明堂會。梁棟何人執斧求。</text>
<title>蔬食</title>,<text>朝來蔬食未充膓。向晩低垂氣不揚。忽憶覺華團會處。恣炮雉兎吸深觴。</text>
<title>志士 二首</title>,<text>志士處斯世。須敎名不沈。非關食無肉。豈願錦爲衾。出節丹墀近。銘功沙漠深。楊雄雖識字。頭白祇悲吟。白也仙曹謫。昏昏麴糱沈。地平呼作席。天濶命爲衾。未識一身小。誰知千恨深。平生杜陵老。飄泊每孤吟。</text>
<title>次李僉正 廈○五首</title>,<text>昔謁蓬萊白玉宮。揷花雙 缺 弟兄同。銅章凋郡子非得。雲路高馳人盡工。勳業不須憐去病。昏冥何必效無功。淸齋半夜生祥吉。獨坐惺惺喚主翁。不挫元非效北宮。平生潦倒轉蓬同。將歸渭北愁封豕。欲向江南畏射工。力穡未供終歲食。爲文枉費十年功。竆通倚伏誰能了。欲問東川閉肆翁。左丘盲矣馬遷宮。才命相仇終古同。太白爲農自我餒。長楊獻賦他人工。中原衛霍斷消息。邊塞風塵隳戰功。天旣產吾還棄擲。草間誰念白頭翁。迦葉山頭有梵宮。相隨願與一宵同。自憐老去酒全减。人說愁中詩漸工。今日風霜竆虐勢。何時花柳散仁功。草堂寂寞孤吟坐。任爾村童笑禿翁。重疊溪山護子宮。煙霞朝暮武陵同。非關富貴得非得。不繫賢愚工不工。日月靜消羲氏畫。田疇閒課隷人功。時危避地宜深遠。亦有南州太白翁。</text>
<title>次韻詠雪</title>,<text>靄靄纔看數點斜。紛紛忽失萬人家。雲中散落龍殘甲。天上安從柳放花。白玉爲階何足尙。淸鹽堆地是堪誇。應知塞外深三尺。埋盡狂胡氣不加。</text>
<title>冬䨓</title>,<text>急雲向晩積。轟䨓當夜驚。非關冬後發。絶異雨中鳴。天意誰能測。人心自不平。殘燈照孤枕。峭峭曉寒生。</text>
<title>次</title>,<text>旣拙謀生又拙詩。祇能言志未能奇。極知長者非吾敵。多謝淸詞不我遺。事業意隨蟬翼薄。奔忙身與馬蹄疲。風塵此日人間窄。安得三山駕玉螭。</text>
<title>偶題</title>,<text>休心爲上次休身。不到休心休不眞。自笑向來餘習在。每逢佳興卽吟呻。</text>
<title>挽李生</title>,<text>彭殤齊物達人言。以此吾將慰九原。可耐高堂雙鶴髮。膝邊應有泣隨魂。</text>
<title>亂鴉</title>,<text>空山日暮亂鴉廻。爭集高林林欲摧。且待明朝散求食。猶勝昏夜乞人哀。</text>
<title>覽醫經有感</title>,<text>邇來無事閱歧黃。要在治心寡欲方。豈徒醫病能醫國。我欲持之贈廟堂。</text>
<title>挽</title>,<text>宜家宜母福宜延。壽不高年是豈天。我與庭蘭交契最。忍收殘淚寫哀篇。</text>
