<title>秋日。送人赴關西幕。</title>,<text>迢遞關山路。蒼茫樹色秋。河橋相送罷。擊劍有餘愁。</text>
<title>四君子詩 幷序</title>,<text>物固有殊類而相感者。松竹梅菊四君子是已。惟彼植物。無與吾人。而特以君子稱之者奚。天高地下。萬物散殊。而在冬夏獨也靑靑者。豈非松與竹乎。方其風雷吹動。雨露濡潤之日。稠枝密葉。與凡木同茂而小無特操。泊乎嚴霜灑野。厚雪藏壑之後。郊原晩色。只是蒼翠之亭亭。則歲寒後凋之姿。非君子無與比矣。至如梅也菊也。帶雪淸香。先吐於百花未敷之前。傲霜寒枝。獨保於衆卉旣謝之後。幽姿雅趣。與志士相近。則並與松竹而稱之者。不亦宜乎。感彼四者。顧名思義。雖云植物。可以爲君子伴矣。古人取比。其味有深。而今日詠歎。亦或有待而然耶。年契李進士 守▦ 甫。寄跡丘園。寓懷推敲。殆將以詩而窮於人。以窮而工於詩者也。感興沉吟之際。乃以四君子爲題。賦詩各一首。韻用李靑蓮送賀監律以蔽之。盖欲售其工而遣其趣也。始袖其藁。往示尹士 渷。尹士亦工於詩而窮於人者也。各次其律。而三加其首。紐而佩之。含笑而來示予。間或誦前韻而幷傳之。其意竊自試於人。而又欲試人矣。予感二子之感於四子。亦自步韻以述其懷。自慚鳩拙。本於性情。感慨凄苦之語。自然形露於遣辭之間。雖不敢企蘄其工。而亦可謂窮者之詩也。編苫織綵。業旣不類。各言其志。庸何傷乎。嗚呼。君子之趣。固非一二矣。有窮居林壑而獨守高潔者。有志切君民而效盡忠貞者。不幸而遇板蕩之時。則扶綱常。守節義。與百世流芳者。亦或有之。擧皆君子難能之事也。惟彼松之孤直。竹之堅貞。梅之皎潔。菊之馨香。適與君子者相類。而物我無間。不有君子。斯焉取斯。君子之道四。吾未能一焉。山間朝暮。對之顔厚。物中最靈。反不如物乎。君子之操不遠。在彼柯則。天寒歲暮。與爾同歸。則人皆可以爲君子矣。吁。蒼松翠竹白梅黃菊。各賦其性。皆倚一偏而取其所長。猶得謂之君子。况合四德而爲我有。則豈非君子中之君子乎。君子見孤直之節堅貞之操。思所以盡其操節。見皎潔之性馨香之德。思所以修其德性。貧賤而不能撓。富貴而不能淫。威武而不能屈。然後可謂士君子能事畢矣。感物推人。聊以綴辭。欲達窮者之意。而兼勖工詩之人云爾。慘裂龍鱗赤甲衣。蒼髯偃蹇奪玄機。藤蘿根下蛟螭蟄。風雨枝頭霹靂歸。霜後春容簷外晩。月中寒韻枕邊微。淸蔭自是祥鸞宿。驚起棲鴉四散飛。右松琅玕淸露落人衣。坐愛亭亭拔俗機。月下秋聲三夏起。雨中春色四時歸。寒排御史霜威凜。貞染湘妃怨淚微。可斫千尋如作箒。日邊將掃蔽雲飛。右竹雲霧將成上帝衣。天風吹裂下星機。淸香遠向羅浮散。春色先從庾嶺歸。蘂嫩晴窻詩興早。白生虛室世塵微。閑中自保西湖趣。休遣江城笛裏飛。右梅翠盖低垂金縷衣。花之隱逸託虛機。騷人澤畔行吟掇。醉客頭邊滿揷歸。霜冷日華疎影晩。月晴風露暗香微。秋深三逕荒猶在。絶勝楓林錦葉飛。右菊</text>
<title>寓楊江時。次隣友韻。二首</title>,<text>少年追逐洛陽豪。處處笙歌不待招。蒙辱幾煩妻視舌。覔疵頻歎俗吹毛。寓居羊浦村庄僻。閑對龍門岳勢高。幸賴隣翁詩上語。似醺醇酒興陶陶。林湖昨夜夢中還。曉起靑山柱笏看。雉岳雲深鄕路遠。龍門春早客窻寒。淸尊興斷情猶惱。白雪調高和亦難。仍羡北隣閑占處。別區遙隔世人間。</text>
<title>辛丑秋。訪白蓮寺詩僧不遇。</title>,<text>遠峀蒼茫西日沈。一聲雷雨滿空林。客來蕭寺疎鍾響。僧去雲梯落葉深。紺宇只看留佛像。石樓誰與話禪心。階前霜菊荒猶在。三嗅馨香費短吟。</text>
<title>遊南山寺次韻</title>,<text>兩三騷客倚禪樓。雪裏風光取次收。湖外長堤連野濶。檻前奇峀及天浮。寒厨夜永聞僧話。古壁燈殘暎佛頭。淸磬一聲塵慮散。羨佗雲衲本無愁。</text>
<title>四月八日。寄淸風使君。</title>,<text>林湖春盡浩烟波。晩起漁舟扣枻歌。汀柳拂靑風色暗。渚菱抽碧雨聲多。探花遣興吾儕事。有月無人此夕何。寒碧樓中對燈處。想看閒坐費吟哦。</text>
<title>梨花亭次韻</title>,<text>梨花開落小溪濱。領得長年洞裏春。偶占別區仍結社。偏憐老樹亦留人。淡烟疎月相宜影。虛檻晴窻自在身。永使谷塵都不染。酒香添味却忘貧。</text>
<title>碧樓次韻 三首</title>,<text>樓前古木夕烟疎。把酒登臨興有餘。春動長江氷拆後。天開遠峀月生初。仙歌響奏牽詩句。衙鼓聲殘捲簿書。野艾薦盤香襲鼻。理竿休向石灘漁。山郭煙沉月色疎。倚樓長笛數聲餘。風前瘦鶴驚眠後。雪裏寒梅破萼初。紫綬銅章今太守。星冠玉佩舊中書。春生琴閣閑無事。興入淸江短棹漁。簾櫳朝日影和疎。正是江樓醉夢餘。遠峀晴浮雲捲處。春波寒漲雪消初。梅明歌席涵尊酒。鶴戲琴軒伴案書。待得使君投紱去。共隨烟渚一竿漁。</text>
<title>義林湖次韻</title>,<text>攜筇晩入境無何。歎我疎慵獵獵荷。雲日掩紅光自透。水天涵碧影相磨。須知此夕論文細。猶勝前宵得月多。魚浪鷺沙看更好。爲君操筆一吟哦。原韵。有魚跳細浪。鷺宿淸沙之句。</text>
<title>送禹公遠赴任草溪</title>,<text>大弓長箭立身初。功業何論記姓書。紫綬恩添新雨露。綵衣榮動舊鄕閭。十年京洛潛郞署。明日湖山奠邑居。鳥嶺橫天氷雪盛。行行且愼使君車。</text>
<title>草溪郡舍。留別禹公遠。</title>,<text>三年暌濶一旬歡。顔面猶疑夢裏看。攜手莫言歸去好。臨岐渾覺別離難。西關曉月雲山逈。東洛新春雪水寒。尊酒他鄕無限恨。暫時廻首駐征鞍。</text>
<title>寧越濯錦江</title>,<text>濯錦淸江繞釰門。悠悠一帶影氳氛。天孫織擲星機石。神女裁縫楚峽雲。紅泛落花波似染。綠添寒雨水成紋。若耶溪上嬋媢色。紗浣餘流渾不分。</text>
<title>刀山</title>,<text>尖峰上出白雲端。天削芙蓉紫氣寒。光射斗墟驚列缺。影橫蛟窟擘波瀾。佳人離恨膓堪斷。壯士雄懷手自彈。秀色千年如攬結。遠憑關塞斬樓蘭。</text>
<title>次蔡伯瑞韻 二首</title>,<text>默數平生旣往尤。儻來名利肯營求。形枯楚澤三年放。心切龍門四海憂。天上片雲京國暮。夢中明月故山秋。何當萬里長風破。穩向淸江一葉浮。學道年來欲寡尤。更於時事有何求。無將慍色形三黜。不耐覊懷集百憂。遙想故人顔對月。每吟佳句字生秋。何時共做龍門會。說破功名揔是浮。</text>
<title>落水菴。次李說卿韻留別。四首</title>,<text>平林漠漠鳥歸棲。正是前山落日西。禪閣風淸碁局靜。洞天雲暗佛燈迷。親朋心事椉閒討。客子詩篇和睡題。征馬欲行情不極。紫葵花下更提攜。花宮禪榻昔同棲。告別歸來日幾西。塵沒弊廬書帙散。草深幽逕夢魂迷。高情屢向閒中問。佳句頻看紙上題。人事自然多阻隔。不知何日手重攜。半世萍蹤不定棲。一茅新結廣陵西。山雲送雨窻猶濕。磵樹成陰路欲迷。懷抱每因長嘯遣。友朋時寄尺書題。幽居自幸芳隣近。强擬天晴一杖攜。身世悠悠別故棲。偶然來住板橋西。溪山縱幸芳隣近。江樹其如故國迷。形神已類籠中蟄。詩律猶留篋裏題。心事卽今無著處。一壺思與共君攜。</text>
<title>春日偶吟</title>,<text>年來無事出門遲。偶逐東風杖一移。芳草自生幽澗雨。好花爭發滿園枝。深林雀噪蛇吹毒。古澤魚遊鷺下絲。觀物沉吟延佇久。半天春日欲斜時。</text>
<title>砥平道中。別徐伯興向原城。</title>,<text>大壑風生松檜立。不堪飛鳥惜離群。催鞭縱幸鄕山近。摻手其如客路分。雉岳天低連積雪。龍門日落見歸雲。懸知此後江南北。君戀吾時我戀君。</text>
<title>寄通川權使君 舜善</title>,<text>滄海浮天地盡頭。使君閑向此中留。扶桑曉出蔥瓏日。叢石春飛歷亂鷗。路隔仙凡勞遠想。歲飜新舊疊離愁。玉漿瓊液如分飮。萬二千峰羽化遊。</text>
<title>送禹公遠之龍川府詩 幷序</title>,<text>三年若夢。一別雲中。千里恩。再出關外。去來知雪山之輕重。悲歡問家室之蒼茫。北堂萱枯。忍說當時之事。南州春老。難堪此日之情。日暮鄕關。望白雲兮何處。天寒沙磧。橫素戈而將行。城郭人民。接龍灣之雄鎭。山河風土。過樂浪之舊都。于時素月登弦。玄冥按節。風寒曉渡。使君之征馬催嘶。雪滿長程。都護之鐵衣難著。離亭晩而少懽樂。歲律暮而多感傷。杜工部之壯遊。跡阻鳳闕。李義山之廻夢。塵滿鴛機。擊釰高歌。惟以悲哀爲主。把酒相別。揔是慇懃之懷。關路將窮。那無一言之贈。河橋漸遠。聊成四韻之詩。關西都護古龍州。淸北雄藩地盡頭。白雪黃雲迷遠戍。層城畫角壯邊籌。使君三載重臨塞。過客今朝獨倚樓。欲說家鄕懷抱惡。沾襟匪是爲離愁。</text>
<title>李士直壽宴詩 幷序</title>,<text>述夫八千歲爲春。上古有大春之語。九五福曰壽。後世罕喬松之儔。然則人生百年盡其壽。不足多也。德卲八秩極其歡。豈非榮乎。是以俎豆珍羞。禮重養老之典。庖厨甘旨。孝多事親之方。况復覽揆之辰有期。承順之道各異。春秋相代。必有惜年之悲。日月攸同。詎無當時之樂。故知慈孫孝子。當喜懼於親年。令節佳辰。極娛遊於暇日。斯爲美矣。可不稱焉。主人派連璿源。身居鄕曲。祖子孫三世。占形勝於溪山。壽富貴多男。期緖業於今古。傳家見出天之孝。奉老存愛日之誠。報三春之餘輝。終始不惰。有一樂於君子。父母俱存。溫凊之禮無愆。心志之養已極。凡諸奉承之道。每以慰悅爲心。迫西山之馳暉。此日可惜。回北堂之初度。維暮之春。屬玆浴芳之辰。遽思開筵之擧。更迭相侍。滿堂之親朋盡歡。休暇逢迎。數郡之少長咸集。閒亭敞豁。車馬闐聲。大幕高褰。烟霞動色。是日也春風浩浩。麗日遲遲。溪花早而古峽深。芳草生而長郊晩。酒進樂作。風光助東陸之和。天朗氣淸。星躔動南極之影。主人於是。傾北斗詠南山。呈彩舞於尊前。薦仙桃於席上。龜齡鶴筭。添寶壽而聯綿。白髮蒼顔。醉春光而煕皥。諧三日賓主之樂。成一家父子之榮。其爲志也可嘉。其爲事也可貴。爲人子止於孝。孰無觀感之心。君兄弟不可當。永作瞻聆之美。客一介賤士。半世交情。親老家貧。奉甘毳之無路。心存計拙。須富貴而何時。幸賴知己之恩。得預赴酉之列。相如末至。敢望客右之居。主人仍留。更滅堂上之燭。觀孝思之維則。舞之蹈之。撫身名而自歎。今夕何夕。所祈桑楡不老。若木長春。玉斝金尊。祝遐齡而何極。每年今日。傳勝事於無窮。恭疏短簡之章。用替侑觴之曲。八旬初度與春廻。好向東風壽席開。歌奏高岡賓主樂。舞呈彩服管絃催。北堂春色排雲幕。南極星輝閃玉盃。欲把柔毫題勝事。腐儒慙却長卿才。</text>
<title>次李一卿慰尹益山謫居韻</title>,<text>明時淪謫足堪嗟。吟苦偏驚鬂雪加。千里月懸覊客夢。一年春動異鄕花。元來榮落隨吾分。莫把升沉問數家。欲效滄浪漁父笑。江潭迢遞楚雲斜。</text>
<title>次淸溪先生詠松韻</title>,<text>落落孤松錯盤根。蒼崖斷壁獨無群。虬骨朽老蒼苔色。龍鱗脫落雨露痕。篩月翠影迷曉檻。拂雲寒聲響柴門。鸞鳴鶴棲年幾度。鬼哭深林夜夜聞。</text>
<title>崔令公宴席。次韻。</title>,<text>八耋人間古亦稀。慶杯春泛壽星輝。榮隆樞府頒恩秩。喜極菜斑作舞衣。盤薦露桃霞色爛。鼎調文火藥烟微。願添龜鶴無疆筭。若木長留西日飛。</text>
<title>次韻 四首</title>,<text>天街風露正凄凄。睡覺松窻翠靄迷。穿壑曉鍾疎遠響。弄簷春鳥碎晴啼。新茶早試吹爐火。宿醉初醒覔椀虀。寒日欲昇雲乍裂。映山紅暈上榱題。右曉日高猶繫灞橋驢。山靜人閑臥草廬。梅塢雪枝晴影重。竹園風葉淡陰梳。閑斟遣興忘憂酒。倦看含丹照白書。幽寢自甘同宰我。獨醒元不慕三閭。右晝平林漠漠暮烟微。極浦遙岑帶落暉。荒野牛羊爭下括。遠天霞共齊飛。聞鍾釋子穿雲去。罷釣漁翁近夜歸。村犬吠山將虎過。急呼童僕閉荊扉。右夕中天月色暎園林。山郭寥寥萬籟沉。燈帶竹風吹影滅。鶴沾松露叫更深。丹臺火運調神鼎。白石歌殘擁短衾。直待雞鳴仍不寐。墊巾猶揷鬂邊簪。右夜</text>
<title>送元慶州之任</title>,<text>雙旙五馬過湖城。前後天恩到處榮。椉鶴一年遷北刺。聽雞他夜賦南征。山川剩借新春色。絃管猶留故國聲。千載孤雲歸去後。古壇僊跡月分明。</text>
<title>于勒臺呼韻</title>,<text>林湖東畔古仙臺。載酒春風客上來。層壑煙霞高下鎖。晩堤桃李淺深開。天光倒漾凌波棹。松影和疎飮月盃。遼鶴千年猶未返。莫敎流水出山催。</text>
<title>海州夷齊廟次韻 三首</title>,<text>山在天東賓日寅。幾時來隱採薇人。辭周倘或隨箕子。辦事還多異棘津。遺廟畫樑懸日月。半空晴峀想精神。元來避地無生死。孤竹城南亦海濱。玄禽六百歲終寅。何處歸來避地人。蝶域東臨山有蕨。鳳岐西隔海無津。風淸孤竹仍名舘。雲擁群巒尙護神。路繞古祠南畔去。白蘋靑藻滿江濱。自從斯世始生寅。淸似夷齊有幾人。殷蕨尙餘箕子國。周戈永隔孟河津。丹靑古廟瞻雙節。風雨空山護百神。追憶當年同避地。海濱何似渭川濱。原韻不銅殷柱可同寅。避地寧隨釣渭人。北海相連辭粟土。西山自隔渡師津。春崖薇蕨空留躅。遺廟丹靑倘有神。猶與太師同一域。兩魂應訪浿河濱。</text>
<title>種梅化杏。次韻。有人得梅宲於嶺東。種之成叢。余移栽數年。及見開花。乃杏也。凡梅實三易種。則化爲杏𡬾云。李一卿戱而作詩。以示余。余仍步韻。○六首。</title>,<text>梅春消息問靑童。報道氷魂幻一叢。烟外疎枝依舊亞。雨餘濃蘂有新紅。文君酒艶流香滿。漢女珠沉採月空。自是花神三換骨。證它金粟後身同。頻揩病目促呼童。辛苦栽移庾嶺叢。雪砌報遲開淡素。雨簷驚看吐嫣紅。香飄古寺門前落。影入羗兒笛裏空。遠志出山爲小草。笑佗心異皃還同。誰料花神作幻童。枉敎生意換靑叢。栽思白雪聞香遠。開漸殘霞借艶紅。春暮野亭晴影亂。臘廻仙圃月枝空。還嫌淮橘終成枳。欲向公孫辨異同。多事天翁役玉童。化機潛弄庾園叢。香收殘臘婆娑影。色借深春爛熳紅。雲倚日邊栽處晩。雪尋橋上咏來空。無情花卉君休說。從古人心亦不同。不謂花村指牧童。謾誇梅塢植春叢。誰招澤畔三閭怨。轉作墻頭半里紅。疎雨晩霞濃艶在。曉風殘雪冷魂空。灞橋詩興蘇仙飮。氣味千秋訝許同。金鼎丹胎骨換童。巧憑靈幻試花叢。還嫌玉質氷添素。乍染臙脂錦作紅。月頰依然生酒暈。風香猶自媚春空。休誇酸味調羹手。夫子壇邊與爾同。原韻赤墳新築土毛童。移得羅浮雨後叢。開臘佇看烟外淡。倚雲飜作日邊紅。春憐曲檻韶華晩。月恨寒枝雪影空。蘭蕙化蕭聞屈子。楚江湖岸古今同。</text>
<title>又步前韻。詠白杜鵑花。三首</title>,<text>鵑花哀怨起巴童。千古猶餘未染叢。玉壘天連雲暎素。錦江波遠淚收紅。梅殘夜蘂氷魂妬。蝶趁春枝粉翅空。一樹茅簷烟雨外。滿山桃李揔雷同。花蘂何年化玉童。魂遊萬里隔蚕叢。香心暗寄春枝嫩。素質寧舍怨血紅。神女夢醒雲葉散。月娥窺罷曉窻空。世間無處光輝比。梅雪開時恨不同。東風昨夜弄神童。開盡千山錦繡叢。何處得來天下白。此花非出蜀中紅。添香雪艶朝暾暈。啼血春痕曉月空。藏鹿門蹤無世累。暮年花與較相同。</text>
<title>讀易口號</title>,<text>硏朱時點伏羲書。高視乾坤闔闢初。河上龍圖空顯晦。域中天月幾圓虛。心傳魯革三編絶。道在秦坑一火餘。玄鑰鎖深年又晩。客嘲時聞子雲居。</text>
<title>贈菊菴主人</title>,<text>四山圍野一川虛。高柳長松入檻疎。幽逕吠厖驚俗客。晩沙眠鷺夢游魚。犂翻壠草朝暾影。衣濕原蔬暮雨餘。籬下更栽元亮菊。泛英時酌葛巾釃。</text>
<title>送金密陽之任</title>,<text>翩翩皁盖動新年。酒重宣城送別筵。湖月一竿留餉我。嶺雲雙舃望登仙。江山最說南州勝。風俗饒聞郭老傳。東閣官梅春可折。倘分烱亞雪枝姸。</text>
<title>景荀堂次韻</title>,<text>望包陵卵化潛淵。添一蒼龍七宿天。鱗角早時藏窟宅。霧雲佗日噴山川。舊傅陽里賢人聚。新占星墟德曜懸。置膝又看文若在。九門層級路通僊。</text>
<title>次李注書彈琴臺韻</title>,<text>聞君曾上古仙臺。鶴背詩情月一杯。白塔影孤平野濶。靑山勢斷大江回。星看北極三天遠。秋屬中原八月來。唱雪調高人寡和。世間誰識郢中才。</text>
<title>紙鳶</title>,<text>長風吹送紙鳶飛。千尺絲頭一點微。片雪細看殘日薄。孤雲杳指遠天歸。影棲高樹稱除祓。書出重城望解圍。留作世間童子戲。萬家春巷集烏衣。</text>
<title>元月十五日望月</title>,<text>紫氣金光大鏡盤。長風吹送白雲端。一年天上今宵最。萬古人間此日看。練影爽添平野濶。祥輝高逬遠峰寒。誰知老洫還多事。占歲豐凶望一竿。</text>
<title>盆竹次韻</title>,<text>聞君種竹已多君。看竹君家勝所聞。根壤定從淇水岸。叢陰猶帶楚山雲。輕飊幽枕聲聲瘦。疎影晴窻葉葉分。最愛歲寒靑自保。雪中孤節上苔紋。</text>
<title>烏石次韻 石在風吹里。因爲村名。</title>,<text>玄精磅礴鎭郊村。涅背苔荒鬼護根。雪裏分明看正色。霧中冥昧失全痕。出林暗虎當塗畔。蟠屈驪龍夢海濆。鰲未戴山猶不轉。萬人瞻仰自然尊。</text>
<title>次李一卿城西友家夜話韻</title>,<text>旋飊吹散雪雲輕。列宿天開報夜晴。千里信書雙峽遠。萬家燈燭一時明。淸談亹亹寒生榻。更漏遲遲月上城。誰料長卿倦遊久。獨扶衰病滯秦京。</text>
<title>次唐律塞外之作</title>,<text>千群胡騎北風驕。天赤狼山獵火燒。塵昏朔野驅靑兕。箭沒寒雲落皁雕。邊烽日下飛傳漢。戍海城頭望隔遼。蠢爾左賢休近塞。將壇金甲是嫖姚。</text>
<title>晉山姜秀士 宰武 以孝行文章稱鄕里。屢擧不中。齎志而歿。邑人惜之。以其實謄于狀。呈縣報營。至于再三。且其孤 泰煥 哀叫天閽。竟習宸聰。乃於乙亥秋。褒贈水部郞。人亡十年。天道始回。哀榮已極。感結幽明。厥家乃於焚黃日。設小酌以謝鄕隣。余於亡人。曾許知己。兼有戚誼。忝居末至。追愴疇昔。酒三行。與其兄 宰一 握手零淚而罷。歸寫短律。以寓相感之情云爾。</title>,<text>誠孝文章世共知。報施猶恨十年遲。使君地主能吹奬。今日天恩倍感悲。光照夜臺郞應宿。慶回陽月客酬巵。望中如有歸來𩲸。歷歷湖山似舊時。一本。望中作招招。</text>
<title>乙亥暮春。遊林湖作。</title>,<text>浩浩鱗波漲綠池。鏡中山影倒參差。風花亂落春深杏。烟柳低垂雨後絲。幽渚棹輕鷗泛穩。古壇松老鶴回遲。紫蕭聲轉金盃滿。縣路東西醉不知。</text>
<title>彌勒堂次韻</title>,<text>嵐翠浮空嶽勢高。仰天舒嘯一登臯。林僧本自嫌塵俗。山鳥何曾識羽旄。蓬海客留題石字。武陵春泄挾津桃。溪風晩起松聲合。爽氣時添十里濤。</text>
<title>次崔平叔江亭韻</title>,<text>婆娑江水碧樓樓。卜築淹留隱者流。廣漢以東初勝賞。孤雲之後復歸休。靑莎白石無邊興。明月淸風不盡秋。自是名區餘宿債。好將詩酒及時酬。</text>
<title>次蔡子雨述懷韻</title>,<text>西山採蕨想神農。東海乘桴孰與從。門掩十年閒寂寂。檻圍千嶂翠重重。慣看虧滿湖邊月。兼愛風霜歲暮松。萬事已成黃髮老。共傷天地帶秋容。</text>
<title>雨中觀鯨闘。次韻。</title>,<text>狂風吹雨注東溟。較勢鯨鯢出闘獰。怒鬣蔽天昏日月。驚濤振壑疊雷霆。氣衝蠻舶危檣脫。血漲鮫宮毒霧腥。欲斬脩鱗抽劍匣。眼中徐島小如萍。</text>
<title>讀黃庭內景。次韻。</title>,<text>瑤壇淸磬曉雲間。案上仙經碧篆寒。傳得老君心內敎。靜垂華髮燭前閑。白生虛室天香襲。春滿靈臺玉露漙。寶字莫愁聲一誤。謫來猶得駐朱顔。</text>
<title>古木次韻</title>,<text>古木巃嵸藤蔓斜。假成蒼翠老煙霞。枯枝亂上天晴蟻。病穴時窺雀噪蛇。無月暝林傳鬼火。幾時滄海泛僊槎。年年春信憑蛛網。巧著飛來客樹花。</text>
<title>次讀宋史韻</title>,<text>陳橋肇創帝王基。誰料天津有子䂓。天下安危丞相計。燭前傳受鬼神知。風霜塞北君臣隔。顚倒江南社稷移。崖海日沉昏宇宙。汴京松栢雨絲絲。</text>
<title>次彈琴臺韻 二首</title>,<text>幾多騷客詠江楓。千古臺荒浥露叢。碁石尙完苔濕月。仙琴猶奏壑生風。烟橫驛路蒼茫樹。星散漁燈歷亂蓬。欲向河宮探往跡。隔林人語水聲中。琴仙遺跡一筇探。臺下長江色勝藍。空有白雲留舊壑。更無靑壁結新菴。烟開廣野荒圍四。天近危峰翠聳三。吟到晩沙鷗鷺夢。不堪華髮鬂邊慚。</text>
<title>次李一卿步唐律韻</title>,<text>瓜蔓疎籬草沒陂。雨餘簷角濕蛛絲。家貧白首窮經日。門掩靑山欲暮時。新澗水喧魚上急。舊巢松老鶴回遲。文園各抱相如病。湖上垂竿亦未期。</text>
<title>八陣圖次韻</title>,<text>傅得神謀與鬼符。陣開魚腹運奇圖。胸藏天地經綸計。掌握風雲變化模。半夜星文亡五丈。八門金甲散千夫。精忠不轉江流石。遺恨劉郞託一孤。</text>
<title>次寒碧樓板上韻</title>,<text>信美江山若有靈。百年愁醉到來醒。澄波漾綠開新鏡。翠壁含丹列畫屛。秋葉亂成高枕雨。曉星疎學隔林螢。沈吟遠送憑欄目。度壑閑雲影滿庭。</text>
<title>虎頭枕次韻</title>,<text>雙顱曾費幾明賖。留作人家老物華。金眼轉疑耽犬吠。雪牙森似起倀歌。妖精辟易餘威壯。猛士摩挲賈勇多。知有將軍應射額。恐敎莊蝶散南柯。</text>
<title>和次李一卿韻</title>,<text>細路依迷夜未諳。忽聞筇響落溪巖。辛勤湖岸幽閑客。來訪夷門昔老監。厖吠竹風淸雜戶。鶴飜松露翠沾衫。懸燈語樂更深後。呼酒兼將少長咸。</text>
<title>酒泉縣次韻</title>,<text>獵獵西風袖裏生。客來虛舘閴無迎。江山底處藏靈醁。城郭千年記舊名。層峀白雲歸遠色。晩林黃葉落秋聲。寒波似惜仙區別。流向前灘咽咽鳴。</text>
<title>次移臘梅韻</title>,<text>陽氣初隨地底雷。忽看氷萼動春懷。空山寂寞埋査雪。殘照荒凉上蔕埃。物理自然時暮遇。天心留待壤新培。移來尙慮孤根損。分付兒童護綠苔。</text>
<title>次失鶴韻</title>,<text>叫斷秋風萬里天。影盤山海渺茫邊。翻雲雪翮歸丹壑。刷月霜毛想白蓮。華表幾年留一語。碧城何處駕群僊。遐心不管人間夢。好向瑤臺舞彩筵。</text>
<title>次忠州樓軒韻</title>,<text>中原佳麗一雄州。開府何年鎭上游。回大兩江藏萬室。列高千嶂擁層樓。帆歸浦店波聲小。仙去琴臺樹色秋。回望長安西日下。美人天遠暮雲愁。</text>
<title>癸酉守歲。次孟浩然除夕韻。二首</title>,<text>道序驚心白髮催。若爲重挽去年回。嫌看臘盡梅査雪。惡報春飛玉管灰。推枕細聞傳刻漏。擁爐頻把遣愁杯。從玆說到吾生世。癸酉今宵不再來。添燈直到曉籌催。爲惜年光逝不回。筭老無眠時撫枕。關心有事只書灰。誰家素軫鳴寒杵。幾處華堂勸凸盃。稚子未諳人世促。尙遲明日報春來。</text>
<title>乙亥元日</title>,<text>晨正農 一作房 祥斗建寅。日躔營室報佳辰。渾忘前夜人嫌老。却喜今朝歲換新。栢葉尙舍天臘味。桃符初帖漢宮春。夢淸長樂鍾聲曉。拜賀千官繞紫宸。</text>
<title>人日</title>,<text>桂𩲸將弦吐半輪。漢宮遺俗選芳辰。葭灰管動三陽律。瑞葉莖添七日人。濃襲臘香椒頌味。艶裁金縷勝呈身。正逢朝野歡娛夕。雲雨天開四海春。是日雨雪</text>
<title>立春 二首</title>,<text>蒼神人面號句芒。淸曉乘龍下大荒。天地戶開新氣色。海山春動藹祥禎。千年寶帖排雙闕。萬國生靈仰太陽。晝刻添三風解凍。舊時幽蟄盡蹌蹌。昨夜鮫氷千片斷。明朝太史報春歸。靑陽暗逐梅梢動。佳氣潛隨玉管飛。萬戶千門排瑞帖。高天大地遍祥輝。吟成梁甫人何在。莫恨東風雨露稀。</text>
<title>次獨木橋韻</title>,<text>憑將獨木駕溪潯。揭厲何須量淺深。輕履累行蒼蘚滑。危冠頻整亂飊侵。看忙沙渚閑眠鷺。聽急氷灘咽韻琴。踡跼過來舒一嘯。坦途弦直出平林。</text>
<title>盆梔呼韻</title>,<text>孤根移自海山陽。寸地藏春漸看長。稠葉碧新栽後色。垂珍朱老嗅餘香。不嫌窻外梅査雪。猶傲庭陰竹塢霜。知汝湖城非土性。歲寒留護數椽堂。</text>
<title>次新鴈韻</title>,<text>寥廓秋空萬里開。側行驚陣叫霜回。謀梁野外千群下。傳信江南八月來。孤影暮山雲縹緲。數聲虛舘客徘徊。衡陽到後歸何處。斷續分飛且莫催。</text>
<title>次崔孤雲潤州慈和寺韻</title>,<text>蓮花淨界出迷塵。倚閣風烟入眼新。落日倒涵瓜浦水。平沙歸倦秣陵人。千年城郭人間世。六代豪華夢裏春。解道孤雲當日詠。靑山畫閣舊精神。</text>
<title>次益齋函谷關韻</title>,<text>長安大道走燕齋。天設關城萬仞梯。秦地山河仍枕北。漢家車駕卽移西。自從天下偸金鑰。無復山東降紫泥。行客不知興廢弔。至今猶說孟嘗雞。</text>
<title>遊俗離次韻</title>,<text>玉立群峰聳紫霄。奇形元是化工雕。雲門並結金龕麗。瓊液長留石瓮澆。風雨世間吹漠漠。日星頭上列昭昭。登臨絶頂天無隔。擬向三淸趁早朝。</text>
<title>次氷渡漢江韻</title>,<text>氷橫兩岸雪封條。影斷沙頭舊渡杓。淸瑩宛回空色界。坦平疑駕斗墟橋。潛龍凍鬣玲瓏透。駿馬霜蹄蹴踏驕。同過萬人餘地在。一時齊上暮歸樵。</text>
<title>次淸心樓板上韻 二首</title>,<text>登登舒嘯倚樓端。領得風烟一破顔。地坼橫流西去水。天虛遠控北來山。村連沙岸微茫外。寺在雲林隱映間。漁浦夕陽舟泛穩。暫時移寓客心閒。滿目風煙繞筆端。憑欄物色倍生顔。江浮神勒千年寺。天近龍門萬仞山。魚艇遠歸沙岸外。人家多住樹陰間。夕陽飛下雙雙鷺。穩占汀洲似我閑。</text>
<title>浮碧樓次韻</title>,<text>九梯宮畔磯千尺。別起高樓枕碧流。遠翠山浮平野外。層陰天接古城頭。千年往事雲無跡。長路行人日不休。獜馬王孫遊未返。烟波猶蔕古今愁。</text>
