<title>潮汐</title>,<text>來時元有信。去處杳難尋。欲知消長理。鷗鳥自無心。</text>
<title>鉢中土蓮</title>,<text>冷落鉢中蓮。移來㝡可憐。露從盤上小。地入鉢中偏。戀土莖猶嫰。離根葉未圓。相看心脉脉。培護近床前。</text>
<title>自傷 二首</title>,<text>干戈催腐儒。心計已疎迂。謾學邯鄲步。空吹南郭竽。誰憐中道仆。人笑後牆踰。有愧沙鷗信。應猜夢月湖。獨坐茅簷下。閒愁惹百絲。弓刀新事業。漁獵舊生涯。鬼笑知天命。人驕亦一時。平生霜刃在。白髮更何之。</text>
<title>雨後過鐘川</title>,<text>倦馬行頻蹶。危蹊入石阿。江雲曾送雨。峽水已生波。柳眼輕猶嫰。禽聲緩欲和。城村今夜興。應入酒樓多。</text>
<title>客館示諸益 時林秀夫英，宋泂叔弘淵，柳灝叔淳，宋善甫裕善同坐。</title>,<text>擁衾空館曉。搔鬢更煩懷。竹泣今朝露。花嚬昨夜霾。嬌鸎欺病客。薄霧護傾崖。聯玉便驚眼。吟來慰守齋。</text>
<title>次申佐郞韻</title>,<text>故國秦城北。他鄕楚水東。春風吹幾度。客夢覺還空。海濶山無盡。魚沉鴈不通。懷人天末恨。彼此亦相同。</text>
<title>風舟</title>,<text>萬斛龍驤穩。千尋鯨海難。天吳迎畵戟。風伯掃驚湍。擊劒詩仍壯。開雲眼更寬。白鷗眠不起。淸淨使人嘆。</text>
<title>江樓吟</title>,<text>寂寂江樓夜。蕭蕭海驛秋。早湖侵蜑竈。凍雨滿漁舟。身世長隨梗。心期晩托鷗。蓑衣又篛笠。扣枻下滄洲。</text>
<title>贈學修上人</title>,<text>出家乘寶筏。離俗禮金仙。鶴夢雲霞外。猿心水月邊。沙門高縹緲。石磴細夤緣。幸得連宵話。孤燈照不眠。</text>
<title>牛庄雜詠 六首</title>,<text>斗室無籬落。茅簷有宿雲。乘潮鷗是伴。入澗鹿同羣。暖老畬田利。充飢野飯分。春來又多事。漁釣與耕耘。海國收陰雨。天風吹瘴雲。漁舟移夜榜。鷗鳥起眠羣。日出煙霞斂。潮生島嶼分。東隣人語早。南畆及時耘。村庄客滯雨。江浦水生雲。自是漁樵伴。仍爲鳥獸羣。蛙聲春夜盡。泉脉稻畦分。罷釣攜魚去。傭人借早耘。一夜江懸雨。三秋鴈叫雲。漁舟何逐侶。獨鶴不成羣。歲月隨波去。親朋落葉分。蹉跎扶老病。白首樂耕耘。泛泛隨波梗。悠悠出岫雲。疎慵人所棄。貧病世無羣。鮭菜漁隣送。香煙野社分。空歌種豆曲。蕪穢不須耘。蹇驢放寒草。新月闖疎雲。壯志看龍匣。孤愁聽鴈羣。潮聲山欲塌。燈火夜將分。社酒頻來勸。田家告畢耘。</text>
<title>又 二首</title>,<text>春暮山花盡。淸陰處處溪。蹇驢行跼束。石路轉高低。曉景當洲晩。奇禽出樹啼。庄人慰客至。壺榼競提攜。小雨驅餘瘴。凭牕早見參。江潮生遠浦。村火出疎林。寂寂初秋夜。悠悠獨客心。寒蟲有何意。露草苦謳吟。</text>
<title>秋日憶故山</title>,<text>羇人如病鶴。空戀海中山。谷邃蘭堪採。秋深桂可攀。泉噴雲窟淨。苔逐石縫斑。舊跡蘿藏逕。新修石掩關。松篁幽處古。日月靜中閒。庭栗鼯偸去。溪雲鳥帶還。客愁風雨裏。歸思夢魂間。他日山前路。山靈笑苦顔。</text>
<title>雨中感懷</title>,<text>牕外風鳴竹。牕前客思悠。玉麻橫不數。銀竹散難收。黯慘山城曉。蕭騷驛樹秋。煙低千戶濕。霧鎖一溪流。門掩何人宅。簾垂幾處樓。竹傾枝上淚。蛩訴草間愁。繡匣秋蓮澀。塵籠病鶴羞。蓴鱸思晩浦。蓑篛憶孤舟。世路無靑眼。羇愁有白頭。江村今日暮。應軫倚閭憂。</text>
<title>贈姜秀才 時進時邁 昆季</title>,<text>蹔得趍庭暇。來尋負笈期。江城陰雨日。山洞瘴雲時。鬼谷泉雷急。蛇磎石角危。掃庭雲滿箒。開牖榻臨池。白璧連城寶。蚌珠倒海奇。雲邊鴻鴈序。原上鶺鴒思。長被承敦睦。連床做切偲。純眞看動止。器宇見言辭。盂粥飢堪畫。囊螢暗亦披。勤磨廬嫗杵。長下漢儒帷。靜裏塵埃軼。閒中日月遲。溪連沂水淨。風自舞雩吹。井擬泉深及。山何簣一虧。靑雲宜早躡。霜刃托相知。愧我蹉跎恨。深爲命道悲。風摧春府樹。霜落棣華枝。幸賴江傭背。惟全阮母慈。三春輝未報。百里負堪支。禮法羞疎懶。淸虗任醉癡。詩書拋事業。樵釣寄生涯。尙忝忘年友。其當問字師。芝蘭非俗草。松栢後凋姿。肝膽憑孤劒。峩洋付五絲。休令管與鮑。千載獨知之。</text>
<title>寓居雜事。贈崔鳳翔。</title>,<text>客寓何牢落。荒山短麓斜。門連蠻竈火。野接蜃樓霞。讓畔風非古。爭田俗不嘉。江傭猶自足。由負豈云遐。急難依原鳥。酬歡及棣華。初年知硯墨。晩歲學桑麻。老妾堪鋤圃。稚兒試種瓜。飯牛燒岸草。垂釣晩潮沙。籬破愁防虎。林深戒避蛇。山空多夜雨。牕濕上朝蝸。獨鶴歸幽谷。飢鳶逐亂蛙。驚聞揚海鱷。愁聽滿林鴉。憂激羹藜食。誠深炙背爬。流年頭已白。時事病已加。誰任秦庭哭。人危漢使槎。時通信日本 平生多感慨。幽憤自紛挐。壁上龍鳴匣。床頭箭滿靫。陽春誰得和。白雪世爲哇。校洞名依好。仁郊路不賖。崔居校洞。余寓仁浦。 生涯萍泛水。襟韻玉憑葭。谷口春方盡。河濱草自芽。將尋吳市藥。時嗅右軍花。塞馬何悲失。玉壺時自撾。時崔馬斃 武陵源水在。何必問丹砂。</text>
<title>次謝柳少隱子懼 忔</title>,<text>南海今遷客。離筵舊寵臣。轍中魚有涸。盆底景無因。影縶伶俜裏。愁連寂寞濱。雙親分兩地。一月又三旬。久闕供甘旨。空憐抱苦辛。上臨天未聽。旁質鬼何神。溫被阻今夕。問安隔幾晨。蜀雲遙隔漢。巴水不通秦。有淚添東海。無眠看北辰。飢飧逢漂母。爾汝許村民。好古生何晩。丁時命亦屯。壯心窮益固。雄劒獨相親。不必悲榮悴。惟知任屈伸。人情飜海水。世路批龍鱗。身世還如寄。文章自不貧。愁來吟瘦沈。感處泣穹旻。風土身嬰疾。霜毛鬢失眞。寒灰誰煖火。陰谷不生春。楚澤離騷客。長沙賦鵩人。重逢蕭寺夜。更掃梵床塵。情若平生舊。義爲異姓倫。人皆慰零落。我獨愛眞純。剪燭論文字。開襟歎汩淪。乘桴將入海。負耒不須莘。蓬轉長風裏。萍浮大澤漘。吾生空老病。門巷鎖松筠。喜客靑眸舊。多憂白髮新。身如中散懶。趣得上皇淳。虗對樽中淥。思投井底輪。失時君是鳳。有道我非麟。玉唾傾膓錦。金聲擲地珍。頭風痊易易。神鬼泣頻頻。麗婉驚流俗。光輝映草茵。更憐愚兀兀。深感信恂恂。有約雖炊黍。無財欠貸囷。將期山與水。同樂智兼仁。旣托金蘭契。都忘爾我身。孤舟曾理棹。滄海與垂綸。兩鶴籠宜伴。羣鷗狎亦馴。從玆永相勖。無愧舊雷陳。元韻京洛扶搖子。炎州竄逐臣。恩霑寬典活。罪積禍胎因。故國千程外。微生九死濱。悲吟終永夕。卧病動經旬。數口甘零落。雙親恨苦辛。望雲空墮淚。見月每傷神。塊處虗堂暮。潛行小苑晨。形骸南滯楚。魂夢北歸秦。屈氏沉淵日。賈生賦鵩辰。如何遭聖代。還復作窮民。不憚髡鉗苦。深悲命運屯。初心空自笑。末路有誰親。冷炙飢難解。殘杯愁未伸。甘爲籠裏鳥。誰活轍中鱗。豈願陶朱富。當安曲逆貧。低顔悲薄俗。擧首訴蒼旻。知己丁夫子。風流賀季眞。題名鴈㙮早。與宴龍樓春。東國無雙士。南州第一人。道心離俗氣。仙骨出風塵。自信詩無敵。人稱義絶倫。友于天叙篤。色養孝思純。致世須經濟。爲親竟隱淪。煙晨常釣渭。雨夕幾耕莘。月榭開山頂。風欞壓海漘。濃黃垂橘柚。幽翠舞松筠。至樂人知寡。雲情興自新。人賢境亦勝。里化俗能淳。幾日虗前席。何時載後輪。明堂遺檜栢。郊藪棄麒麟。終豈林泉老。將爲廊廟珍。憐吾窮困甚。款曲往來頻。把酒燒殘燭。論懷接錦茵。忘形情自密。托契義頗恂。安頓能分宅。濟貧亦指囷。且憂方遇險。何幸得依仁。感德平生志。醻恩七尺身。暮年心慘惔。終夜思紛綸。瘦驥誠宜秣。飢鷹固易馴。苦辭多鹵莽。深意正玆陳。</text>
<title>哭任上舍子混</title>,<text>爲愛通家友。風流絶代無。知名幸一世。從事喜吾徒。負笈尋僧舍。論交入酒壚。折蓮先後榜。修契弟兄呼。壯志題仙柱。暮年擊玉壺。金無干薄俗。淚有灑窮途。楚國輕和璞。齊門混郭竽。風塵十年劒。滄海一雙珠。賦客稱鸚鵡。詩人誦鷓鴣。傷時愁賈子。歎世歿潛夫。白玉樓初建。紅雲帝曰吁。牙絃今已絶。歲月忽云徂。折玉嗟何及。重泉已矣乎。長程顚驥步。大海失鵬圖。風急鴻驚序。山空鳳有雛。平生尋黍約。何處訪書厨。蒿里無靑眼。脩鄕有白鬚。酬心餘寶劒。表德致生芻。永失心中友。誰同海上桴。山陽感隣笛。涕淚滿江湖。</text>
<title>哭朴上舍汝安 名䡥號曳尾翁。以五忘名其軒。</title>,<text>命矣斯人也。幽明永別離。知非年可惜。聞訃日初疑。豪俊今無幾。風流更有誰。破琴絶絃處。揮淚望雲時。更憶年前事。深憐賦命奇。冶長何有罪。蜮弩巧藏機。薄俗素多忌。窮途幾泣歧。憂愁猶未解。疾病又相隨。曳尾翁爲號。西溪洞築基。將期炙背老。豈吝買山資。搆木仍成閣。穿溝自作池。琴書閒契濶。梅橘晩生涯。獨樂五忘興。終驚二豎欺。差池命駕恨。摧慟束芻悲。風雨何嗟及。江湖涕獨垂。凄凉原上鵠。散落竹間棊。已失山陰賀。難尋剡水逵。老來多感意。情在强題詩。白馬靈應識。黃雞我未持。崢嶸天地內。疲薾復何之。</text>
<title>在海浴。晫姪連供小八稍魚。俗名絡蹄</title>,<text>海族紛千萬。生生各等差。魚龍喜出沒。蚌蛤好沈窪。更有無膓物。還如入穴蛇。圓頭八腳並。百足兩行加。能大小身怪。行前後步邪。秋來安窟宅。春至賞花葩。逐臭能緣物。迎潮先避鯋。漁童飽早飯。長鍤掘鹹沙。踏水知深淺。尋源解直斜。勞肩初自苦。貫索竟堪誇。候水多農伴。明松趁暮鴉。輝煌燃海驛。光燿映汀葭。散亂分還集。微明見復遮。中洲行遍盡。後渚語喧譁。汐退融泥邇。潮回斥鹵遐。蜿形看怪惡。蠢尾觸紛挐。造物藏無盡。生成詎有涯。腥風吹十里。蒿束散千家。題品齊鮭菜。風流壓石花。炙宜供玉食。烹合配流霞。不必屠鱣鮪。何須問蠏蝦。江村爲重利。市直不輕些。癡叔身多病。阿咸髭始芽。慇懃來問𧏮。旅寓小如蝸。浴海須湯火。潛身類井蛙。汗漿床褥濕。風熱體肢痂。枕伏離家夢。床拋結網麻。呻吟臨斷阜。顔狀劇枯査。午飯空多羡。蔬盤怳侈奢。中宵起看火。詩興亦繁華。乞送分情味。鮮腥苞草苴。開來疑遁蟄。洗捽訝唅呀。門嚼徒爲爾。馮彈漫浪耶。兼爲三色嗜。休說八珍嘉。驚郤枯膓胃。輕偏病齒牙。客厨猶自足。村酒又從賖。兼得愁時味。還如癢處爬。何求茅氏肉。不願葛公砂。手腳旋輕健。心情卽感嗟。楓林敢醉飽。忘郤病驢撾。</text>
<title>種稚橘</title>,<text>分乞龍洲種。琅玕尺二長。寒根帶本土。陰雨潤新塲。草屋還生色。梅隣更接芳。千奴非所願。二叟不相忘。培護疑搖榦。摩挲恐屈芒。閒中又有事。持鍤强移床。</text>
<title>流頭日卸馬鐘川橋。寄友人。</title>,<text>時日屬流頭。停驢此蹔留。長橋宜避暑。短髮不須流。瘴雨收平野。蘋風起曲洲。謾思河朔酒。誰伴石湖遊。南郭無他恙。東臯有別愁。今宵明月在。休負醉高樓。</text>
<title>鐘川雨中別懷。贈柳僉知伯獻 明瑞。</title>,<text>昨日鐘溪醉。應驚水府靈。天光忽黯慘。雨脚注昏冥。始訝傾河漢。終疑捲海溟。泉生座席敞。魚起膾盤腥。冠屨同泥土。衣裳混白靑。生涯元泛梗。身世共浮萍。四十年同夢。三千髮盡星。開襟更濡首。取醉不須醒。邂逅俱衰境。悲凉又別亭。相思無限意。爲我報原鴒。與伯獻癸未相別。甲子秋會鐘川。卽四十一年。弟季獻令公名承瑞。乃同庚同牕友也。</text>
<title>華山石盆 玉堂月課題。許名隱宲屬余作。</title>,<text>天作蓮花石。窪盆類瓮甌。穹龜開闢有。玉馬古今留。鍊氣誰餐玉。棲霞爲洗頭。九龍添不渴。五石潑如油。洙樹淸陰合。銀潢灝氣流。睡痕留月靨。嬌態溢星眸。解綰雲沉海。拋釵鳳下丘。鴉翎霑露曉。蟬翼薄高秋。十八鬟無力。三千籍有修。粧成笙鶴至。白日入瓊樓。</text>
<title>韶石 弘文館月課題。愼素隱天翊屬余作。</title>,<text>崒嵂韶州石。追傷不轉心。嘗令百獸舞。幾奏九成音。制協無爲德。聲諧解慍琴。仁風吹更洽。惠澤浹偏深。一闋廵遊遠。雙啼怨淚淫。雲根留斷麓。至韻散空林。野竹餘瓊實。溪梧晩翠陰。神人和豈得。宮羽杳難尋。三月曾忘味。千秋更苦吟。笙歌聒醉耳。哭望九嶷岑。</text>
<title>待家信</title>,<text>昨午庭前樹。鵲聲鳴唶唶。去宵古壁間。燈火明粟粟。占鵲得報喜。卜燈又有吉。客心自悽楚。悵望家消息。消息來不來。今日又向夕。秋風吹苦眼。眼枯頭欲白。吾聞古人語。吉事候三日。明日若虗度。碎燈又殺鵲。</text>
<title>憎鼠</title>,<text>請君莫憎蠅。蠅報行人至。請君莫憎烏。烏愛屋上止。君看主家鼠。我憎無如此。羇人思故鄕。故鄕三百里。夜來愁不眠。布衾冷如水。幺物爲我讎。亂我心中事。針爪穴壁沙。錐喙穿牕紙。咬破床上槖。空槖味何美。偸食笥中糧。竊輸還不耻。馳騁更躪躒。馬塲開房裏。又作喞喞聲。獰惡偏傷耳。叱罵如有怒。呼阿如有喜。握拳幾瞋目。抽刀時突起。操鞭欲格殺。罋底揶揄視。狡黠信難測。設機還爲避。爾腹不盈拳。爾腰不滿指。中心有幾許。包藏乃如是。有貓亦仁心。見之爲隣比。矜凌竟自恣。作亂非一二。微蟲不足數。我憎何獨爾。人中有碩鼠。人中有貓子。長嘯宇宙間。謾灑傷時淚。</text>
<title>猛虎歎</title>,<text>昔年此境中。本無虎豹跡。近來人煙稀。百里爲窟穴。生子又成羣。磨牙利劒戟。託結黃熊父。貪狠無忌克。負嵎嘯成風。乘暮田家入。村民無恒産。蓬戶少籬落。岑公不再來。吠犬無休息。耽耽伏草間。掠噬何太急。去年食韓盧。今年取獫𤢔。一二竟至十。將絶盤瓠族。旅遊書誰傳。上蔡牽何得。渡河世已遠。服罪誰更續。飢民自驚懼。未採山中藿。世人甚於虎。食人心頭肉。此虎不足傷。此犬不足惜。吟詩寓深意。流淚襟前濕。</text>
<title>泣玉行 幷序</title>,<text>余丁酉秋。避倭浮海。留泊法聖浦。頑奴之謀逆者。唱誘婢僕。乘夜盡逃。非徒樵汲之迫已。風高力綿。船不能運。百口之累。如載壑舟。乃賃人之無乘無食者出西海。仍便風抵牛耳島。同行宗黨之船。皆以陸倭虗驚。蒼黃各散。南檣北柁之相語者。皆非舊識。自此形孤影單。辭氣自挫。行止去留。惟長年三老是從。自外洋漸漸還下。余以哀辭動其心。將渡耽羅爲計矣。適見避亂船百餘艘蔽海而下。仍與同至草島留月餘。同來多船。稍稍散去。惟有四船。結盟相救而已。水卒輩姑以不聞盜賊聲息爲安。而笑他之勞勞遠去。眞所謂燕處堂上。不知炎火之將及者也。余寢食不安。率家累下船。蹔息于巖石間。時至月十三日也。夜忽遇賊。四船俱被焚掠。幸賴呂島土卒冐死游泅。以水滅火。救其一船之半燼者。修毁出陸。余乃解衣哀乞。得與同乘。棹泊于天燈山西麓。扶挈登山。夜已向曉矣。望見閭里舊墟。似有人煙。待暮經投。辨其言語聲。然後敢進。則皆山野竄伏之人。被擄受倭牌。許還入居者也。一里之屯。各留數名之倭以領之。而此里之倭適以其酋之令出他云。仍問倭陣所在及道路通塞。則邑城鉢浦呂島皆有陣。而賊酋領精銳截據山城。設柵炭浦。防禦官軍。已旬日矣。遂求糗糧還山。晝伏夜行。食盡而又求之。如是者屢矣。一日見道上有一立木。掛板而書者。取見之。乃賊聞余自海上來。通諭境上。以重賞購余之榜也。盖余曾謀擧義檄文。先爲賊所得。故賊恨甚必欲購得。 余始知賊購余之急。乃以畏賊心畏居民。昨東今西。朝南暮北。拾橡栗採芋菁。以慰老幼。忍飢耐餓。不下人居。居人之相知者。憫余凍餒。或飯或賫糧。入山跟尋。招之而不應。至以誠言呼曰我某也。爲相見而來。毋用疑阻。然而又不出。乃擧示所持物掛木枝而去。臘月十日。妾産女于飛鳳山豺磧中。度母子勢不俱全。乃割慈斷恩。决意棄之。而亦不能親手爲也。裂母裳裹赤體。借人以瘞。其人亦不忍焉。外苞藁苫。置石坎中。盖以廣石。是日寒甚。自夕下雪。至曉乃止。其母冐未明徑投瘞處。聞有噭噭聲。乃抓雪開石。出而視之。宛然不死。余亦慮其死而見其生。心慘骨痛。不忍再棄。遂聚木葉巖竇中。如禽鳥巢然。乳以安頓焉。纔過十餘日。聞賊搜山之奇。貯兒袖中。將向馬北山。虗驚於嫗堂前。投兒於林莽中。各爲雉兎散。伺人靜尋啼聲更收之。是月晦賊陣撤去。盖此兒再棄再收。免死得生。取其再棄之義。以楚玉爲名。月滿花舒。憐愛㝡鍾。髑就腦合。言步日漸。至癸卯其姊不幸而夭。甲辰春以家戶不寧。移寓于道化農舍。玉兒之年已八歲矣。採菜汲泉。亦自當之。捕蚤蝨爬癢背。伶俐稱意。及暮春。染痘疹八日而逝。嗚呼。知其今日之死。不如初棄之不收也。生之日。棄瘞石穴而不死者。莫非天神之所護也。疫之日。精心禱祝而不生者。亦莫非天神之所奪也。天乎鬼乎。何德於棄之日。何薄於奪之日也。然則棄而不死者。是渠之命也。禱而不生者。是余之數也。古人有子亡而喪明者。又有棄玉而刖足者。今余歎劇喪明。痛苦刖足。嗚呼。韞櫝而藏之。待價者也耶。開土而埋之。種玉子也耶。爲作泣玉行。以寓不盡懷云爾。昔汝投林日。狼虎食人肉。收來抱逃歸。若完相如璧。玉汝比奇貨。庭前弄瓦礫。應非宋愚石。自擬楚人璞。至寶素有妬。天猜鬼又惡。昨夜風雨中。竟爲造化奪。明月掩精輝。溫潤無眞色。我非待價者。如何藏韞櫝。苞茅寄木枝。揮淚空山谷。空山日欲暮。匍匐如刖足。去年失汝隻。今年已俱失。長爲種玉人。豈有仙家術。種汝幾時生。年年惟泣玉。藍田樹木愁。崑山煙焰黑。哭何丈夫哭。泣非兒女泣。吟作泣玉行。眼喪明頭白。血灑杜宇啼。膓斷山猿哭。荒林鳥呼雛。野草牛舐犢。中宵獨轉輾。牕前來曉月。不敢吟此行。不敢歌此曲。不敢吟不敢歌。此情何終極。楚山高幾重。楚水深幾尺。</text>
<title>釣大魚行 俗名碩鮞</title>,<text>有魚大於舟。兇鬐而鉅齒。年年四月中。來自大海水。任公不再來。託契漁舟子。虹竿與月鉤。夙昔所料理。三繩絞作緡。鐵鎖連鉤耳。候水上下弦。機心長自揣。蒲帆一葉影。長風幾萬里。下矴馮夷宮。淸泠深無地。潑剌一尺鮮。全鱗設爲餌。垂之數百尺。所求非鱣鮪。夜闌潮水生。不眠如有俟。時看出波上。跳躍如戱爾。呀頷忽呑食。掣去如截指。挽引立還仆。蓑笠俱落披。舟中合力助。進退不自以。重如山不動。漸漸得前邇。驚怒勢運水。舷柁恐折毁。波濤更動蕩。駭目不敢視。齊牛怒火尾。胡馬奔渭涘。大尾掉作雨。十里腥風起。戟叉洞中腰。赤血渾淼瀰。大椎擊頭顱。蜿蜿死不死。江中龍負舟。潯陽蛟斃矢。身長幾十尺。腹大如封豕。齊聲載船上。腰半在舷底。蝦蛭競相笑。洪濤何可恃。雲色忽爲慘。殺氣橫天紫。海若便生▦。水怪皆驚避。鮫機已失梭。蜃樓又罷市。神變固難測。風波漸不止。篙師告回檣。行止或尼使。鳴榔發長嘯。唐突篷牕倚。日午泊沙岸。大刀便磨砥。屠戮至盈車。均分效陳氏。裂脯藏山畚。截油貯腸裏。斫膾又隨宜。雪花落盤几。腸腴世雖稱。骨㝡爲美。小兒亦能賖。村盆浮綠蟻。一酌又再酌。竹筯春蔥觜。醉飽與同樂。舟人相賀跪。郤問後日期。擧手煩唯唯。悠悠宇宙間。壯遊吾不耻。連鰲龍伯人。射鯨秦壯士。千聞不如見。今日更誰是。莫稱襄陽鯿。縮頸還可鄙。誰愛松江鱸。細鱗徒爲侈。琴高是何人。鞏水乘赤鯉。我欲誇此事。一一煩筆紙。</text>
<title>擬江南曲</title>,<text>莫移河上柳。種我門庭外。年年翠樓邊。嫋娜春光㝡。舞腰學纖枝。日覺寬衣帶。畵眉效長葉。對鏡愁偏大。垂絲未繫人。贈別無期會。寧樹忘憂萱。種柳無所賴。</text>
<title>牧童</title>,<text>去時草露多。歸時溪橋夕。小犢隱深林。大牛鳴高陌。觸物成謳吟。非是齊門戚。長蓑與圓笠。陰晴任所適。</text>
<title>甲寅上元。對雪飮酒。</title>,<text>甲寅新正望。立春十八後。人間作令節。流俗傳來久。艾父守門楣。藁索皆不右。烏鳶是惡鳥。童子竪弓箒。盤有眼明菜。罇有治聾酒。竹筯呼小婢。陶杯催老婦。一下復一酌。燈前不停手。皁白不足見。有目宜如瞍。是非何可聞。有耳宜覆瓿。佯盲是高見。畫地眞師友。耳目有聞見。誰更三緘口。眼明竟無用。治聾何所取。菜名改不老。酒號稱長壽。一筯二筯了。三杯四杯又。開牕看庭除。雪花一尺厚。梔子泣紅淚。小竹專半畆。暗香襲衣襟。寒梅已開否。醉歌脫帽子。霜消漆滿首。</text>
<title>送鐵兒之書齋</title>,<text>送汝尋師去。勤學更勸汝。遺汝萬籝金。不如一字予。文字乃至寶。宜汝孜孜處。賤爲貴亦易。貧作富不阻。勿念汝飢飽。勿憂汝寒暑。鑿井當及泉。作針始磨杵。寸陰足可惜。流光不汝與。小少不勤學。老大悔誰許。汝看失學人。盲聾對逆旅。天生男子身。不是同兒女。誠敬奉師長。信義結朋侶。蹈詠學歌舞。禮容習罇俎。書字與作詩。餘力須兼擧。佩服此戒辭。造次皆心貯。忍斷膝下愛。期在趨庭語。</text>
<title>周甲歲初度日。述懷呈示席上。仁祖四年丙寅歲</title>,<text>我生丙寅年。七月廿八日。年日今再至。感極餘殘骨。靑陽如隔晨。鏡裏驚霜髮。家人置斗酒。慰我身無疾。親朋赴前期。主客叙阻闊。倜儻抱朴子。風流鄭三絶。忘年晩契深。交道膠投漆。天枝映草座。腰下珊瑚玦。崔侯動符彩。淸風灑蘭雪。士涵澤中龍。鳳翔千仞屹。同宗二珠在。謝庭芝蘭茁。四座皆不俗。草亭顔色發。竹床穩平地。新凉滿蓬蓽。湛樂及棣華。鴈行相接膝。蔬盤間魚果。急管凝淸瑟。春光席上生。秋露罇中溢。兒童競趨走。挽鬚何嗔喝。悠悠心裏事。擧杯爲陳說。人生百年內。憂患兼得失。彭殤齊一指。夷跖同淪沒。貧窮是士常。富貴皆外物。裘褐度平生。行年六十一。舊伴謝漁獵。衰年亦安逸。新契托詩酒。到處甘怯慄。逢塲必先倒。遇景自閣筆。窮村絶喧囂。掩柴常罕出。浮生同草木。世事付倉卒。勸君莫辭杯。人生足離別。勸君莫辭醉。人生少歡悅。忘憂無過酒。愛酒眞賢達。日短可秉燭。路遠宜投轄。南星添壽爵。西母獻桃實。此日足可惜。此筵難再必。一歌感君恩。五雲瞻魏闕。再歌感親恩。松楸望短碣。樂極悲又來。宇宙無窮畢。呼杯更醻酢。促饌膾細切。相逢盡萍水。方寸非楚越。勖君問後期。醉興猶兀兀。東海變爲田。種桑同築室。</text>
<title>遊瑞石山 一名無等山。在光州。</title>,<text>無等山如帝者尊。衆峰環拱盡趨奔。方圓闢日初鼎位。盈昗分年始建元。治亂興亡都不管。炎凉憂樂自無言。會須東海桑田後。磅礴餘基付幾孫。</text>
<title>秋聲</title>,<text>刀刀稍稍又蕭蕭。碧落迢迢更泬寥。暗着半庭枯樹葉。長留寒澤敗荷條。羅幃月苦燈殘處。草砌蛩吟露泣宵。明曉欲尋歸去跡。霜雁雙▦面生憔。</text>
<title>對衣有感</title>,<text>慇懃慈母手中絲。遊子身邊一襲衣。手澤宛加縫處在。恩情分着絮間依。停針幾怨思無見。倚暮應憂去不歸。寸草三春知未報。平生空泣孟家機。</text>
<title>寄舍弟</title>,<text>秋氣先驚遠客邊。客邊心事轉悽然。無衾冷似杜如鐵。有夜長愁李抵年。露泣竹林添感淚。月窺肱枕覺寒眠。抽刀欲斷東流水。白髮星星丈幾千。</text>
<title>愁 二首</title>,<text>一身羇處影相隨。又有煩愁不蹔離。客舘月明人散後。虗牕雨細酒醒時。源流不盡如江水。緖縷無端若亂絲。切擬捕將投畀虎。但看霜跡着吟髭。寃憤羇離自古今。去來多少各隨心。形容欲見看無見。蹤跡將尋問莫尋。細雨牕前驕更重。秋宵衾裏亂何禁。刀難剪斷威難制。直待歸家酒裏沉。</text>
<title>巖淵釣魚</title>,<text>打得癡蠅貯短筩。佩筌攜竹喚隣翁。尋磯有石秋苔碧。披草無蹊野蓼紅。水淺魚猜驚避餌。竿長縷細誤乘風。歸來笑語汀洲暝。宿鷺時飛小磵中。</text>
<title>金上舍 世珪 茅齋。次金芷川 公喜 韻。</title>,<text>寥落重茅壓野荒。養眞閒處任韜光。硏朱點易晴牕靜。揷竹扶花晩砌凉。業薄未謀元亮秫。興濃時醉孔融觴。歸程莫怪頻相問。蘭室將薰一半香。</text>
<title>客舘夜雨</title>,<text>牕外蕭蕭雨夜聲。枕邊孤夢客先驚。新醅細聽深缸熟。逃蠏旋聞落葉行。露重鴈堤棲不定。寒多龍匣吼何平。披衣起出庭中看。昨暮漁蓑濕半生。</text>
<title>景陽月夜聞新鴈</title>,<text>殘更度盡未成眠。何事流哀客枕邊。露泣枯荷秋氣廻。月沉淸鏡夜寒偏。驚棲似怯新風土。作陣如▦舊澤天。霜後若將南海去。一封書信寄家傳。</text>
<title>重陽感題 與朴子藎期會。以無騎未赴。題詩寄意。</title>,<text>一馬長隨世事馳。重陽又負菊花期。深罇政滿消灾處。末席應虗待客時。落帽餘風吹短鬢。留人殘月照孤思。登高非是羇人事。欲上山頭望海湄。</text>
<title>白鬚</title>,<text>鏡裏今朝見白鬚。非狂卽妄妄非愚。根緣愁緖蟠腸胃。莖帶霜華出頰膚。提鑷赤憎千丈有。誇人嬴幸一時無。星星莫長還鄕日。其奈兒童客老呼。</text>
<title>無屨未訪辛子仁</title>,<text>一鞋穿盡過壕橋。跣足空嘆遠客僑。東郭幾思凌雪步。田公無得與人驕。市翁鑿木還辭賣。山釋編麻不顧招。泥上乘橇慵不願。二鳧將欲借王喬。</text>
<title>次庾仍古四宜亭韻</title>,<text>一樹相仍契濶宜。下床高閣逐時宜。看花聞鳥眠猶足。避暑乘凉坐亦宜。皓月多從書榻好。暄陽偏向竹牕宜。樂天自合陶情性。賦得新詩是四宜。元韻古有三宜今四宜。一亭風景四時宜。碧桃花發春遊足。綠柳陰濃夏睡宜。木落欄唇看月好。雪消簷角向陽宜。平生疎懶惟吾性。終夕閒吟亦可宜。</text>
