<title>醉贈仲初</title>,<text>靑山逢故人。野店梅花發。相携勸一盃。莫報樽中渴。</text>
<title>次曺淑思樂亭韻</title>,<text>日暖高亭午。烏巾半岸人。風輕鳥語軟。雨歇柳絲新。月下琴難擯。花邊酒可親。晴沙江畔石。來往自無巡。簾箔鉤初上。楊花亂點人。水紋淸簟薄。氷椀冷淘新。園果長供客。盤羞每悅親。傳盃期爛醉。寧復數籌巡。</text>
<title>次抱月亭 亭在海州江南。主人李守誠。慇懃請賦。敢步栗谷韻。以贈之。</title>,<text>朱欄橫石角。華彩落寒湄。島逈潮回晩。天長鳥去遅。一聲孤舫笛。千尺斷磯絲。領得無邊趣。閑傾灧海巵。</text>
<title>趙玉立輓歌</title>,<text>丱角超倫輩。初逢若老成。雍容隣黨義。和睦弟兄情。擬約投同社。那知隔此生。一尊江上酒。揮淚送君行。英英妙少年。鄕曲共稱賢。長路方希騁。浮生遽已捐。中郞家孰保。伯道業無傳。同契翻成夢。千行淚逬泉。</text>
<title>輓咸悅守姜孟業</title>,<text>有美名家士。芹宮識面初。三冬藜莧味。十載典墳書。雲路鵬將擧。風花槿已除。他時隣笛㤪。不堪過公閭。</text>
<title>輓金新溪</title>,<text>遐冷延八十。陳粟積成堆。風樹思親淚。懸魚製錦才。三珠悲已結。二竪夢重催。哭盡山雲暗。松聲怨夜臺。嶃然出頭角。早日擅芳譽。力盡靑燈讀。名乖紅紙書。治馴桑下雉。孝感雪中魚。厚德孚隣保。相舂聲息閭。</text>
<title>輓陸太守大春</title>,<text>累綰專城綬。榮名三十春。輸忠知有國。推恕自忘身。世慮千尊酒。生涯四壁塵。德隆官不滿。吾欲問蒼旻。</text>
<title>挽卓君豫</title>,<text>蕭散淸懷抱。無機捴是眞。平橋蘆萩暮。碧峴蕨薇春。我醉狂歌發。君懽慢舞頻。烟沉蒿里樹。遙望淚沾巾。</text>
<title>挽羅進士士惺</title>,<text>名著南州士。先從戰藝塲。雄圖擬鯤化。長策竟龜藏。二竪翻成夢。三年艾未良。庭空無玉樹。遺業轉荒凉。</text>
<title>輓歌</title>,<text>淚盡天南士。情摧燕子樓。人間成一夢。松下幾千秋。寒月侵香枕。悲風動錦裯。玉琴淸㤪在。無限水東流。</text>
<title>題延安樓</title>,<text>虛檻蕭蕭小雨天。登臨飄若馭風仙。江拖脩白羅橫帶。山獻遙靑䯻露烟。遣興秪憑盃面蟻。謀生寧揆槖中錢。夢歸舊隱蘆花岸。垂釣荒磯落照邊。</text>
<title>題新倉院樓</title>,<text>蒼茫平野聳危樓。檻外長江萬古流。烟際露靑千點岫。波心浮白數羣鷗。半山殘月催詩興。一陣淸風洗客愁。漫有元龍湖海志。不禁華髮鬢邊秋。</text>
<title>題柳希仁伴鷗書堂</title>,<text>臺前滄海碧涵虗。西椄登萊萬里餘。白日浮沉羣蜃宅。靑岑隱見六鼇居。軒邊帆影風酣後。月下漁歌夢罷初。自笑吾生勞物役。斷崖那得結茅廬。</text>
<title>題勝殿庵</title>,<text>小庵遙在翠雲頭。杖策登臨雨後秋。天濶帆和孤鳥去。地平烟帶遠林浮。鳳仙花弄風前態。鷁退人欣物外遊。榮落從來皆有數。此身方擬一虗舟。</text>
<title>題邊山</title>,<text>萬木參天擁道周。盤回丘壑轉淸幽。雲收山色呈新畫。雨送溪聲聽戛球。露滴臯禽飛翽翽。日升林鹿叫呦呦。寬閑知是非人世。擬喚群仙作勝遊。</text>
<title>蘇來寺。題煕長老壁上。</title>,<text>亂峯深處有頹蓭。松檜森森鎖翠嵐。霜促林容成紫錦。雨粧山色染靑藍。愁端動引心懷苦。詩律翻催酒興酣。却愧高僧無物役。奔忙應笑擇酸甘。</text>
<title>題扶安公舘</title>,<text>午眠初罷倚危欄。啼鳥乘暄語未闌。城拂金絲垂柳嫰。簷飄香雪落梅殘。一春烟景孤吟裡。萬事霜華兩鬢端。物外優遊眞得計。不須奔走浪悲懽。</text>
<title>題漢江江亭</title>,<text>獨憑虗檻罷閑眠。衣袖霏微濕冷烟。羅帶江光晴漾石。玉簪山色翠浮天。沙禽來去斜風裡。漁艇沿洄落照邊。景物蒼茫供客眼。數聲村笛興悠然。</text>
<title>題長淵白沙亭</title>,<text>毗盧峯上踞胡床。一嘯臨風望大洋。萬里紅波金柱逈。雙飛白鳥碧天長。人行積雪堆沙岸。馬踏殘花落海棠。胸次崢嶸澆不得。朗吟傾倒酒千觴。</text>
<title>春日遊山。用放翁韻。</title>,<text>今年春色似前年。浮世胡爲作逝川。石上題詩神助句。花邊酌酒醉呼眠。襟懷淡淡無塵鏡。蹤跡悠悠不繫船。管得山林閑日月。任他人喚老儒仙。</text>
<title>遊金洪書齋</title>,<text>曲逕行穿小洞深。數椽書舍萬松陰。蒼峰當戶嵐光重。玉井連池爽氣侵。一夜寒霜林脫葉。千莖華髮客驚心。靑衫薄䆠無人問。只有秋虫和苦吟。</text>
<title>遊松京滿月臺</title>,<text>鵠嶺蒼蒼擁舊都。周遭雉堞見雄圖。龍樓有址苔封礎。鳳輦無蹤草滿衢。朝市變爲山雨散。管絃留作野禽呼。悠悠往事憑誰問。金井西風隕碧梧。</text>
<title>遊靜修書齋後豹霧谷</title>,<text>扶杖閑遊豹霧原。行穿松逕踏雲根。烟消蜂意欣乘霽。風軟禽懷好哢暄。血染花枝愁啼子。綠添芳草恨王孫。佳期杳杳思千里。獨對韶光暗斷魂。</text>
<title>丙申九月九日。携家屬。上碧川山上遊賞。吟得一律。以示子姪。</title>,<text>碧川山上作重陽。嫋嫋西風鴈叫霜。赤葉黃花供逸興。高歌慢舞任淸狂。干戈五載民亡盡。子姪一家吾得將。天幸已多何不樂。莫停雷皷酌深觴。</text>
<title>與詩山守安習之。向金山寺。路中作。</title>,<text>性癖山林不可醫。爲携騷客討幽奇。虎溪殘雪能消酒。鼎峴晴雲巧入詩。自信乾坤容散誕。寧嫌風月笑衰遲。吾生正似江梅淡。却喜尋春蝶未知。</text>
<title>蘇來寺。見辛白麓效鄭知常體。因用效其體。以贈德煕長老。</title>,<text>林間古刹倚葛根。漫字殘碑客到捫。散花瑞久蘿蔓塔。囓草僧閑葉擁門。道通雪山看不犢。意凈塵界念無猿。何時共步虎溪上。浩然一笑辭啾喧。</text>
<title>黔浦道上</title>,<text>漫漫長路繞江干。江上新霜著面寒。峰入雲天森鐵戟。海環島嶼散銀盤。殘霞落日帆影。歸鳥還雲傍馬鞍。安得龍眠神妙手。細摹留與短屛觀。</text>
<title>雲住路中偶吟</title>,<text>新葉初肥麥吐芒。連雲芳草綠茫茫。一條溪白橫羅帶。千仞峰靑削釰鋩。好鳥吟風添逸興。香醪醺面助詩狂。行行不覺天將暮。回首林間已夕陽。</text>
<title>與泰仁倅柳公埏酌酒閑話於蓮堤上</title>,<text>長堤絃直柳陰陰。堤下淸波丈許深。十畒紅雲鋪鏡面。半山飛雨落盃心。千村向晩烟初起。一葉迎秋籟自吟。入夜重添無限趣。月輝荷影爽塵襟。</text>
<title>過荒山有感</title>,<text>十萬倭兵據八良。沙斤白骨滿城隍。龍蛇陣合荒崗上。狐鼠心摧引月傍。赫震驚霆驅魍魎。疾馳長轂轢螗螂。神功永與山俱在。海角民安化日光。</text>
<title>登斗升山頭古城</title>,<text>崩頹古堞斗升上。呑納諸峰十里橫。山木豈知經百戰。野禽空自作千聲。興亡有數餘基跡。文字無人記姓名。客到不須悲往事。耕耘聊復樂昇平。</text>
<title>同泰仁倅柳公埏。登縣前小山。</title>,<text>靑山一點翠眉浮。皁盖來遊値晩秋。稻作黃雲平布野。水成羅帶細環洲。金樽稱意供淸趣。霜菊寧羞上白頭。浪跡偶添陪勝賞。落霞孤興難收。</text>
<title>登月井臺</title>,<text>直上峰頭月井臺。風吹輕靄四邊開。長天杳漠孤雲逈。大海蒼茫小艇回。蝟島君山靑數點。澗松巖檜翠千堆。紅輪倒蘸尤奇恠。暢盡生平壯浪懷。</text>
<title>登萬日樓。觀花有感。</title>,<text>樓頭晴日小風來。樓外山花滿眼開。坐上佳賓傾一郡。尊中美酒吸千盃。韶華稱意矜顔面。詞客驚時感抱懷。安得飄然陶謝手。風烟收拾錦囊回。</text>
<title>余以烽燧軍推鞫差使員。三朔之內。三登海南牛蹇峙。回視江山。有感而賦之。</title>,<text>長風吹到拂征襟。嶺上雲含雨半陰。白雪漲江潮正上。金盆垂島日將沉。功名有累分榮悴。歲月無情作古今。却笑吾行成底事。秪催霜髮滿華簪。</text>
<title>上東學堂後峰</title>,<text>扶藜日暮步山巓。平野茫茫接海天。一壑風霜凋木葉。萬家籬落起炊烟。歸禽斂翼踈林外。遊子聯襟古堞邊。吟嘯回來江月白。十年煩惱正蕭然。</text>
<title>題金山寺</title>,<text>金山古刹舊聞名。傑閣三層眼忽明。塵佛尙含甄氏憤。風鍾空帶濟朝聲。斷碑零落苔專蝕。破砌荒凉草半生。倦客憑欄吟未乾。滿山黃葉自悲鳴。</text>
<title>題三淸洞契會圖</title>,<text>三淸仙洞彩霞深。羅帶溪邊擢玉簪。駿馬雕鞍芳草裡。輕衫烏帽翠松陰。日斜帿皷撾頻疊。興入詩懷酒滿斟。勝事易隨塵迹散。繪綃聊托斷金心。</text>
<title>題吸香亭</title>,<text>詩山南畔大池周。兩岸人家碧樹秋。紅嫰萬莖花錦艶。翠圓千疊葉錢浮。吟邊遠岫含殘雨。郊外斜陽暎半樓。醉裡不知歸路晩。深盃頻勸寫離愁。</text>
<title>題成均舘契軸</title>,<text>禁園東角泮宮西。千尺長松一帶溪。盃灧綠蛆佳客醉。査飄香雪野禽啼。催詩飛雨隨風洒。牽興垂柳拂面低。樂事無常人易散。故敎圖畫姓名題。</text>
<title>題順天公館</title>,<text>昇平形勝冠南州。螺黛尖峰碧玉流。翠竹凌霜圍古堞。寒梅含雪映朱樓。烟拖練帨粧林態。灘送琴聲繞客愁。最好喚仙明月夜。洞簫吹徹海雲頭。</text>
<title>下第後書旅懷</title>,<text>東風吹面夢初驚。擧眼韶華滿洛城。禁苑夭桃含宿雨。天街高柳弄新晴。愁將歡去渾無緖。老逐春來似有情。遣興固知靡過酒。倚欄空復嘆甁傾。</text>
<title>次靑溪韻。題水林亭。</title>,<text>新搆華榱小洞天。登臨飄若挾飛仙。山含藍色浮簷外。石碎川聲送檻邊。靜愛𩿨來沙渚宿。喧嫌花泛世間傳。漁樵混𨁯酣眞趣。却笑佯狂晉七賢。</text>
<title>代小姬。次碧城守金鎭韻。</title>,<text>含愁殘黛別離時。畫閣東頭午漏遅。有信簷梅須索笑。無情街柳莫攀枝。孤形長伴靑燈影。一夢遙飛碧骨池。脉脉相思誰會得。只憑明月兩心知。</text>
<title>與安習之飮斷橋下。走筆贈之。</title>,<text>佩壺乘興坐沙頭。席下長川衮衮流。一望靑天蘆葉晩。半邊殘照鴈聲秋。身如岸草無鞿馬。迹似江波不繫舟。任却深盃頻勸醉。快然消遣古今愁。</text>
<title>敬天驛邊海棠爛開。馬上詠一律。贈金汝器。</title>,<text>十里平郊細雨過。海棠開盡滿晴沙。乍籠輕靄羅裳薄。微帶餘滋玉筋斜。解佩有情臨浦岸。含愁不語傍壚阿。長程行邁無休暇。馬上相逢奈爾何。</text>
<title>夜宿蕭寺。贈公彦年兄。</title>,<text>小雪寒風山路迷。遠尋孤寺日將西。飢烏杳杳啼高樹。黃葉蕭蕭襯馬蹄。半壁殘燈開几席。一樽香醑灧玻瓈。留連數夜眞佳會。臨別依依不禁悽。</text>
<title>宿靈源寺。贈李士武。</title>,<text>縈回線路遠穿雲。松檜蒼蒼鎖洞門。溪繞踈林羅作帶。山含殘雪錦成文。苔侵古塔千年寺。僧映靑燈一炷熏。客到蕭然無夢寐。不知人世有塵紛。</text>
<title>金溝公館遇雪。贈安雲卿。</title>,<text>萬里頑雲凍不開。北風吹落荳稭灰。平鋪野田銀爲界。粧點丘山玉作臺。烟絶袁安弓卧苦。履穿東郭印蹤哀。恩光叨被眞多幸。蠟炬江城倒百杯。</text>
<title>送朴光玉景瑗赴燕京 二首</title>,<text>朝天征馬向西催。路繞醫閭碧一堆。開雨生凉燕樹晩。胡笳聲㤪薊城隈。瑤階寶炬明如晝。金闕洪鍾殷似雷。盃灧紫霞三祝罷。仰瞻祥靄鎖蓬萊。四海梯航會玉京。省郞掄貳使星行。欽風孤竹千年廟。刮眼雄關萬里城。聘漢豈徒師黻鞸。觀周惟要審咸韺。從知誦得詩三百。專對天庭播令名。</text>
<title>送許判官子賀赴北靑</title>,<text>長路銀鞍白鼻騧。腰橫飛電劒靑蛇。殘民蒙化歌三異。強虜聞風畏六花。玉帳將驚神略秘。靈椿陰暎彩衣華。政成皁盖歸來日。陌上豊碑字似鴉。</text>
<title>送鄭太守復始</title>,<text>政先仁厚感人深。撫字寧勞課最心。墟落月明眠吠犬。公堂晝永弄鳴琴。犢並淸化留還土。鶴與高標返故林。雲遠天門誰借冦。短編聊復寄悲吟。</text>
<title>送鄭年兄以周赴燕京</title>,<text>遠聞員外赴神京。別裡重添惜別情。華表柱高燕月冷。醫閭山逈代雲平。城橫萬里尋秦跡。壽祝三呼拜聖明。季子今觀周禮樂。東還他日作邦楨。</text>
<title>送李彦潤赴咸鏡書記</title>,<text>駿馬驕嘶金絡頭。繡紋長帶佩吳鉤。雪殘孤館胡笳㤪。風急荒城漢月愁。獵罷陰山雄皷角。揚兵黑水擁戈矛。靑油幕下無餘事。談笑樽前好運籌。</text>
<title>送金公緖赴任海美</title>,<text>長組腰懸竹使符。迢迢征馬海西隅。威風要束淮陽吏。淸操應還合浦珠。梅下詩情添月勝。樽前鶴影伴琴孤。臨分更贈秦人策。細柳防侵轍鮒徒。</text>
<title>奉別金敬差官還京</title>,<text>承恩北極按南州。霜氣稜稜草木秋。斧影動搖江月白。繡輝凌亂野烟浮。同舟錦水三年別。共枕詩山一夜留。歸去高翔天九萬。夢魂應繞海雲頭。</text>
<title>留別</title>,<text>料峭東風二月時。蕭蕭微雨潤梅枝。千絲拂地楊含態。數點垂簷杏露腮。忙裡消愁猶賴酒。客中遣興秪憑詩。臨分不忍催征馬。握手還爲後會期。</text>
<title>丙申秋。奉別呂先生裕吉赴任公州。</title>,<text>公山南國最雄州。治劇方掄第一流。庭露槐根齊繫馬。槖蒙郞首卞爭牛。天兵有喜知厨美。野老無愁見政優。他日朱轓回洛處。想應遮路錦江頭。</text>
<title>春日。村居謾興。</title>,<text>霏微細雨過孤村。一夜韶華滿小軒。絳雪翻空山杏塢。紅霞蒸洞野桃藩。乘晴好鳥飛相語。得意遊蜂戱自喧。要路閑門俱爛熳。同仁方信有乾坤。</text>
<title>萬頃聚遠亭。次盧士雅韻。</title>,<text>朱欄高壓海雲端。薄暮登臨得暫安。鳥外浮烟島嶼遠。庭前含露紫薇殘。樓頭倦客吟方苦。葉際鳴蟬響欲乾。萬竹齊簷森翠節。輕風皷作玉聲寒。</text>
<title>次快心亭韻</title>,<text>州城南畔斷巖隈。一帶寒波鏡面開。岸際明沙銀作界。檻前靑嶂玉成堆。登樓倦客吟還嘯。戀渚閑𩿨去又回。滿眼風光誰解道。倚欄終日愧非才。</text>
<title>次靑溪韻</title>,<text>詩壇誰詑五言成。今見珠璣筆下生。數點遙岑吟外碧。千層霜葉眼中明。淸歌細穿雲端去。錦纜徐牽鏡面行。𩿨鷺亦知遊子興。近人來往恣飛鳴。</text>
<title>次士晦珍島公館韻</title>,<text>孤城珍島水爲基。耕愚氓荷聖治。島外峯巒森畫戟。檻前瀛海作天池。篁迎初月當窓韻。橘帶新霜傍砌幽。驛騎嚴程巡按處。鴈飛南度菊殘時。</text>
<title>次梁學官大撲韻</title>,<text>生平蹤跡最凉凉。政惱懷人遠夢長。萬事不堪飛絮亂。百年無奈疾風狂。莫誇身後詩千首。但做尊前話一塲。明日分携山水隔。佳兒須更勸深觴。</text>
<title>羅德明次坦蕩亭韻。自詠其書齋。走筆步韻。</title>,<text>錦城山下玉溪邊。新闢茅簷小洞天。詞客時乘佳月到。栖禽閑趁暮雲還。扶筇曳履松聲裡。藉草傾盃竹影前。花謝日暖風軟處。倦餘孤枕石稜眠。</text>
<title>次南原東軒韻</title>,<text>塵鞍初卸上高樓。形勝俱收一轉頭。蛟峀挼藍當檻立。蓼川拖練抱城流。氷盤雪膾忘三伏。珍簟風漪帶九秋。賢主佳賓難會合。滿斟浮蟻洗離愁。醉挾天風陟畫樓。岸巾高倚曲欄頭。林含野色村將晩。山帶雲容雨半收。對兔應傳仙臼藥。步蟾須作鵲邊遊。眞人蓮葉舟先泛。博望塵槎不必求。</text>
<title>次金正纘先韻</title>,<text>長念君家犯賊鋒。那知今日忽相逢。鬂邊華髮添新雪。鏡裡朱顔减舊容。去國孤臣同陸子。出塵豪氣是元龍。從今永作幽棲計。西海靑山興味濃。</text>
<title>次天將馮相公詠雪韻</title>,<text>風駈壯雪滿箕封。孤店遙聞一杵舂。掩盡高林無鳥影。沉平長路斷人蹤。殘氓寧歎三冬苦。上瑞還欣二麥豊。神略雄啚夷自伏。區區何數蔡州功。</text>
<title>又次馮相公韻</title>,<text>邊地三冬雪擁廬。征夫應有念鄕居。風傳皷角聲高下。日暎㫌旗影卷舒。胷畜奇謀神莫測。筆摛華藻錦難如。平倭奏凱朝天日。遠信須傳一鴈書。原韻旅客憂時自掩廬。元戎命駕慰離居。排空雲影㫌旗動。耀日霜華釰戟舒。專閫名高周尙父。摛辭價重漢相如。諸公此會三生幸。珍重無忘尺素書。</text>
<title>次安大道韻</title>,<text>萬壑千溪木葉塡。白雲何處有飛仙。雨過巖面濃山翠。風動松杈韻野絃。伴鹿孤蹤超物外。採芝幽興斷塵緣。從今遠托仇池側。月下吹簫小洞天。</text>
<title>次抱月亭韻</title>,<text>名區形勝秘千年。誰搆華亭壓海巓。帆帶斜陽雲拂島。風吹輕浪雪翻天。簷虗籟寂琴初響。酒滿人歡月正圓。此是蓬萊仙境界。坐來塵事揔忘旃。</text>
<title>次培風軒韻</title>,<text>玉立靑尖百丈峯。峯頭樓閣倚剛風。蒼茫烟樹孤村外。明滅漁燈一望中。鳥帶雲飛天曠蕩。帆隨日沒海冥濛。瓊宮銀闕應非遠。鶴背仙書信可通。</text>
<title>次車君雲輅</title>,<text>靑盖童童萬葉齊。坐來凉氣自凄凄。吟詩正合騷人翫。警露端宜野鶴棲。雨送寒聲聆忽爽。月含踈影望都迷。蕭然庭院無塵事。酒可孤斟瑟可携。</text>
<title>次宗之韻</title>,<text>鏡中霜髮日蕭踈。自笑虛勞萬卷書。一釰生涯長作客。十年𥀷皷未安居。酒寬憂思胷無滯。詩就珠聯興有餘。萬樹依依城上柳。莫將金色更驚予。</text>
<title>茂朱。次寒風樓韻。</title>,<text>微雨輕衫渡斷橋。試攀飛檻近天高。灘聲半雜松聲遠。雲影兼涵山影搖。野鷺有情當岸浴。巖花無賴逐風飄。深盃㶑灧傾樽綠。乘興聊揮雪兔毫。</text>
<title>和李黃鍾仲初坦蕩亭韻</title>,<text>小亭橫壓斷磯邊。俯瞰南溟萬里天。孤鳥遠從滄島沒。片帆長帶落霞還。烟村牧笛寒蘆外。沙岸漁簑細雨前。風靜踈林春晝永。開襟徙倚曲欄眠。</text>
<title>羅德明克之送葡萄。兼寄一律。因步其韻。</title>,<text>星槎回遠始知名。漢苑曾聞綠蔓縈。脩架風輕虬鬣亂。虗簷日暮帳羅橫。莖連凉露微垂淚。齒帶新霜乍有聲。甞後忽驚神骨冷。詩仙能解故人情。</text>
<title>次苔軒韻</title>,<text>蕭然門巷斷蛩音。碧眼高僧自遠尋。衣濕天王峯雨晩。筇穿靑鶴洞雲深。飢烹露菜長吟偈。靜閉巖扉只戒心。相對閑談聽不盡。日移松影半山陰。龍灣形勝鎭東邦。萬馬雲屯擁節幢。區別華夷橫疊嶂。界分南北抹重江。將軍筭熟無遺策。羌虜心寒不戰降。刁斗聲沉邊圍靜。耕桑安業俗淳厖。</text>
<title>次鵝溪韻。贈僧。</title>,<text>龍城客子卧痾餘。一笑相逢物外渠。蕭寺幾聞烟裡磬。山盤時薦雨前蔬。焚香禮像燈懸後。誦偈登壇月上初。安得從遊雲海畔。碧桃花下見仙書。</text>
<title>次李敬差純仁韻</title>,<text>秋山遊賞興難緘。歸思飄如馬脫銜。萬疊楓林粧遠峀。一溪流水繞重巖。燈光明滅靑深殿。歌響縈回拂舞衫。莫道丹梯容易上。蓬萊從古隔塵凡。</text>
<title>次朴敬仲韻</title>,<text>手把仙人綠玉杖。擬窮靈境採昌陽。深林枸杞應潛吠。幽壑神蹤定秘藏。守戒僧飢蒼石竇。歸巢鶴翥翠松岡。層層楓樹張紅錦。滿眼秋光引興長。</text>
<title>白嶽山凈土寺雙溪樓。次圃隱韻。</title>,<text>樓頭一笑對高僧。勸和淸詩愧未能。北岳翠連南岳重。左溪波合右溪增。風生虗谷秋聲遠。月上踈林夜氣澄。倚檻閑吟肌骨冷。怳如仙界馭雲登。</text>
<title>次安大道韻</title>,<text>年來脫馵卧荒▦。▣得幽居斬白茅。雨後遙岑橫海角。風前輕靄抹林梢。▦流身世沙𩿨迹。漂泊生涯幕鷰巢。潦倒愁懷無興致。金蘭唯賴有神交。</text>
<title>次鄭季涵韻</title>,<text>愁中孤卧數殘更。幾待黃雞遠店聲。滿地干戈阻客路。漲天烟霧蔽陽明。功名始信浮雲薄。身世方知落葉輕。自顧胷中無一策。欲尋𩿨鷺舊時盟。</text>
<title>次梁學官大撲靑溪洞韻</title>,<text>新結茅簷占翠原。靑霞迷洞鎖松門。村藏楓葉猿遊戶。水泛桃花客趁源。漁艇幾又沙火焰。吟筇多住澗苔痕。高歌放浪忘機處。抔以爲盃石以樽。</text>
<title>次聽潮樓韻</title>,<text>山川奇麗壯懷增。佳句吟成愧未能。動地鯨濤翻似雪。鋪床湘簟冷如氷。連檣遠浦隨風艇。一點孤村隔岸燈。暢盡元龍湖海氣。怏然疑挾羽仙登。</text>
<title>次高淸之亭子韻</title>,<text>主人亭近大池深。萬朶紅蓮托素襟。笛裡山風吹鬢髮。琴邊江月照盃心。一竿烟釣眞生涯。數點沙𩿨是賞音。直在胷中長不屈。高高天日自照臨。</text>
<title>喚仙亭。次河西韻。</title>,<text>江南晴日泛樓舡。㶑灧金盃溢聖賢。遠樹帶烟迷眼底。斷峯橫黛倒樽前。淸歌能使歸雲遏。纖手須敎倦客牽。已踐名區銀色界。緱山何必喚飛仙。夜泛剡溪雪下船。風流曾慕古人賢。詩情肯落靑蓮後。逸興遄飛白鷗前。玉笛聲從輕霧散。蘭舟纜使美人牽。飄然還似驂笙鶴。一陟蓬萊訪列仙。</text>
<title>次養眞堂韻</title>,<text>太守嘐嘐慕古人。機心忘了保天眞。襟懷瑩若波間月。政化溫如脚底春。翠竹蒼松爲伴侶。虗簷高榭養精神。公庭吏退飄香篆。蕭散還疑物外身。</text>
<title>鴈</title>,<text>一夜胡風振朔方。翩翩紫塞鴈隨陽。波寒古澤啼初月。烟淡荒磯拂曉霜。趁隊驚翻蘆雪白。呼群閑繞稻雲黃。邊衣錦字桃成苦。莫動哀音近楚鄕。</text>
<title>枕碧亭</title>,<text>亭枕南溟百尺臯。簷前蒼石戰洪濤。千尋畫閣齊孤。三疊神山戴六鰲。皷浪長鯨侵遠峀。呼風颶母簸輕舠。牙旗影落華譙外。倚檻將軍氣自豪。</text>
<title>伺候島海棠花</title>,<text>東風習習日遲遲。曳履乘晴步海湄。霜白人嗟千丈髮。裛紅花笑一春枝。輕盈態嫰烟收後。綽約姿嬌雨泣時。自古知音難可遇。少陵何恨不題詩。</text>
<title>錦水亭</title>,<text>蒼波一帶繞亭流。車馬無人境轉幽。雨檻懸燈驚宿鴈。風欞臨案伴眠𩿨。渴酙深椀茶翻眼。閑曳脩綸魚上鉤。樂便逍遙慵便止。浮名雞肋更何求。</text>
<title>題富安串所寓民居室壁</title>,<text>鰲峯老子脫塵弢。野鹿江𩿨與作曹。戱酌綠𨤍邀月醉。浪吟佳句共風遨。邊山拔地浮藍翠。西海舂天漲雪濤。飽得閑中淸意味。此間名利是秋毫。</text>
<title>題鰋巖</title>,<text>盤石當途號鰋巖。巖前溪水綠如藍。數家籬落依靑樾。千疊峯巒鎖翠嵐。羸馬征人愁欲老。美陰幽鳥語方酣。他年買却閑田畒。脩竹林中結草庵。</text>
<title>遊赤城</title>,<text>仙區疑是倒層城。霞氣旋從翠壁生。楓染新霜千樹赤。沙鋪晴雪兩邊明。鴨翻澄浪沉浮戱。人掉輕舟上下行。日暮興酣轟鐵篴。琴高出聽老龍鳴。</text>
<title>寄務安徐進士尊丈</title>,<text>芒鞋踏盡翠微烟。陪賞仙山二十年。瞰海天臺筇竝立。觀魚齋石袂相聯。人間一別元無定。物外同歡信有緣。尺素書來江雪晩。開緘淸表正依然。齋石。聖齋岩也。天臺。磨天臺。與徐上舍。遊賞邊山於二十年前。各散東西。未能更尋前迹。丙子冬。余以都會居接儒生試官。來于靈光佛岬寺。寺與徐公之居。相去不遠。公通尺素於余。述其濶別之意。兼叙昔日之遊。開緘見書。頗有感舊之情。因賦一律以寄之。</text>
<title>遊邊山實相寺。次伏巖韻。</title>,<text>牛嶺巉巉路欲分。飄然歸袂濕行雲。巖猿啼雨求離伴。林鹿呼萍聚舊群。松韻石壇僧入定。香浮竹院客來聞。捫蘿登塔吟將罷。回首烟霏已夕曛。</text>
<title>待敬差官。坐嶺上偶吟。</title>,<text>一夜新霜染萬林。楓如紅錦菊如金。天垂平野涵秋色。日下遙空轉峀陰。不管塵機多少事。却將詩料短長吟。無邊光景供淸興。須洗深觥蘸甲斟。</text>
<title>題孝陵典祀廳壁上</title>,<text>鼎湖龍馭杳悠悠。釰入橋山度幾秋。巖木響含當日慽。丘民力被至今休。雲沉荒隧添燈暗。苔蝕空階石馬愁。典祀微臣遙拜跪。仰瞻陵像淚先流。</text>
<title>訪鄭慶遇於霞谷。臨別。留題精舍壁上。</title>,<text>靑眼交栖霞谷奇。來尋山路暮秋時。蒼苔石上開情話。紅樹枝邊倒酒巵。仙界莫辭留俗筆。天紳應爲洗塵詩。依依若與佳人別。回首忘鞭去故遲。</text>
<title>羅牧任允臣景龍挽歌</title>,<text>昔年相遇洛城塵。胸次無機混是眞。月白共飮孤舘夜。花殘同賞小溪春。聯衾弊縣言如昨。乞雨靈壇迹已陳。西望海天雲漠漠。不禁流淚濕衣巾。</text>
<title>申直長彦沃挽 二首</title>,<text>高門茅舍偶同鄕。做業攻文幾對床。白雪論心靈寺夜。綠楊垂釣雨川陽。雄懷豁達期君遠。短日凄凉使我傷。寶樹森森盈玉砌。善膺多慶信穹蒼。壯啚初擬北溟鯤。萬里雲天快一翻。點額風雷三汲浪。潛心詩禮一齋門。輪蹄金井英聲震。錢穀豊儲令望尊。二竪無端呈恠夢。淚沾丹旐哭秋原。</text>
<title>申彦深挽 二首</title>,<text>相好相親四十年。君衰我老各華巓。幾眠芳草烟鋪地。長醉桃花雨洒筵。斫鱠溪頭波暖日。呼鷹山下葉飛天。黃泉獨去無良友。誰酌深盃勸爾前。笑他浮世白頭新。君我交情老益親。對酒寧知天欲暮。論懷不覺夜將晨。高風肯羡功名客。閑迹甘爲耕釣人。可惜今成一斧屋。此生無復見長身。</text>
